country,cidr
AF,23.88.192.0/18
AF,36.50.20.0/23
AF,43.230.208.0/23
AF,43.250.136.0/21
AF,45.65.56.0/21
AF,45.116.128.0/22
AF,45.126.252.0/23
AF,58.147.128.0/18
AF,59.153.120.0/21
AF,61.5.192.0/19
AF,64.207.208.0/20
AF,64.224.128.0/19
AF,74.118.80.0/21
AF,91.109.208.0/20
AF,103.5.168.0/21
AF,103.13.64.0/21
AF,103.15.38.0/23
AF,103.15.236.0/22
AF,103.17.56.0/21
AF,103.17.164.0/23
AF,103.17.164.0/22
AF,103.18.160.0/21
AF,103.23.32.0/21
AF,103.28.128.0/21
AF,103.30.136.0/21
AF,103.42.0.0/21
AF,103.46.208.0/21
AF,103.53.16.0/21
AF,103.53.24.0/21
AF,103.71.58.0/23
AF,103.84.96.0/23
AF,103.86.120.0/21
AF,103.87.88.0/23
AF,103.88.192.0/21
AF,103.89.152.0/22
AF,103.93.254.0/23
AF,103.94.24.0/22
AF,103.96.232.0/23
AF,103.102.220.0/22
AF,103.104.144.0/22
AF,103.106.182.0/23
AF,103.110.52.0/23
AF,103.110.52.0/22
AF,103.112.160.0/21
AF,103.112.176.0/23
AF,103.112.176.0/22
AF,103.114.128.0/22
AF,103.115.12.0/22
AF,103.116.24.0/23
AF,103.119.24.0/21
AF,103.125.186.0/23
AF,103.126.4.0/22
AF,103.132.96.0/22
AF,103.133.74.0/23
AF,103.133.80.0/22
AF,103.139.178.0/23
AF,103.142.212.0/22
AF,103.143.204.0/22
AF,103.144.236.0/23
AF,103.146.104.0/23
AF,103.146.146.0/23
AF,103.146.198.0/23
AF,103.147.232.0/22
AF,103.148.68.0/22
AF,103.149.38.0/23
AF,103.151.88.0/23
AF,103.153.80.0/23
AF,103.156.188.0/22
AF,103.157.84.0/23
AF,103.159.162.0/23
AF,103.161.236.0/22
AF,103.162.126.0/23
AF,103.165.188.0/22
AF,103.168.192.0/23
AF,103.170.96.0/22
AF,103.177.204.0/22
AF,103.185.230.0/23
AF,103.212.160.0/22
AF,103.213.104.0/21
AF,103.215.208.0/22
AF,103.216.160.0/23
AF,103.224.126.0/23
AF,103.227.16.0/21
AF,103.230.248.0/21
AF,103.233.182.0/23
AF,103.235.176.0/21
AF,103.241.152.0/21
AF,103.242.48.0/22
AF,103.244.144.0/22
AF,103.247.198.0/23
AF,103.254.166.0/23
AF,103.255.204.0/22
AF,111.125.144.0/20
AF,116.204.160.0/21
AF,116.204.240.0/21
AF,116.206.184.0/21
AF,117.55.192.0/21
AF,117.104.224.0/20
AF,119.59.80.0/20
AF,121.100.48.0/20
AF,125.213.192.0/18
AF,137.59.120.0/21
AF,149.54.0.0/16
AF,152.36.192.0/18
AF,157.10.228.0/23
AF,160.30.234.0/23
AF,160.187.16.0/22
AF,160.187.20.0/22
AF,160.191.140.0/22
AF,160.191.188.0/22
AF,163.47.160.0/21
AF,163.61.12.0/22
AF,163.223.18.0/23
AF,163.223.36.0/23
AF,163.223.180.0/22
AF,163.227.254.0/23
AF,165.99.188.0/22
AF,175.106.0.0/18
AF,180.94.64.0/18
AF,180.222.128.0/20
AF,185.178.144.0/21
AF,185.193.208.0/21
AF,202.3.76.0/23
AF,203.171.64.0/18
AF,203.174.26.0/23
AF,203.215.32.0/19
AF,223.26.16.0/21
