country,cidr
AG,23.132.144.0/23
AG,23.176.240.0/23
AG,46.19.176.0/20
AG,69.50.64.0/19
AG,69.57.192.0/18
AG,76.76.128.0/18
AG,77.239.192.0/18
AG,91.108.0.0/17
AG,91.212.88.0/23
AG,92.62.32.0/19
AG,94.124.176.0/20
AG,94.229.96.0/19
AG,95.140.64.0/19
AG,95.161.0.0/16
AG,95.161.224.0/19
AG,109.239.128.0/19
AG,149.112.100.0/23
AG,149.154.160.0/19
AG,162.210.152.0/21
AG,162.222.80.0/21
AG,162.252.184.0/21
AG,170.39.104.0/21
AG,178.18.224.0/19
AG,185.51.56.0/21
AG,185.182.8.0/21
AG,188.65.64.0/20
AG,192.64.120.0/21
AG,199.16.56.0/21
AG,199.48.200.0/21
AG,199.189.112.0/21
AG,204.16.112.0/21
AG,205.217.192.0/18
AG,206.83.12.0/23
AG,206.214.0.0/18
AG,208.83.80.0/20
AG,209.59.0.0/17
AG,212.232.64.0/19
AG,213.21.0.0/18
AG,213.21.32.0/19
AG,216.48.96.0/21
