country,cidr
AL,5.206.224.0/20
AL,31.22.32.0/19
AL,31.41.32.0/23
AL,31.44.64.0/19
AL,31.171.144.0/20
AL,31.222.32.0/20
AL,37.26.64.0/20
AL,37.26.80.0/20
AL,37.35.64.0/20
AL,37.139.112.0/20
AL,37.252.220.0/23
AL,45.66.248.0/21
AL,45.80.48.0/21
AL,45.84.112.0/21
AL,45.84.232.0/21
AL,45.90.80.0/21
AL,45.93.216.0/21
AL,45.141.216.0/23
AL,45.142.24.0/21
AL,46.19.224.0/20
AL,46.98.0.0/15
AL,46.183.112.0/20
AL,46.252.32.0/19
AL,46.255.144.0/20
AL,66.186.192.0/22
AL,66.186.196.0/22
AL,77.83.120.0/21
AL,77.242.0.0/19
AL,77.247.80.0/20
AL,77.247.194.0/23
AL,77.247.240.0/20
AL,79.98.112.0/20
AL,79.106.0.0/15
AL,79.171.48.0/20
AL,79.174.24.0/21
AL,80.78.64.0/19
AL,80.79.12.0/23
AL,80.80.160.0/19
AL,80.90.64.0/19
AL,80.91.96.0/19
AL,81.26.192.0/20
AL,82.114.64.0/18
AL,84.20.64.0/18
AL,84.22.0.0/18
AL,85.209.248.0/21
AL,87.120.96.0/21
AL,87.238.208.0/20
AL,88.214.16.0/21
AL,91.132.168.0/21
AL,91.187.64.0/18
AL,91.210.136.0/21
AL,91.212.96.0/23
AL,91.217.4.0/22
AL,91.217.72.0/22
AL,91.226.220.0/23
AL,91.230.252.0/22
AL,91.239.4.0/22
AL,91.239.144.0/23
AL,91.239.240.0/23
AL,91.240.164.0/23
AL,92.60.0.0/19
AL,92.118.64.0/21
AL,92.119.232.0/21
AL,93.93.168.0/21
AL,93.115.6.0/23
AL,93.115.108.0/23
AL,93.159.192.0/20
AL,93.187.110.0/23
AL,94.100.32.0/19
AL,94.125.112.0/20
AL,94.137.144.0/20
AL,94.154.152.0/21
AL,95.86.40.0/21
AL,95.86.56.0/21
AL,95.107.0.0/16
AL,103.69.32.0/21
AL,103.93.40.0/21
AL,103.111.0.0/21
AL,103.124.160.0/21
AL,103.167.232.0/22
AL,103.204.120.0/21
AL,103.254.240.0/21
AL,109.69.0.0/20
AL,109.69.160.0/20
AL,109.74.24.0/21
AL,109.104.128.0/19
AL,109.104.152.0/21
AL,109.234.224.0/20
AL,109.236.32.0/19
AL,130.0.16.0/20
AL,134.0.0.0/18
AL,139.28.24.0/21
AL,141.8.192.0/20
AL,141.98.136.0/21
AL,144.48.48.0/21
AL,146.0.16.0/20
AL,147.78.160.0/21
AL,171.22.144.0/21
AL,178.132.208.0/20
AL,178.175.0.0/16
AL,185.1.72.0/23
AL,185.1.100.0/23
AL,185.9.40.0/21
AL,185.9.138.0/23
AL,185.16.250.0/23
AL,185.23.110.0/23
AL,185.30.144.0/21
AL,185.32.16.0/21
AL,185.33.32.0/21
AL,185.38.192.0/21
AL,185.46.140.0/23
AL,185.47.184.0/21
AL,185.49.24.0/21
AL,185.50.176.0/21
AL,185.53.96.0/21
AL,185.55.40.0/21
AL,185.55.144.0/21
AL,185.62.168.0/21
AL,185.63.176.0/21
AL,185.66.128.0/21
AL,185.67.176.0/21
AL,185.71.176.0/21
AL,185.77.20.0/23
AL,185.78.224.0/21
AL,185.80.224.0/21
AL,185.82.104.0/21
AL,185.85.152.0/21
AL,185.89.152.0/21
AL,185.94.182.0/23
AL,185.97.212.0/23
AL,185.114.112.0/21
AL,185.118.144.0/21
AL,185.120.32.0/21
AL,185.120.180.0/23
AL,185.122.224.0/21
AL,185.132.88.0/21
AL,185.139.4.0/23
AL,185.144.112.0/23
AL,185.145.0.0/21
AL,185.153.120.0/21
AL,185.156.8.0/21
AL,185.158.0.0/21
AL,185.161.184.0/22
AL,185.171.56.0/21
AL,185.171.144.0/21
AL,185.173.200.0/21
AL,185.174.208.0/21
AL,185.175.248.0/21
AL,185.177.24.0/21
AL,185.179.24.0/21
AL,185.182.158.0/23
AL,185.184.216.0/23
AL,185.186.80.0/21
AL,185.187.0.0/21
AL,185.188.216.0/21
AL,185.190.38.0/23
AL,185.190.90.0/23
AL,185.190.128.0/21
AL,185.191.160.0/21
AL,185.196.176.0/21
AL,185.200.208.0/21
AL,185.200.248.0/21
AL,185.204.32.0/21
AL,185.205.168.0/21
AL,185.212.184.0/21
AL,185.216.14.0/23
AL,185.221.248.0/21
AL,185.224.96.0/21
AL,185.226.88.0/21
AL,185.233.120.0/21
AL,185.237.16.0/21
AL,185.239.8.0/21
AL,185.254.116.0/22
AL,188.93.112.0/23
AL,188.164.208.0/20
AL,188.172.96.0/19
AL,192.109.210.0/23
AL,192.109.216.0/23
AL,192.109.218.0/23
AL,192.109.220.0/23
AL,193.38.32.0/23
AL,193.104.142.0/23
AL,193.107.12.0/23
AL,193.163.90.0/23
AL,193.163.116.0/23
AL,193.163.186.0/23
AL,193.187.96.0/21
AL,193.254.0.0/22
AL,194.1.148.0/23
AL,194.35.248.0/21
AL,194.113.80.0/22
AL,194.113.92.0/22
AL,194.150.78.0/23
AL,194.156.248.0/21
AL,194.169.160.0/21
AL,195.8.106.0/23
AL,195.178.98.0/23
AL,195.200.234.0/23
AL,199.168.120.0/21
AL,203.30.218.0/23
AL,212.6.48.0/23
AL,212.32.42.0/23
AL,213.163.64.0/18
AL,213.207.0.0/18
AL,217.20.252.0/23
AL,217.21.128.0/19
AL,217.24.224.0/19
AL,217.73.128.0/19
