country,cidr
AM,2.56.200.0/21
AM,5.39.200.0/21
AM,5.63.160.0/20
AM,5.77.0.0/16
AM,5.101.32.0/21
AM,5.101.70.0/23
AM,5.134.80.0/20
AM,31.7.160.0/20
AM,31.47.192.0/20
AM,31.128.60.0/23
AM,31.132.64.0/20
AM,31.184.232.0/21
AM,37.26.160.0/20
AM,37.157.192.0/19
AM,37.186.0.0/17
AM,37.252.64.0/18
AM,37.252.216.0/21
AM,45.11.136.0/21
AM,45.15.144.0/21
AM,45.131.120.0/21
AM,45.133.104.0/21
AM,45.143.200.0/21
AM,45.153.208.0/21
AM,45.159.72.0/21
AM,46.19.96.0/20
AM,46.36.96.0/19
AM,46.68.0.0/14
AM,46.130.0.0/15
AM,46.162.128.0/17
AM,46.182.168.0/21
AM,46.226.160.0/20
AM,46.241.0.0/16
AM,62.3.16.0/23
AM,62.89.0.0/18
AM,77.95.176.0/20
AM,78.109.64.0/19
AM,80.72.16.0/20
AM,80.86.224.0/19
AM,81.16.0.0/19
AM,81.89.192.0/19
AM,82.199.192.0/19
AM,83.139.0.0/17
AM,85.198.112.0/20
AM,87.241.128.0/17
AM,89.40.170.0/23
AM,89.169.32.0/21
AM,89.169.48.0/21
AM,89.249.192.0/19
AM,91.103.16.0/20
AM,91.103.48.0/20
AM,91.103.248.0/21
AM,91.108.186.0/23
AM,91.195.108.0/22
AM,91.195.252.0/22
AM,91.196.32.0/21
AM,91.198.108.0/22
AM,91.199.38.0/23
AM,91.199.226.0/23
AM,91.201.196.0/23
AM,91.204.184.0/21
AM,91.205.128.0/20
AM,91.205.192.0/21
AM,91.208.76.0/23
AM,91.209.38.0/23
AM,91.210.40.0/21
AM,91.212.70.0/23
AM,91.217.156.0/23
AM,91.218.0.0/21
AM,91.221.60.0/22
AM,91.221.228.0/22
AM,91.223.82.0/23
AM,91.226.12.0/22
AM,91.226.234.0/23
AM,91.231.200.0/21
AM,91.237.150.0/23
AM,91.239.22.0/23
AM,91.239.84.0/23
AM,92.43.128.0/20
AM,92.118.72.0/21
AM,92.246.128.0/21
AM,92.246.128.0/20
AM,93.94.208.0/20
AM,93.113.128.0/23
AM,93.185.32.0/19
AM,93.185.128.0/19
AM,93.187.160.0/20
AM,94.141.96.0/21
AM,94.142.250.0/23
AM,95.140.192.0/19
AM,95.174.64.0/18
AM,109.68.112.0/20
AM,109.75.32.0/19
AM,130.193.112.0/20
AM,141.136.64.0/18
AM,176.32.192.0/20
AM,176.113.118.0/23
AM,176.120.16.0/20
AM,176.124.96.0/20
AM,178.72.128.0/17
AM,178.78.128.0/17
AM,178.160.128.0/17
AM,178.212.138.0/23
AM,178.219.32.0/19
AM,178.248.0.0/20
AM,185.3.184.0/21
AM,185.8.0.0/21
AM,185.9.184.0/21
AM,185.13.192.0/21
AM,185.21.248.0/21
AM,185.36.32.0/21
AM,185.44.224.0/21
AM,185.48.240.0/21
AM,185.57.64.0/21
AM,185.59.64.0/21
AM,185.77.192.0/21
AM,185.78.144.0/21
AM,185.79.0.0/21
AM,185.84.66.0/23
AM,185.86.192.0/21
AM,185.92.80.0/21
AM,185.121.232.0/21
AM,185.127.64.0/21
AM,185.136.32.0/21
AM,185.149.136.0/21
AM,185.150.160.0/21
AM,185.155.232.0/21
AM,185.162.224.0/21
AM,185.167.216.0/23
AM,185.177.104.0/21
AM,185.193.8.0/21
AM,185.202.112.0/23
AM,185.215.48.0/21
AM,185.223.120.0/21
AM,185.230.240.0/21
AM,185.238.152.0/21
AM,185.247.0.0/21
AM,185.255.64.0/21
AM,188.92.28.0/23
AM,188.115.128.0/17
AM,188.164.144.0/20
AM,193.29.226.0/23
AM,193.57.24.0/21
AM,193.104.56.0/23
AM,193.104.198.0/23
AM,193.142.18.0/23
AM,193.228.136.0/23
AM,194.1.152.0/23
AM,194.11.238.0/23
AM,194.30.176.0/22
AM,194.31.4.0/22
AM,194.33.82.0/23
AM,194.39.80.0/22
AM,194.39.100.0/22
AM,194.61.88.0/21
AM,194.247.50.0/23
AM,195.8.48.0/22
AM,195.28.188.0/23
AM,195.43.72.0/22
AM,195.60.80.128/26
AM,195.88.64.0/22
AM,195.88.252.0/22
AM,195.128.164.0/22
AM,195.191.100.0/22
AM,195.191.152.0/22
AM,195.191.184.0/22
AM,195.225.232.0/22
AM,195.248.240.0/21
AM,195.250.64.0/18
AM,212.34.192.0/18
AM,212.42.192.0/18
AM,212.73.64.0/18
AM,213.108.16.0/21
AM,213.109.196.0/23
AM,217.76.0.0/19
AM,217.113.0.0/18
AM,217.144.160.0/19
