country,cidr
AO,41.63.128.0/18
AO,41.70.0.0/16
AO,41.74.224.0/19
AO,41.78.16.0/21
AO,41.205.0.0/18
AO,41.210.128.0/17
AO,41.216.232.0/21
AO,41.221.224.0/19
AO,41.222.200.0/21
AO,41.222.232.0/21
AO,41.222.240.0/20
AO,41.223.40.0/21
AO,41.223.96.0/21
AO,41.223.152.0/21
AO,41.223.160.0/21
AO,80.88.8.0/23
AO,102.36.224.0/21
AO,102.64.56.0/21
AO,102.130.64.0/20
AO,102.130.192.0/18
AO,102.206.48.0/21
AO,102.206.72.0/21
AO,102.207.128.0/21
AO,102.207.192.0/21
AO,102.207.208.0/21
AO,102.208.88.0/21
AO,102.208.144.0/21
AO,102.209.0.0/21
AO,102.209.154.0/23
AO,102.210.0.0/21
AO,102.210.120.0/21
AO,102.210.168.0/23
AO,102.210.176.0/21
AO,102.210.224.0/21
AO,102.211.54.0/23
AO,102.211.128.0/21
AO,102.211.152.0/21
AO,102.211.200.0/21
AO,102.211.224.0/21
AO,102.212.216.0/21
AO,102.213.8.0/21
AO,102.213.32.0/21
AO,102.213.54.0/23
AO,102.213.96.0/19
AO,102.213.240.0/23
AO,102.214.0.0/21
AO,102.214.32.0/21
AO,102.214.120.0/21
AO,102.214.126.0/23
AO,102.214.232.0/21
AO,102.215.56.0/21
AO,102.215.168.0/21
AO,102.215.176.0/21
AO,102.215.184.0/21
AO,102.216.40.0/21
AO,102.216.48.0/20
AO,102.216.136.0/21
AO,102.216.168.0/21
AO,102.216.208.0/21
AO,102.216.248.0/21
AO,102.217.112.0/21
AO,102.217.192.0/21
AO,102.218.80.0/21
AO,102.218.88.0/21
AO,102.218.144.0/21
AO,102.218.176.0/21
AO,102.219.30.0/23
AO,102.219.80.0/23
AO,102.219.120.0/21
AO,102.219.184.0/21
AO,102.219.226.0/23
AO,102.220.192.0/21
AO,102.221.48.0/21
AO,102.221.104.0/21
AO,102.221.168.0/21
AO,102.222.16.0/21
AO,102.222.88.0/21
AO,102.223.2.0/23
AO,105.160.0.0/12
AO,129.122.0.0/16
AO,154.65.0.0/16
AO,154.66.80.0/21
AO,154.66.104.0/21
AO,154.71.0.0/16
AO,154.116.0.0/16
AO,154.118.192.0/18
AO,154.127.0.0/16
AO,155.88.0.0/15
AO,160.119.240.0/21
AO,160.224.0.0/14
AO,169.239.32.0/21
AO,169.239.72.0/21
AO,169.239.104.0/21
AO,169.239.128.0/21
AO,169.255.88.0/21
AO,185.148.112.0/21
AO,192.12.110.0/23
AO,196.1.14.0/23
AO,196.6.254.0/23
AO,196.11.188.0/23
AO,196.11.234.0/23
AO,196.13.108.0/23
AO,196.13.204.0/23
AO,196.13.242.0/23
AO,196.29.192.0/19
AO,196.32.192.0/20
AO,196.41.76.0/23
AO,196.43.196.0/23
AO,196.43.210.0/23
AO,196.43.222.0/23
AO,196.45.160.0/21
AO,196.46.20.0/23
AO,196.46.64.0/20
AO,196.49.6.0/23
AO,196.61.72.0/21
AO,196.202.248.0/21
AO,196.216.160.0/23
AO,196.216.248.0/22
AO,196.223.0.0/23
AO,196.223.12.0/23
AO,196.223.18.0/23
AO,196.249.128.0/17
AO,197.148.0.0/17
AO,197.148.80.0/20
AO,197.149.144.0/21
AO,197.157.192.0/21
AO,197.216.0.0/14
AO,197.241.0.0/16
AO,204.8.204.0/23
