country,cidr
AT,2.56.160.0/21
AT,2.56.208.0/21
AT,2.57.48.0/21
AT,2.57.104.0/21
AT,2.57.152.0/21
AT,2.57.176.0/21
AT,2.57.248.0/21
AT,2.58.144.0/21
AT,2.58.212.0/23
AT,2.59.116.0/23
AT,2.59.168.0/21
AT,5.11.0.0/20
AT,5.44.208.0/20
AT,5.45.144.0/21
AT,5.104.208.0/20
AT,5.132.128.0/17
AT,5.159.0.0/20
AT,5.180.8.0/21
AT,5.180.114.0/23
AT,5.181.144.0/21
AT,5.181.224.0/21
AT,5.183.168.0/21
AT,5.183.200.0/21
AT,5.183.216.0/21
AT,5.183.240.0/21
AT,5.187.32.0/23
AT,5.198.128.0/19
AT,5.206.192.0/20
AT,5.252.8.0/21
AT,5.253.136.0/21
AT,5.253.216.0/21
AT,5.254.176.0/20
AT,31.7.88.0/21
AT,31.12.0.0/20
AT,31.14.16.0/23
AT,31.193.160.0/20
AT,31.214.138.0/23
AT,31.217.208.0/20
AT,37.10.112.0/23
AT,37.16.72.0/23
AT,37.44.212.0/23
AT,37.44.216.0/21
AT,37.61.176.0/20
AT,37.75.128.0/20
AT,37.98.192.0/20
AT,37.122.216.0/21
AT,37.143.160.0/19
AT,37.153.156.0/22
AT,37.186.0.0/19
AT,37.235.0.0/20
AT,37.235.32.0/19
AT,37.252.176.0/20
AT,37.252.192.0/18
AT,45.8.56.0/21
AT,45.9.216.0/21
AT,45.10.0.0/21
AT,45.10.144.0/21
AT,45.12.40.0/21
AT,45.12.96.0/21
AT,45.12.160.0/21
AT,45.12.232.0/21
AT,45.13.240.0/21
AT,45.14.40.0/21
AT,45.15.32.0/21
AT,45.15.48.0/21
AT,45.67.16.0/21
AT,45.67.40.0/21
AT,45.67.168.0/21
AT,45.80.176.0/21
AT,45.81.8.0/21
AT,45.81.232.0/21
AT,45.81.240.0/21
AT,45.82.168.0/21
AT,45.82.200.0/21
AT,45.83.248.0/21
AT,45.84.144.0/21
AT,45.84.248.0/21
AT,45.85.8.0/21
AT,45.85.80.0/21
AT,45.85.192.0/21
AT,45.86.112.0/21
AT,45.86.160.0/21
AT,45.86.192.0/21
AT,45.87.192.0/20
AT,45.88.240.0/21
AT,45.89.8.0/21
AT,45.90.24.0/21
AT,45.90.64.0/21
AT,45.90.72.0/21
AT,45.91.24.0/21
AT,45.91.40.0/21
AT,45.91.240.0/21
AT,45.91.252.0/22
AT,45.92.208.0/21
AT,45.93.112.0/21
AT,45.93.248.0/21
AT,45.94.160.0/21
AT,45.95.120.0/21
AT,45.95.136.0/21
AT,45.95.152.0/21
AT,45.128.24.0/21
AT,45.128.160.0/21
AT,45.128.168.0/21
AT,45.129.24.0/21
AT,45.130.72.0/21
AT,45.130.200.0/21
AT,45.131.24.0/21
AT,45.131.248.0/21
AT,45.132.8.0/21
AT,45.132.34.0/23
AT,45.132.56.0/21
AT,45.133.64.0/21
AT,45.133.80.0/21
AT,45.134.0.0/21
AT,45.134.240.0/21
AT,45.135.96.0/21
AT,45.135.216.0/21
AT,45.136.0.0/21
AT,45.136.56.0/21
AT,45.137.0.0/21
AT,45.137.216.0/21
AT,45.138.16.0/21
AT,45.138.104.0/21
AT,45.138.208.0/21
AT,45.139.56.0/21
AT,45.140.144.0/21
AT,45.141.56.0/21
AT,45.141.144.0/21
AT,45.141.240.0/21
AT,45.142.56.0/21
AT,45.142.240.0/21
AT,45.143.24.0/21
AT,45.143.40.0/21
AT,45.143.64.0/21
AT,45.144.64.0/21
AT,45.144.72.0/21
AT,45.144.80.0/21
AT,45.144.200.0/21
AT,45.144.208.0/21
AT,45.145.80.0/21
AT,45.145.192.0/21
AT,45.146.216.0/21
AT,45.147.104.0/21
AT,45.148.128.0/21
AT,45.149.32.0/21
AT,45.149.192.0/21
AT,45.150.96.0/21
AT,45.151.72.0/21
AT,45.151.168.0/21
AT,45.151.200.0/21
AT,45.152.40.0/21
AT,45.152.48.0/21
AT,45.153.120.0/21
AT,45.153.136.0/21
AT,45.153.168.0/21
AT,45.155.184.0/21
AT,45.155.240.0/21
AT,45.156.0.0/21
AT,45.156.240.0/21
AT,45.158.32.0/21
AT,46.17.224.0/20
AT,46.20.0.0/19
AT,46.57.0.0/16
AT,46.72.0.0/14
AT,46.102.156.0/22
AT,46.124.0.0/14
AT,46.151.192.0/20
AT,46.183.176.0/20
AT,46.204.0.0/14
AT,46.220.0.0/15
AT,46.243.96.0/20
AT,46.245.192.0/20
AT,46.247.192.0/18
AT,46.251.238.0/23
AT,62.3.46.0/23
AT,62.13.192.0/18
AT,62.40.0.0/16
AT,62.44.0.0/14
AT,62.68.192.0/18
AT,62.93.0.0/17
AT,62.99.0.0/16
AT,62.116.0.0/16
AT,62.122.24.0/21
AT,62.140.0.0/18
AT,62.178.0.0/15
AT,62.212.128.0/18
AT,62.218.0.0/15
AT,62.240.128.0/18
AT,62.249.0.0/17
AT,63.247.192.0/19
AT,77.72.160.0/20
AT,77.74.112.0/20
AT,77.75.0.0/19
AT,77.80.0.0/16
AT,77.83.104.0/21
AT,77.83.152.0/21
AT,77.112.0.0/13
AT,77.220.96.0/19
AT,77.220.112.0/20
AT,77.223.0.0/21
AT,77.235.64.0/18
AT,77.237.0.0/18
AT,77.242.64.0/19
AT,77.243.88.0/21
AT,77.244.224.0/19
AT,78.40.208.0/21
AT,78.41.112.0/20
AT,78.41.144.0/20
AT,78.104.0.0/15
AT,78.132.0.0/16
AT,78.138.16.0/21
AT,78.142.0.0/17
AT,78.142.128.0/17
AT,78.152.64.0/18
AT,79.143.32.0/19
AT,79.170.208.0/20
AT,79.174.16.0/21
AT,79.174.64.0/18
AT,80.64.128.0/19
AT,80.66.0.0/18
AT,80.68.148.0/23
AT,80.75.0.0/18
AT,80.75.192.0/18
AT,80.80.224.0/19
AT,80.89.96.0/19
AT,80.92.96.0/19
AT,80.93.32.0/19
AT,80.108.0.0/14
AT,80.120.0.0/13
AT,80.240.224.0/19
AT,80.241.0.0/19
AT,80.243.160.0/19
AT,80.243.224.0/21
AT,80.245.192.0/19
AT,80.249.120.0/21
AT,81.3.128.0/17
AT,81.5.128.0/17
AT,81.10.0.0/16
AT,81.16.24.0/21
AT,81.16.32.0/19
AT,81.16.96.0/19
AT,81.16.136.0/21
AT,81.16.128.0/19
AT,81.19.128.0/19
AT,81.21.96.0/19
AT,81.25.192.0/19
AT,81.28.128.0/19
AT,81.92.240.0/21
AT,81.94.32.0/19
AT,81.161.114.0/23
AT,81.173.80.0/22
AT,81.188.0.0/15
AT,81.216.0.0/15
AT,81.222.0.0/15
AT,82.103.0.0/17
AT,82.149.64.0/18
AT,82.150.192.0/18
AT,82.192.0.0/18
AT,82.194.128.0/18
AT,82.218.0.0/15
AT,83.64.0.0/14
AT,83.68.128.0/18
AT,83.136.32.0/20
AT,83.137.32.0/20
AT,83.137.112.0/20
AT,83.138.54.0/23
AT,83.164.0.0/15
AT,83.172.132.0/22
AT,83.172.136.0/23
AT,83.172.136.0/22
AT,83.172.148.0/22
AT,83.172.152.0/23
AT,83.172.158.0/23
AT,83.172.168.0/23
AT,83.175.0.0/17
AT,83.214.0.0/15
AT,83.216.0.0/18
AT,83.216.192.0/18
AT,83.218.128.0/18
AT,83.219.128.0/18
AT,83.229.64.0/23
AT,83.229.92.0/23
AT,83.229.108.0/23
AT,83.243.120.0/21
AT,84.20.128.0/18
AT,84.38.96.0/19
AT,84.39.176.0/20
AT,84.112.0.0/13
AT,84.242.0.0/20
AT,84.247.60.0/23
AT,85.13.0.0/17
AT,85.31.0.0/18
