country,cidr
AU,1.0.0.0/23
AU,1.0.0.0/21
AU,1.1.0.0/23
AU,1.2.2.0/23
AU,1.4.0.0/23
AU,1.40.0.0/13
AU,1.112.0.0/12
AU,1.128.0.0/10
AU,1.178.0.0/22
AU,1.178.64.0/22
AU,1.178.80.0/23
AU,1.178.80.0/22
AU,1.178.84.0/22
AU,1.178.96.0/21
AU,1.178.174.0/23
AU,1.178.176.0/21
AU,1.179.0.0/22
AU,1.179.0.0/21
AU,1.179.8.0/21
AU,1.179.16.0/20
AU,1.179.48.0/21
AU,1.179.60.0/22
AU,1.179.96.0/21
AU,5.34.192.0/19
AU,5.226.48.0/20
AU,5.253.8.0/21
AU,5.253.16.0/21
AU,14.1.16.0/21
AU,14.2.0.0/15
AU,14.102.128.0/20
AU,14.102.176.0/21
AU,14.137.0.0/17
AU,14.137.192.0/18
AU,14.192.56.0/21
AU,14.200.0.0/13
AU,23.106.240.0/20
AU,24.233.128.0/19
AU,27.0.64.0/18
AU,27.32.0.0/14
AU,27.34.224.0/20
AU,27.50.8.0/21
AU,27.50.64.0/18
AU,27.54.64.0/20
AU,27.54.64.0/19
AU,27.54.128.0/19
AU,27.96.192.0/18
AU,27.99.0.0/16
AU,27.100.0.0/21
AU,27.106.192.0/20
AU,27.109.104.0/21
AU,27.111.0.0/20
AU,27.111.64.0/20
AU,27.111.64.0/19
AU,27.111.224.0/19
AU,27.112.72.0/21
AU,27.112.96.0/21
AU,27.113.240.0/20
AU,27.116.32.0/21
AU,27.121.64.0/20
AU,27.121.112.0/22
AU,27.122.96.0/19
AU,27.123.16.0/20
AU,27.124.64.0/18
AU,27.125.192.0/19
AU,27.126.144.0/20
AU,27.127.192.0/18
AU,27.131.0.0/17
AU,27.131.216.0/21
AU,27.253.0.0/16
AU,31.25.88.0/22
AU,31.217.250.0/23
AU,36.37.38.0/23
AU,36.50.0.0/22
AU,36.50.36.0/22
AU,36.50.42.0/23
AU,36.50.90.0/23
AU,36.50.96.0/22
AU,36.50.108.0/23
AU,36.50.144.0/22
AU,36.50.146.0/23
AU,36.50.196.0/23
AU,36.255.48.0/21
AU,36.255.72.0/21
AU,36.255.112.0/21
AU,37.123.192.0/20
AU,37.128.224.0/19
AU,39.0.0.0/23
AU,42.62.128.0/17
AU,42.240.0.0/15
AU,43.224.56.0/21
AU,43.224.72.0/21
AU,43.224.176.0/21
AU,43.225.8.0/21
AU,43.225.32.0/21
AU,43.225.48.0/21
AU,43.225.56.0/21
AU,43.225.88.0/21
AU,43.225.144.0/21
AU,43.225.176.0/21
AU,43.227.104.0/21
AU,43.227.120.0/21
AU,43.229.56.0/21
AU,43.229.64.0/21
AU,43.230.48.0/21
AU,43.230.96.0/21
AU,43.230.104.0/21
AU,43.230.176.0/21
AU,43.231.24.0/21
AU,43.231.64.0/21
AU,43.231.200.0/21
AU,43.240.40.0/21
AU,43.240.96.0/21
AU,43.240.120.0/21
AU,43.241.48.0/21
AU,43.241.184.0/21
AU,43.241.200.0/21
AU,43.241.244.0/23
AU,43.242.40.0/21
AU,43.242.64.0/21
AU,43.242.248.0/21
AU,43.243.0.0/21
AU,43.243.112.0/21
AU,43.243.200.0/21
AU,43.243.232.0/21
AU,43.245.16.0/20
AU,43.245.32.0/21
AU,43.245.40.0/21
AU,43.245.48.0/21
AU,43.245.64.0/21
AU,43.245.64.0/20
AU,43.245.112.0/21
AU,43.245.128.0/21
AU,43.245.152.0/21
AU,43.245.160.0/20
AU,43.245.176.0/21
AU,43.246.232.0/21
AU,43.247.64.0/21
AU,43.247.80.0/21
AU,43.247.112.0/21
AU,43.247.120.0/21
AU,43.247.128.0/21
AU,43.248.40.0/21
AU,43.248.48.0/21
AU,43.249.112.0/21
AU,43.249.128.0/21
AU,43.250.24.0/21
AU,43.250.48.0/21
AU,43.250.64.0/21
AU,43.250.88.0/21
AU,43.250.136.0/21
AU,43.250.200.0/21
AU,43.250.232.0/22
AU,43.250.248.0/21
AU,43.251.40.0/21
AU,43.251.48.0/21
AU,43.251.104.0/21
AU,43.251.112.0/21
AU,43.251.152.0/21
AU,43.251.160.0/21
AU,43.251.200.0/21
AU,43.251.240.0/21
AU,43.252.0.0/21
AU,43.252.16.0/21
AU,43.252.72.0/21
AU,43.252.96.0/21
AU,43.252.104.0/21
AU,43.252.112.0/21
AU,43.252.120.0/21
AU,43.252.128.0/21
AU,43.252.248.0/21
AU,43.255.32.0/21
AU,43.255.40.0/21
AU,43.255.128.0/21
AU,43.255.136.0/21
AU,45.64.32.0/21
AU,45.64.56.0/21
AU,45.64.64.0/21
AU,45.64.144.0/21
AU,45.65.8.0/21
AU,45.65.56.0/21
AU,45.86.86.0/23
AU,45.92.80.0/21
AU,45.92.96.0/21
AU,45.92.152.0/21
AU,45.112.240.0/21
AU,45.113.32.0/21
AU,45.113.88.0/21
AU,45.113.192.0/21
AU,45.113.232.0/21
AU,45.113.240.0/21
AU,45.114.184.0/21
AU,45.114.200.0/21
AU,45.115.16.0/21
AU,45.115.48.0/23
AU,45.115.64.0/21
AU,45.115.116.0/22
AU,45.115.128.0/21
AU,45.115.232.0/21
AU,45.116.48.0/21
AU,45.116.104.0/21
AU,45.116.216.0/21
AU,45.117.24.0/21
AU,45.117.96.0/21
AU,45.118.64.0/21
AU,45.119.216.0/21
AU,45.120.36.0/23
AU,45.120.200.0/21
AU,45.121.128.0/21
AU,45.121.176.0/21
AU,45.122.228.0/22
AU,45.123.104.0/21
AU,45.124.40.0/21
AU,45.124.48.0/21
AU,45.124.160.0/21
AU,45.124.200.0/21
AU,45.124.208.0/21
AU,45.125.112.0/20
AU,45.126.24.0/21
AU,45.126.40.0/21
AU,45.126.120.0/21
AU,45.126.192.0/21
AU,45.127.88.0/21
AU,45.127.168.0/21
AU,45.127.176.0/21
AU,45.137.176.0/21
AU,45.139.0.0/21
AU,45.146.240.0/21
AU,45.248.48.0/21
AU,45.248.72.0/21
AU,45.248.136.0/21
AU,45.248.192.0/21
AU,45.249.112.0/21
AU,45.252.184.0/21
AU,45.252.248.0/21
AU,45.253.128.0/22
AU,46.249.96.0/19
AU,49.0.0.0/20
AU,49.0.0.0/14
AU,49.126.0.0/15
AU,49.128.8.0/21
AU,49.143.224.0/21
AU,49.156.16.0/21
AU,49.156.16.0/20
AU,49.160.0.0/11
AU,49.192.0.0/12
AU,49.254.0.0/15
AU,51.162.0.0/16
AU,58.4.0.0/14
AU,58.65.240.0/20
AU,58.84.0.0/17
AU,58.84.128.0/17
