country,cidr
AZ,5.10.224.0/19
AZ,5.44.32.0/20
AZ,5.133.224.0/19
AZ,5.134.32.0/19
AZ,5.178.0.0/19
AZ,5.190.0.0/15
AZ,5.196.0.0/15
AZ,5.250.192.0/18
AZ,5.252.48.0/21
AZ,31.170.192.0/18
AZ,31.171.0.0/16
AZ,31.222.224.0/23
AZ,37.18.58.0/23
AZ,37.26.0.0/17
AZ,37.32.64.0/19
AZ,37.61.0.0/16
AZ,37.114.128.0/17
AZ,37.128.192.0/20
AZ,45.15.42.0/23
AZ,45.136.160.0/21
AZ,46.18.64.0/20
AZ,46.22.224.0/19
AZ,46.23.96.0/19
AZ,46.28.236.0/23
AZ,46.32.128.0/18
AZ,46.228.160.0/19
AZ,62.164.144.0/23
AZ,62.212.192.0/18
AZ,62.217.128.0/18
AZ,77.81.48.0/20
AZ,77.81.240.0/20
AZ,77.244.96.0/19
AZ,78.109.48.0/20
AZ,78.111.32.0/19
AZ,80.69.32.0/19
AZ,81.17.64.0/19
AZ,81.21.64.0/19
AZ,81.30.96.0/23
AZ,82.194.0.0/18
AZ,85.132.0.0/16
AZ,85.158.144.0/20
AZ,88.151.192.0/20
AZ,89.23.124.0/23
AZ,89.37.16.0/20
AZ,89.37.32.0/20
AZ,89.40.30.0/23
AZ,89.41.0.0/20
AZ,89.147.128.0/17
AZ,89.219.32.0/21
AZ,89.219.32.0/20
AZ,89.219.32.0/19
AZ,89.219.132.0/22
AZ,89.219.154.0/23
AZ,89.219.152.0/21
AZ,89.219.160.0/23
AZ,89.219.162.0/23
AZ,89.219.160.0/21
AZ,89.219.168.0/23
AZ,89.219.168.0/22
AZ,89.219.168.0/21
AZ,89.219.160.0/19
AZ,91.103.136.0/23
AZ,91.132.192.0/21
AZ,91.135.224.0/19
AZ,91.191.192.0/19
AZ,91.201.200.0/23
AZ,91.209.224.0/23
AZ,91.216.134.0/23
AZ,91.218.56.0/23
AZ,91.220.216.0/23
AZ,91.234.234.0/23
AZ,91.240.26.0/23
AZ,91.242.0.0/18
AZ,92.39.64.0/19
AZ,93.88.64.0/19
AZ,93.114.130.0/23
AZ,93.184.224.0/19
AZ,94.20.0.0/15
AZ,95.86.128.0/17
AZ,109.104.100.0/22
AZ,109.127.0.0/17
AZ,109.205.160.0/20
AZ,109.205.208.0/20
AZ,109.235.192.0/20
AZ,109.237.96.0/19
AZ,109.239.0.0/19
AZ,130.0.0.0/20
AZ,130.193.74.0/23
AZ,131.117.128.0/19
AZ,134.19.192.0/19
AZ,149.126.96.0/19
AZ,149.255.128.0/19
AZ,158.181.32.0/19
AZ,160.202.24.0/21
AZ,164.215.96.0/20
AZ,176.28.80.0/20
AZ,178.76.0.0/17
AZ,178.237.64.0/19
AZ,185.12.16.0/21
AZ,185.18.240.0/21
AZ,185.26.184.0/21
AZ,185.30.88.0/21
AZ,185.32.40.0/21
AZ,185.34.72.0/21
AZ,185.36.200.0/21
AZ,185.40.32.0/21
AZ,185.40.152.0/21
AZ,185.40.176.0/21
AZ,185.41.200.0/21
AZ,185.43.184.0/21
AZ,185.47.0.0/21
AZ,185.52.128.0/21
AZ,185.55.32.0/21
AZ,185.77.2.0/23
AZ,185.77.248.0/23
AZ,185.80.168.0/21
AZ,185.81.80.0/20
AZ,185.81.216.0/21
AZ,185.83.120.0/21
AZ,185.91.208.0/21
AZ,185.92.224.0/21
AZ,185.93.88.0/22
AZ,185.96.120.0/21
AZ,185.105.192.0/21
AZ,185.112.192.0/21
AZ,185.118.48.0/21
AZ,185.129.0.0/21
AZ,185.129.88.0/21
AZ,185.136.206.0/23
AZ,185.138.8.0/21
AZ,185.143.192.0/21
AZ,185.146.112.0/21
AZ,185.161.224.0/21
AZ,185.193.128.0/21
AZ,185.220.176.0/21
AZ,185.222.88.0/21
AZ,185.230.198.0/23
AZ,185.233.34.0/23
AZ,185.233.176.0/21
AZ,188.64.0.0/20
AZ,188.65.162.0/23
AZ,188.72.128.0/17
AZ,188.213.212.0/23
AZ,188.227.192.0/19
AZ,188.253.0.0/16
AZ,193.8.60.0/22
AZ,193.8.72.0/22
AZ,193.41.128.0/23
AZ,193.42.156.0/23
AZ,193.105.122.0/23
AZ,193.143.230.0/23
AZ,194.39.184.0/23
AZ,194.39.240.0/23
AZ,194.39.242.0/23
AZ,194.135.144.0/20
AZ,194.135.128.0/18
AZ,194.164.222.0/23
AZ,194.164.224.0/23
AZ,195.26.8.0/22
AZ,195.28.4.0/22
AZ,195.216.230.0/23
AZ,212.47.128.0/18
AZ,212.102.122.0/23
AZ,213.142.158.0/23
AZ,213.154.0.0/18
AZ,213.172.64.0/18
AZ,217.14.96.0/19
AZ,217.18.88.0/23
AZ,217.25.0.0/19
AZ,217.64.0.0/19
AZ,217.168.160.0/19
