country,cidr
BA,5.43.0.0/17
BA,5.133.0.0/20
BA,5.133.128.0/18
BA,5.149.64.0/18
BA,5.152.224.0/20
BA,5.154.168.0/22
BA,5.154.228.0/22
BA,5.154.248.0/21
BA,31.47.0.0/18
BA,31.176.0.0/16
BA,31.185.96.0/19
BA,31.216.176.0/20
BA,31.223.128.0/18
BA,31.223.192.0/19
BA,37.8.128.0/19
BA,37.19.16.0/20
BA,37.203.0.0/17
BA,37.205.16.0/20
BA,37.208.32.0/20
BA,45.14.32.0/21
BA,45.82.88.0/21
BA,45.131.112.0/21
BA,45.148.122.0/23
BA,45.156.248.0/21
BA,46.35.128.0/18
BA,46.36.128.0/18
BA,46.229.252.0/23
BA,46.239.0.0/17
BA,46.255.26.0/23
BA,62.68.64.0/18
BA,62.101.128.0/19
BA,62.113.0.0/18
BA,77.74.224.0/20
BA,77.77.128.0/17
BA,77.78.128.0/17
BA,77.221.0.0/18
BA,77.238.192.0/18
BA,77.239.0.0/18
BA,77.239.64.0/18
BA,78.28.128.0/17
BA,79.142.0.0/19
BA,79.142.176.0/21
BA,79.143.160.0/19
BA,80.65.64.0/18
BA,80.80.32.0/19
BA,80.87.224.0/19
BA,80.242.96.0/19
BA,81.93.64.0/18
BA,81.94.0.0/19
BA,82.117.224.0/20
BA,82.118.0.0/19
BA,85.92.192.0/18
BA,85.94.128.0/18
BA,85.158.32.0/20
BA,85.209.96.0/21
BA,85.235.80.0/21
BA,87.247.136.0/21
BA,87.250.64.0/18
BA,89.111.128.0/17
BA,89.146.128.0/17
BA,91.191.0.0/17
BA,91.198.218.0/23
BA,91.205.64.0/21
BA,91.208.254.0/23
BA,91.212.4.0/23
BA,92.36.0.0/16
BA,92.240.0.0/18
BA,92.241.128.0/18
BA,93.157.192.0/20
BA,93.180.64.0/18
BA,93.180.144.0/20
BA,94.250.0.0/16
BA,95.156.128.0/17
BA,109.94.104.0/21
BA,109.105.192.0/19
BA,109.163.128.0/17
BA,109.165.0.0/16
BA,109.175.0.0/16
BA,109.175.232.0/21
BA,109.205.32.0/20
BA,109.237.32.0/19
BA,128.65.96.0/20
BA,134.90.128.0/20
BA,141.170.192.0/19
BA,146.255.128.0/18
BA,159.20.16.0/20
BA,164.40.224.0/20
BA,171.22.16.0/21
BA,176.108.48.0/20
BA,176.119.220.0/23
BA,178.77.0.0/17
BA,178.209.0.0/18
BA,178.210.176.0/20
BA,178.236.64.0/19
BA,185.1.132.0/23
BA,185.6.104.0/21
BA,185.12.72.0/21
BA,185.12.168.0/21
BA,185.13.240.0/21
BA,185.14.120.0/21
BA,185.15.64.0/21
BA,185.16.8.0/21
BA,185.17.40.0/21
BA,185.18.152.0/21
BA,185.24.160.0/21
BA,185.24.208.0/21
BA,185.26.176.0/21
BA,185.32.168.0/21
BA,185.35.152.0/21
BA,185.36.64.0/21
BA,185.36.80.0/21
BA,185.38.144.0/21
BA,185.39.0.0/21
BA,185.48.168.0/21
BA,185.50.56.0/21
BA,185.58.88.0/21
BA,185.65.106.0/23
BA,185.65.120.0/21
BA,185.69.24.0/21
BA,185.84.144.0/21
BA,185.91.152.0/21
BA,185.98.0.0/21
BA,185.99.0.0/21
BA,185.125.120.0/21
BA,185.150.192.0/21
BA,185.164.32.0/21
BA,185.173.24.0/21
BA,185.187.0.0/21
BA,185.202.72.0/21
BA,185.210.176.0/21
BA,185.212.104.0/21
BA,185.237.128.0/21
BA,188.124.192.0/18
BA,188.127.64.0/18
BA,188.246.64.0/18
BA,193.16.156.0/23
BA,193.222.144.0/21
BA,194.41.40.0/21
BA,194.53.152.0/21
BA,194.99.16.0/21
BA,195.130.0.0/18
BA,195.144.24.0/23
BA,195.222.0.0/18
BA,212.39.64.0/18
BA,212.125.128.0/19
BA,213.91.0.0/17
BA,213.196.96.0/19
BA,217.9.16.0/21
BA,217.23.192.0/19
BA,217.24.128.0/19
BA,217.71.32.0/19
BA,217.75.192.0/19
BA,217.197.128.0/20
