country,cidr
BB,23.236.0.0/19
BB,64.119.192.0/19
BB,65.48.0.0/16
BB,69.73.128.0/17
BB,69.80.0.0/17
BB,72.22.128.0/18
BB,72.51.0.0/17
BB,104.153.128.0/20
BB,104.200.96.0/19
BB,104.218.176.0/21
BB,162.212.8.0/21
BB,162.220.128.0/20
BB,162.246.96.0/20
BB,192.65.160.0/20
BB,192.171.112.0/20
BB,192.214.96.0/19
BB,192.235.32.0/19
BB,196.1.160.0/19
BB,196.3.192.0/18
BB,198.56.48.0/20
BB,198.245.160.0/23
BB,198.246.228.0/23
BB,198.246.230.0/23
BB,199.7.112.0/20
BB,199.47.48.0/21
BB,199.58.152.0/21
BB,199.254.96.0/20
BB,200.50.64.0/18
BB,205.214.192.0/18
BB,216.110.64.0/18
