country,cidr
BE,2.56.170.0/23
BE,2.57.40.0/21
BE,2.58.104.0/21
BE,2.59.64.0/21
BE,5.23.0.0/16
BE,5.134.0.0/20
BE,5.149.128.0/20
BE,5.183.48.0/21
BE,5.183.232.0/21
BE,5.255.128.0/20
BE,31.12.64.0/20
BE,31.14.48.0/22
BE,31.22.16.0/20
BE,31.24.112.0/20
BE,31.24.248.0/23
BE,31.31.128.0/18
BE,31.193.32.0/20
BE,31.193.176.0/20
BE,31.216.58.0/23
BE,37.19.0.0/20
BE,37.44.240.0/21
BE,37.58.32.0/20
BE,37.62.0.0/15
BE,37.72.160.0/20
BE,37.123.224.0/20
BE,37.143.0.0/20
BE,37.148.176.0/20
BE,37.184.0.0/14
BE,37.208.48.0/20
BE,37.208.80.0/20
BE,37.228.64.0/20
BE,37.230.112.0/20
BE,45.13.96.0/21
BE,45.13.112.0/21
BE,45.85.16.0/21
BE,45.85.24.0/21
BE,45.86.88.0/21
BE,45.87.72.0/21
BE,45.91.122.0/23
BE,45.91.136.0/21
BE,45.92.192.0/21
BE,45.129.64.0/21
BE,45.138.120.0/21
BE,45.138.168.0/21
BE,45.148.48.0/23
BE,45.149.64.0/21
BE,45.149.96.0/21
BE,45.152.64.0/21
BE,45.152.80.0/21
BE,45.153.152.0/21
BE,45.154.96.0/21
BE,45.156.152.0/21
BE,46.16.240.0/20
BE,46.18.32.0/20
BE,46.19.0.0/20
BE,46.21.224.0/19
BE,46.28.32.0/20
BE,46.31.80.0/20
BE,46.151.96.0/20
BE,46.176.0.0/14
BE,46.182.192.0/20
BE,46.243.16.0/20
BE,46.253.160.0/19
BE,57.0.0.0/15
BE,57.4.0.0/14
BE,57.28.0.0/14
BE,57.38.0.0/15
BE,57.46.0.0/15
BE,57.188.0.0/15
BE,57.188.0.0/14
BE,57.230.0.0/15
BE,57.232.0.0/14
BE,57.236.0.0/15
BE,57.238.0.0/15
BE,57.240.0.0/14
BE,57.250.0.0/15
BE,57.252.0.0/14
BE,62.3.50.0/23
BE,62.4.0.0/16
BE,62.88.0.0/16
BE,62.112.12.0/22
BE,62.112.16.0/20
BE,62.112.28.0/23
BE,62.112.30.0/23
BE,62.122.32.0/21
BE,62.182.48.0/20
BE,62.197.0.0/17
BE,62.205.0.0/17
BE,62.213.128.0/17
BE,62.233.0.0/19
BE,62.234.0.0/15
BE,77.72.224.0/20
BE,77.73.96.0/20
BE,77.73.176.0/20
BE,77.74.80.0/20
BE,77.109.0.0/17
BE,77.241.64.0/19
BE,77.246.240.0/23
BE,77.247.192.0/23
BE,78.16.0.0/13
BE,78.24.112.0/20
BE,78.24.160.0/20
BE,78.29.128.0/17
BE,78.40.96.0/20
BE,78.41.64.0/20
BE,78.110.192.0/19
BE,78.129.0.0/16
BE,79.99.112.0/20
BE,79.99.192.0/20
BE,79.132.192.0/18
BE,79.142.176.0/21
BE,79.174.128.0/20
BE,80.65.128.0/19
BE,80.66.128.0/19
BE,80.84.0.0/19
BE,80.90.192.0/19
BE,80.91.128.0/19
BE,80.200.0.0/14
BE,80.236.0.0/16
BE,81.11.0.0/16
BE,81.80.0.0/14
BE,81.92.96.0/19
BE,81.95.96.0/19
BE,81.164.0.0/14
BE,81.169.0.0/16
BE,81.188.0.0/15
BE,81.201.64.0/19
BE,81.240.0.0/12
BE,82.143.0.0/17
BE,82.146.64.0/18
BE,82.210.64.0/18
BE,82.212.128.0/17
BE,83.134.0.0/15
BE,83.138.56.0/23
BE,83.138.62.0/23
BE,83.150.208.0/21
BE,83.172.140.0/22
BE,83.172.144.0/21
BE,83.172.186.0/23
BE,83.217.64.0/18
BE,83.217.128.0/18
BE,84.17.128.0/18
BE,84.38.248.0/23
BE,84.192.0.0/12
BE,85.10.0.0/17
BE,85.26.0.0/16
BE,85.27.0.0/16
BE,85.28.0.0/17
BE,85.88.0.0/18
BE,85.91.128.0/18
BE,85.118.208.0/20
BE,85.119.176.0/20
BE,85.119.208.0/20
BE,85.158.104.0/21
BE,85.158.208.0/20
BE,85.159.114.0/23
BE,85.200.0.0/15
BE,85.209.32.0/21
BE,85.234.192.0/18
BE,85.255.192.0/19
BE,86.38.0.0/15
BE,86.54.44.0/22
BE,86.107.112.0/20
BE,87.64.0.0/13
BE,87.236.32.0/23
BE,87.236.176.0/22
BE,87.237.0.0/20
BE,87.238.160.0/20
BE,87.238.224.0/20
BE,88.82.0.0/18
BE,88.151.116.0/23
BE,88.151.240.0/20
BE,88.197.0.0/16
BE,88.218.120.0/21
BE,89.35.16.0/20
BE,89.36.72.0/22
BE,89.37.80.0/21
BE,89.41.40.0/21
BE,89.41.48.0/21
BE,89.42.48.0/21
BE,89.44.164.0/22
BE,89.47.36.0/22
BE,89.106.240.0/20
BE,89.207.154.0/23
BE,89.207.176.0/20
BE,89.250.160.0/19
BE,91.84.0.0/14
BE,91.176.0.0/12
BE,91.190.208.0/20
BE,91.194.84.0/22
BE,91.194.200.0/22
BE,91.197.104.0/21
