country,cidr
BF,41.78.48.0/20
BF,41.138.64.0/18
BF,41.203.224.0/19
BF,41.216.128.0/19
BF,41.223.232.0/21
BF,102.23.0.0/17
BF,102.36.160.0/21
BF,102.67.64.0/18
BF,102.67.168.0/21
BF,102.68.32.0/20
BF,102.68.96.0/21
BF,102.68.124.0/23
BF,102.68.184.0/21
BF,102.69.152.0/21
BF,102.176.176.0/21
BF,102.176.0.0/14
BF,102.180.0.0/15
BF,102.207.224.0/21
BF,102.208.240.0/23
BF,102.209.188.0/22
BF,102.211.120.0/23
BF,102.212.160.0/22
BF,102.214.40.0/21
BF,102.214.64.0/21
BF,102.216.120.0/21
BF,102.219.0.0/21
BF,102.219.92.0/23
BF,102.222.56.0/21
BF,102.222.120.0/21
BF,102.223.172.0/22
BF,105.235.160.0/19
BF,129.45.0.0/16
BF,154.65.56.0/21
BF,154.66.160.0/19
BF,160.226.184.0/21
BF,165.16.192.0/19
BF,192.12.116.0/23
BF,192.136.54.0/23
BF,192.136.56.0/22
BF,196.13.206.0/23
BF,196.28.224.0/19
BF,196.43.246.0/23
BF,196.49.18.0/23
BF,196.49.74.0/23
BF,196.60.76.0/23
BF,196.223.46.0/23
BF,197.239.0.0/17
BF,212.52.128.0/18
