country,cidr
BH,31.217.248.0/23
BH,37.131.0.0/16
BH,45.11.72.0/21
BH,46.42.0.0/17
BH,46.184.0.0/16
BH,46.235.208.0/20
BH,62.209.0.0/18
BH,77.69.0.0/16
BH,77.83.88.0/21
BH,77.92.128.0/18
BH,78.110.64.0/19
BH,79.171.240.0/20
BH,80.88.224.0/19
BH,80.95.192.0/19
BH,80.241.128.0/19
BH,81.22.0.0/19
BH,82.194.0.0/18
BH,83.136.48.0/20
BH,84.255.128.0/17
BH,85.158.128.0/20
BH,87.236.48.0/20
BH,87.236.128.0/20
BH,87.237.192.0/20
BH,87.252.96.0/20
BH,87.252.124.0/22
BH,88.201.0.0/16
BH,89.31.192.0/20
BH,89.148.0.0/17
BH,91.189.184.0/21
BH,93.188.192.0/20
BH,94.76.0.0/17
BH,94.79.128.0/17
BH,95.84.0.0/17
BH,109.63.0.0/16
BH,109.161.0.0/16
BH,143.223.178.0/23
BH,178.132.32.0/19
BH,185.3.120.0/21
BH,185.7.8.0/21
BH,185.33.176.0/21
BH,185.34.224.0/21
BH,185.36.88.0/21
BH,185.49.160.0/21
BH,185.143.120.0/21
BH,185.156.232.0/21
BH,185.165.176.0/21
BH,185.236.128.0/21
BH,188.116.128.0/17
BH,188.137.0.0/16
BH,193.25.204.0/23
BH,193.188.12.0/22
BH,193.188.64.0/18
BH,217.17.192.0/18
