country,cidr
BJ,41.74.0.0/19
BJ,41.79.216.0/21
BJ,41.85.128.0/18
BJ,41.86.192.0/18
BJ,41.138.88.0/21
BJ,41.191.80.0/21
BJ,41.216.0.0/18
BJ,41.222.192.0/21
BJ,41.223.248.0/21
BJ,45.221.192.0/18
BJ,81.91.224.0/19
BJ,102.38.128.0/18
BJ,102.207.72.0/21
BJ,102.207.112.0/21
BJ,102.209.80.0/21
BJ,102.214.142.0/23
BJ,102.214.246.0/23
BJ,102.215.88.0/21
BJ,102.215.92.0/23
BJ,102.215.120.0/21
BJ,102.215.136.0/21
BJ,102.222.216.0/21
BJ,137.254.0.0/15
BJ,154.65.24.0/21
BJ,154.66.128.0/19
BJ,154.127.32.0/19
BJ,156.0.208.0/21
BJ,160.119.144.0/21
BJ,164.160.136.0/21
BJ,196.49.8.0/23
BJ,196.192.0.0/19
BJ,196.223.40.0/23
BJ,196.251.152.0/21
BJ,197.234.208.0/20
