country,cidr
BM,31.47.80.0/20
BM,45.42.144.0/21
BM,64.89.168.0/21
BM,64.147.64.0/19
BM,66.55.96.0/19
BM,66.97.172.0/22
BM,69.17.192.0/18
BM,74.114.240.0/21
BM,76.8.32.0/19
BM,104.218.160.0/20
BM,142.54.192.0/20
BM,162.219.232.0/23
BM,162.221.208.0/21
BM,162.255.208.0/20
BM,185.198.104.0/21
BM,192.40.80.0/21
BM,192.156.198.0/23
BM,196.1.106.0/23
BM,196.12.0.0/17
BM,198.182.170.0/23
BM,198.186.234.0/23
BM,198.187.170.0/23
BM,198.207.16.0/20
BM,199.15.224.0/21
BM,199.16.248.0/21
BM,199.27.68.0/22
BM,199.68.192.0/21
BM,199.87.168.0/22
BM,199.96.64.0/21
BM,199.193.224.0/21
BM,200.1.160.0/23
BM,200.10.164.0/23
BM,200.10.166.0/23
BM,204.13.16.0/20
BM,205.211.8.0/22
BM,206.53.160.0/19
BM,206.188.128.0/18
BM,207.2.96.0/20
BM,207.228.128.0/17
BM,208.64.0.0/22
BM,208.64.4.0/22
BM,208.75.200.0/21
BM,208.82.160.0/21
BM,208.89.224.0/21
BM,209.240.32.0/19
BM,216.249.32.0/19
