country,cidr
BN,43.225.40.0/21
BN,43.225.136.0/21
BN,43.251.128.0/21
BN,45.126.136.0/21
BN,45.127.136.0/21
BN,58.97.128.0/19
BN,61.6.128.0/17
BN,103.4.184.0/21
BN,103.12.208.0/22
BN,103.16.120.0/21
BN,103.17.24.0/21
BN,103.18.168.0/21
BN,103.20.24.0/21
BN,103.42.208.0/21
BN,103.139.108.0/23
BN,103.162.82.0/23
BN,103.170.170.0/23
BN,103.224.96.0/21
BN,103.230.64.0/21
BN,118.103.240.0/20
BN,119.160.128.0/17
BN,139.5.184.0/21
BN,156.30.0.0/15
BN,158.160.0.0/15
BN,185.8.96.0/21
BN,185.100.40.0/21
BN,192.94.122.0/23
BN,195.128.0.0/21
BN,202.59.230.0/23
BN,202.86.16.0/20
BN,202.90.36.0/23
BN,202.93.192.0/19
BN,202.152.64.0/18
BN,202.160.0.0/18
