country,cidr
BO,45.4.96.0/22
BO,45.5.12.0/23
BO,45.68.0.0/21
BO,45.70.176.0/21
BO,45.163.16.0/22
BO,45.183.184.0/21
BO,45.225.74.0/23
BO,45.226.32.0/21
BO,45.229.194.0/23
BO,45.229.244.0/22
BO,45.232.44.0/22
BO,45.236.192.0/21
BO,131.0.0.0/21
BO,131.0.192.0/21
BO,132.251.192.0/18
BO,138.36.72.0/21
BO,143.0.100.0/23
BO,143.137.112.0/21
BO,143.137.224.0/21
BO,160.20.224.0/23
BO,161.22.0.0/16
BO,161.56.0.0/15
BO,161.138.0.0/15
BO,166.114.0.0/15
BO,167.156.0.0/15
BO,167.250.134.0/23
BO,168.197.240.0/21
BO,168.205.96.0/21
BO,168.228.128.0/21
BO,170.82.244.0/22
BO,170.239.120.0/21
BO,170.245.34.0/23
BO,170.247.160.0/21
BO,177.222.0.0/18
BO,177.222.64.0/18
BO,179.0.30.0/23
BO,179.42.80.0/21
BO,179.56.0.0/14
BO,179.60.96.0/19
BO,181.114.0.0/17
BO,181.114.128.0/18
BO,181.115.0.0/16
BO,181.177.128.0/17
BO,181.188.128.0/17
BO,181.191.64.0/21
BO,181.226.0.0/15
BO,186.0.152.0/21
BO,186.2.0.0/16
BO,186.27.0.0/16
BO,186.121.128.0/17
BO,186.195.246.0/23
BO,187.102.200.0/21
BO,190.0.240.0/20
BO,190.3.176.0/20
BO,190.11.64.0/18
BO,190.14.0.0/17
BO,190.52.48.0/20
BO,190.99.88.0/21
BO,190.103.64.0/19
BO,190.104.0.0/18
BO,190.106.224.0/19
BO,190.107.0.0/18
BO,190.109.192.0/18
BO,190.111.152.0/21
BO,190.111.178.0/23
BO,190.128.0.0/15
BO,190.171.128.0/17
BO,190.180.0.0/16
BO,190.181.0.0/17
BO,190.186.0.0/15
BO,190.211.224.0/19
BO,191.241.60.0/22
BO,192.223.0.0/17
BO,192.245.120.0/23
BO,200.7.160.0/19
BO,200.9.164.0/23
BO,200.9.164.0/22
BO,200.9.168.0/23
BO,200.10.156.0/22
BO,200.12.240.0/20
BO,200.13.144.0/20
BO,200.33.112.0/23
BO,200.58.64.0/18
BO,200.58.128.0/18
BO,200.73.96.0/20
BO,200.75.160.0/19
BO,200.85.128.0/20
BO,200.85.136.0/21
BO,200.85.144.0/20
BO,200.86.0.0/15
BO,200.90.144.0/20
BO,200.105.128.0/17
BO,200.106.244.0/22
BO,200.107.240.0/20
BO,200.110.32.0/19
BO,200.119.192.0/18
BO,201.131.40.0/23
BO,201.131.44.0/23
BO,201.150.128.0/18
BO,201.222.0.0/17
