country,cidr
BT,36.50.36.0/23
BT,43.229.120.0/21
BT,43.230.208.0/23
BT,43.241.136.0/21
BT,45.64.248.0/21
BT,103.7.248.0/21
BT,103.29.224.0/21
BT,103.71.40.0/21
BT,103.78.110.0/23
BT,103.78.116.0/22
BT,103.80.104.0/21
BT,103.97.86.0/23
BT,103.117.80.0/23
BT,103.119.126.0/23
BT,103.127.254.0/23
BT,103.129.60.0/22
BT,103.133.216.0/21
BT,103.151.230.0/23
BT,103.161.248.0/22
BT,103.166.40.0/22
BT,103.179.204.0/22
BT,103.197.176.0/21
BT,103.234.124.0/22
BT,103.245.240.0/21
BT,103.252.84.0/23
BT,118.103.128.0/20
BT,119.2.64.0/18
BT,157.10.112.0/20
BT,157.10.128.0/22
BT,157.10.128.0/20
BT,157.10.144.0/21
BT,160.30.184.0/22
BT,160.191.60.0/22
BT,163.223.202.0/23
BT,163.227.12.0/22
BT,163.227.16.0/22
BT,163.227.16.0/21
BT,163.227.16.0/20
BT,163.227.68.0/22
BT,202.89.16.0/20
BT,202.144.128.0/18
BT,220.158.232.0/21
