country,cidr
BW,41.74.32.0/19
BW,41.75.0.0/19
BW,41.76.240.0/20
BW,41.77.80.0/20
BW,41.79.32.0/21
BW,41.79.136.0/21
BW,41.87.128.0/18
BW,41.138.64.0/20
BW,41.190.240.0/21
BW,41.191.64.0/21
BW,41.191.216.0/21
BW,41.216.208.0/20
BW,41.223.72.0/21
BW,41.223.136.0/21
BW,41.223.192.0/21
BW,83.143.16.0/20
BW,102.134.80.0/21
BW,102.134.160.0/19
BW,102.141.112.0/20
BW,102.165.128.0/18
BW,102.207.232.0/21
BW,102.208.32.0/21
BW,102.208.192.0/21
BW,102.210.158.0/23
BW,102.210.252.0/23
BW,102.211.136.0/21
BW,102.214.126.0/23
BW,102.215.0.0/21
BW,102.219.74.0/23
BW,102.219.206.0/23
BW,102.222.8.0/21
BW,102.222.48.0/21
BW,102.222.172.0/23
BW,105.235.224.0/19
BW,129.205.128.0/17
BW,154.0.16.0/20
BW,154.70.144.0/20
BW,154.73.32.0/21
BW,154.73.80.0/21
BW,156.38.0.0/21
BW,156.38.0.0/19
BW,168.166.0.0/15
BW,169.255.80.0/21
BW,196.2.2.0/23
BW,196.45.160.0/21
BW,196.49.24.0/23
BW,196.60.4.0/23
BW,196.61.208.0/20
BW,196.216.162.0/23
BW,197.231.192.0/21
