country,cidr
BZ,2.56.40.0/21
BZ,2.59.8.0/22
BZ,5.253.160.0/21
BZ,45.67.176.0/21
BZ,45.70.224.0/21
BZ,45.70.240.0/21
BZ,45.136.40.0/21
BZ,45.143.216.0/21
BZ,45.145.72.0/21
BZ,45.151.24.0/21
BZ,45.180.120.0/21
BZ,45.225.42.0/23
BZ,45.228.156.0/23
BZ,45.234.88.0/21
BZ,46.102.152.0/23
BZ,46.102.252.0/22
BZ,77.81.120.0/22
BZ,77.247.108.0/22
BZ,82.115.14.0/23
BZ,83.150.232.0/21
BZ,85.204.74.0/23
BZ,85.209.136.0/21
BZ,86.104.14.0/23
BZ,86.104.28.0/22
BZ,86.105.0.0/23
BZ,86.105.4.0/23
BZ,86.105.18.0/23
BZ,86.105.226.0/23
BZ,86.105.234.0/23
BZ,86.106.92.0/23
BZ,86.106.102.0/23
BZ,86.106.130.0/23
BZ,86.107.42.0/23
BZ,86.107.168.0/22
BZ,89.32.40.0/23
BZ,89.33.64.0/23
BZ,89.34.110.0/23
BZ,89.35.32.0/23
BZ,89.35.56.0/23
BZ,89.35.178.0/23
BZ,89.37.226.0/23
BZ,89.42.212.0/23
BZ,89.43.60.0/23
BZ,89.43.200.0/22
BZ,89.44.102.0/23
BZ,89.45.66.0/23
BZ,91.90.162.0/23
BZ,91.209.70.0/23
BZ,91.212.150.0/23
BZ,91.226.96.0/23
BZ,91.234.98.0/23
BZ,91.245.232.0/22
BZ,92.114.34.0/23
BZ,92.114.92.0/23
BZ,93.113.44.0/23
BZ,93.113.130.0/23
BZ,93.115.38.0/23
BZ,93.115.60.0/22
BZ,93.115.200.0/23
BZ,93.117.136.0/23
BZ,93.119.122.0/23
BZ,93.157.60.0/22
BZ,94.158.216.0/22
BZ,94.177.12.0/23
BZ,94.177.112.0/23
BZ,94.177.122.0/23
BZ,121.127.32.0/23
BZ,131.161.144.0/21
BZ,131.255.40.0/21
BZ,138.97.152.0/21
BZ,138.99.120.0/21
BZ,138.99.208.0/21
BZ,138.185.72.0/21
BZ,141.98.88.0/21
BZ,152.89.8.0/21
BZ,160.238.136.0/21
BZ,167.249.200.0/21
BZ,168.90.240.0/21
BZ,168.195.72.0/21
BZ,168.197.208.0/21
BZ,170.0.176.0/21
BZ,170.247.216.0/21
BZ,170.254.16.0/21
BZ,171.22.32.0/21
BZ,176.223.110.0/23
BZ,176.223.112.0/22
BZ,176.223.164.0/23
BZ,178.159.36.0/23
BZ,179.42.128.0/17
BZ,179.51.248.0/21
BZ,179.60.144.0/20
BZ,179.63.208.0/20
BZ,181.177.0.0/17
BZ,181.233.120.0/21
BZ,185.53.88.0/22
BZ,185.66.136.0/21
BZ,185.77.128.0/21
BZ,185.130.40.0/21
BZ,185.131.220.0/22
BZ,185.142.216.0/23
BZ,185.142.218.0/23
BZ,185.145.114.0/23
BZ,185.156.200.0/21
BZ,185.221.220.0/23
BZ,185.223.56.0/23
BZ,185.240.252.0/23
BZ,186.65.88.0/21
BZ,188.119.88.0/21
BZ,188.211.168.0/23
BZ,188.213.204.0/23
BZ,188.215.0.0/23
BZ,188.215.92.0/23
BZ,188.240.234.0/23
BZ,188.241.38.0/23
BZ,188.241.68.0/23
BZ,190.102.96.0/21
BZ,190.102.112.0/20
BZ,190.124.40.0/21
BZ,190.197.0.0/16
BZ,190.211.144.0/23
BZ,190.211.144.0/22
BZ,190.211.148.0/23
BZ,191.97.80.0/20
BZ,193.150.70.0/23
BZ,193.168.176.0/21
BZ,193.203.36.0/23
BZ,193.203.38.0/23
BZ,193.218.190.0/23
BZ,194.38.24.0/21
BZ,194.145.208.0/22
BZ,195.80.32.0/21
BZ,199.231.234.0/23
BZ,200.10.194.0/23
BZ,200.32.128.0/17
BZ,200.123.208.0/20
BZ,202.181.176.0/23
BZ,203.23.102.0/23
BZ,203.24.108.0/23
BZ,203.29.52.0/22
BZ,203.30.184.0/21
BZ,209.145.40.0/23
