country,cidr
CH,2.56.40.0/21
CH,2.56.168.0/23
CH,2.59.120.0/21
CH,5.1.96.0/20
CH,5.1.112.0/20
CH,5.44.96.0/19
CH,5.53.96.0/20
CH,5.57.192.0/20
CH,5.61.224.0/20
CH,5.102.32.0/21
CH,5.102.144.0/20
CH,5.104.80.0/20
CH,5.134.16.0/20
CH,5.144.0.0/18
CH,5.145.0.0/17
CH,5.148.128.0/18
CH,5.149.0.0/20
CH,5.149.0.0/19
CH,5.149.0.0/18
CH,5.152.176.0/20
CH,5.153.96.0/19
CH,5.153.240.0/20
CH,5.154.170.0/23
CH,5.154.186.0/23
CH,5.172.128.0/19
CH,5.180.112.0/21
CH,5.180.128.0/21
CH,5.182.248.0/21
CH,5.183.0.0/20
CH,5.187.48.0/20
CH,5.226.144.0/20
CH,5.249.160.0/20
CH,5.252.136.0/21
CH,5.253.208.0/21
CH,5.255.56.0/23
CH,31.3.128.0/20
CH,31.10.0.0/16
CH,31.11.0.0/18
CH,31.24.0.0/20
CH,31.25.8.0/21
CH,31.25.112.0/20
CH,31.31.32.0/19
CH,31.40.232.0/21
CH,31.44.32.0/19
CH,31.130.224.0/19
CH,31.132.8.0/21
CH,31.133.128.0/17
CH,31.164.0.0/14
CH,31.171.144.0/20
CH,31.171.224.0/19
CH,31.193.208.0/20
CH,31.207.48.0/21
CH,31.207.56.0/21
CH,31.216.32.0/20
CH,31.222.16.0/20
CH,37.0.0.0/18
CH,37.17.224.0/20
CH,37.35.96.0/20
CH,37.35.96.0/19
CH,37.46.144.0/21
CH,37.110.192.0/20
CH,37.128.176.0/20
CH,37.131.176.0/20
CH,37.153.80.0/20
CH,37.156.32.0/20
CH,37.200.86.0/23
CH,37.203.240.0/20
CH,37.209.160.0/19
CH,37.252.128.0/18
CH,45.8.240.0/21
CH,45.9.72.0/21
CH,45.9.160.0/21
CH,45.10.38.0/23
CH,45.10.168.0/21
CH,45.10.176.0/21
CH,45.11.128.0/21
CH,45.11.216.0/21
CH,45.12.64.0/21
CH,45.12.120.0/21
CH,45.12.252.0/23
CH,45.13.200.0/21
CH,45.14.56.0/21
CH,45.14.128.0/21
CH,45.15.80.0/21
CH,45.15.184.0/21
CH,45.66.0.0/21
CH,45.66.168.0/21
CH,45.66.216.0/21
CH,45.66.232.0/21
CH,45.67.48.0/21
CH,45.80.16.0/21
CH,45.80.136.0/21
CH,45.81.64.0/21
CH,45.82.32.0/21
CH,45.83.64.0/21
CH,45.85.88.0/21
CH,45.85.96.0/21
CH,45.86.36.0/23
CH,45.86.128.0/21
CH,45.86.216.0/21
CH,45.87.72.0/21
CH,45.87.176.0/21
CH,45.88.24.0/21
CH,45.89.0.0/21
CH,45.91.200.0/21
CH,45.91.228.0/23
CH,45.92.104.0/21
CH,45.93.88.0/21
CH,45.94.88.0/21
CH,45.95.96.0/21
CH,45.128.16.0/21
CH,45.128.40.0/21
CH,45.129.224.0/21
CH,45.131.168.0/21
CH,45.131.184.0/21
CH,45.131.240.0/21
CH,45.134.88.0/21
CH,45.134.128.0/21
CH,45.136.136.0/21
CH,45.139.128.0/21
CH,45.140.96.0/21
CH,45.140.216.0/21
CH,45.141.48.0/21
CH,45.141.96.0/21
CH,45.142.224.0/21
CH,45.143.120.0/21
CH,45.143.152.0/21
CH,45.143.208.0/21
CH,45.144.16.0/21
CH,45.146.192.0/22
CH,45.147.40.0/21
CH,45.147.216.0/21
CH,45.148.48.0/23
CH,45.148.112.0/21
CH,45.148.232.0/21
CH,45.149.232.0/21
CH,45.151.84.0/22
CH,45.151.208.0/21
CH,45.153.88.0/23
CH,45.153.136.0/21
CH,45.154.200.0/21
CH,45.154.216.0/23
CH,45.155.72.0/21
CH,45.157.48.0/21
CH,45.157.184.0/21
CH,45.157.224.0/21
CH,46.14.0.0/15
CH,46.16.144.0/20
CH,46.16.192.0/20
CH,46.19.160.0/20
CH,46.20.224.0/19
CH,46.21.16.0/21
CH,46.21.16.0/20
CH,46.22.0.0/19
CH,46.28.192.0/20
CH,46.36.202.0/23
CH,46.102.234.0/23
CH,46.102.238.0/23
CH,46.124.0.0/14
CH,46.140.0.0/15
CH,46.175.8.0/21
CH,46.227.224.0/20
CH,46.231.192.0/20
CH,46.232.176.0/20
CH,46.234.0.0/18
CH,46.235.48.0/20
CH,46.235.144.0/20
CH,46.245.144.0/20
CH,46.245.176.0/20
CH,46.253.160.0/19
CH,46.255.160.0/20
CH,51.154.0.0/15
CH,57.0.0.0/15
CH,57.0.0.0/14
CH,57.8.0.0/13
CH,57.12.0.0/14
CH,57.16.0.0/13
CH,57.28.0.0/14
CH,57.32.0.0/15
CH,57.34.0.0/15
CH,57.36.0.0/15
CH,57.36.0.0/14
CH,57.48.0.0/15
CH,57.50.0.0/15
CH,57.52.0.0/15
CH,57.56.0.0/13
CH,57.184.0.0/14
CH,57.188.0.0/15
CH,57.206.0.0/16
CH,57.224.0.0/13
CH,57.228.0.0/14
CH,57.234.0.0/15
CH,57.236.0.0/15
CH,57.244.0.0/15
CH,57.246.0.0/15
CH,57.248.0.0/15
CH,57.252.0.0/14
CH,62.2.0.0/15
CH,62.12.0.0/16
CH,62.32.0.0/18
CH,62.48.0.0/18
CH,62.48.64.0/18
CH,62.65.128.0/18
CH,62.106.92.0/23
CH,62.108.128.0/18
CH,62.121.128.0/17
CH,62.133.56.0/23
CH,62.164.180.0/23
CH,62.164.184.0/23
CH,62.166.0.0/15
CH,62.169.136.0/22
CH,62.171.0.0/16
CH,62.182.176.0/20
CH,62.200.0.0/14
CH,62.204.64.0/18
CH,62.220.128.0/18
CH,62.240.192.0/18
CH,64.110.32.0/19
CH,65.18.128.0/17
CH,68.70.192.0/19
CH,74.118.120.0/21
CH,77.32.224.0/19
