country,cidr
CI,41.66.0.0/17
CI,41.67.64.0/19
CI,41.67.80.0/20
CI,41.67.64.0/18
CI,41.73.0.0/19
CI,41.74.96.0/19
CI,41.75.0.0/19
CI,41.75.32.0/19
CI,41.76.128.0/20
CI,41.76.160.0/20
CI,41.76.224.0/20
CI,41.77.160.0/20
CI,41.77.216.0/21
CI,41.77.240.0/20
CI,41.78.8.0/21
CI,41.78.40.0/21
CI,41.78.64.0/21
CI,41.78.88.0/21
CI,41.78.104.0/21
CI,41.78.128.0/21
CI,41.78.144.0/21
CI,41.78.152.0/21
CI,41.78.160.0/21
CI,41.78.176.0/20
CI,41.78.232.0/21
CI,41.79.0.0/21
CI,41.79.8.0/21
CI,41.79.80.0/21
CI,41.79.96.0/21
CI,41.79.112.0/21
CI,41.79.136.0/21
CI,41.84.128.0/18
CI,41.87.0.0/18
CI,41.139.0.0/17
CI,41.189.0.0/18
CI,41.189.64.0/18
CI,41.189.128.0/18
CI,41.190.128.0/18
CI,41.190.192.0/18
CI,41.190.240.0/21
CI,41.190.248.0/21
CI,41.191.0.0/17
CI,41.191.64.0/21
CI,41.191.88.0/21
CI,41.191.104.0/21
CI,41.191.112.0/21
CI,41.191.208.0/21
CI,41.202.0.0/17
CI,41.205.128.0/18
CI,41.206.64.0/18
CI,41.206.192.0/18
CI,41.207.0.0/18
CI,41.207.192.0/18
CI,41.209.128.0/17
CI,41.211.128.0/17
CI,41.215.192.0/19
CI,41.215.224.0/20
CI,41.216.0.0/18
CI,41.216.224.0/19
CI,41.217.192.0/21
CI,41.217.208.0/21
CI,41.217.240.0/20
CI,41.219.128.0/17
CI,41.221.96.0/19
CI,41.222.80.0/20
CI,41.223.0.0/21
CI,41.223.8.0/21
CI,41.223.64.0/21
CI,41.223.184.0/21
CI,41.223.208.0/21
CI,41.242.128.0/21
CI,41.242.160.0/19
CI,41.245.0.0/16
CI,45.221.26.0/23
CI,62.193.128.0/18
CI,81.22.64.0/18
CI,102.22.96.0/21
CI,102.67.128.0/17
CI,102.130.224.0/20
CI,102.135.184.0/21
CI,102.135.190.0/23
CI,102.136.0.0/13
CI,102.207.0.0/21
CI,102.207.0.0/20
CI,102.208.128.0/21
CI,102.208.168.0/21
CI,102.209.208.0/20
CI,102.210.16.0/21
CI,102.210.80.0/21
CI,102.210.208.0/23
CI,102.211.232.0/21
CI,102.212.0.0/21
CI,102.212.184.0/21
CI,102.213.112.0/21
CI,102.213.168.0/21
CI,102.215.224.0/20
CI,102.215.248.0/21
CI,102.216.80.0/21
CI,102.216.96.0/21
CI,102.216.200.0/21
CI,102.217.104.0/21
CI,102.221.152.0/23
CI,102.222.80.0/22
CI,102.223.24.0/21
CI,102.223.248.0/23
CI,102.223.252.0/22
CI,105.235.0.0/16
CI,154.0.16.0/20
CI,154.0.144.0/20
CI,154.65.56.0/21
CI,154.66.96.0/21
CI,154.66.112.0/21
CI,154.66.208.0/21
CI,154.68.0.0/17
CI,154.71.0.0/18
CI,154.71.0.0/17
CI,154.72.0.0/21
CI,154.72.96.0/19
CI,154.73.96.0/21
CI,154.119.128.0/19
CI,154.232.0.0/13
CI,156.0.200.0/21
CI,160.20.212.0/23
CI,160.20.216.0/23
CI,160.20.220.0/23
CI,160.20.224.0/22
CI,160.120.0.0/15
CI,160.152.0.0/14
CI,160.226.178.0/23
CI,160.238.10.0/23
CI,160.238.50.0/23
CI,160.238.56.0/23
CI,160.238.100.0/23
CI,164.160.32.0/21
CI,164.160.40.0/21
CI,164.160.96.0/21
CI,169.239.64.0/21
CI,169.255.16.0/21
CI,169.255.80.0/21
CI,169.255.152.0/21
CI,192.12.110.0/23
CI,192.47.36.0/23
CI,192.51.240.0/23
CI,192.70.200.0/23
CI,192.75.236.0/23
CI,192.91.200.0/23
CI,192.145.176.0/21
CI,192.145.230.0/23
CI,193.17.214.0/23
CI,193.221.218.0/23
CI,195.166.192.0/18
CI,196.1.118.0/23
CI,196.3.176.0/21
CI,196.6.0.0/23
CI,196.6.200.0/23
CI,196.6.216.0/22
CI,196.10.0.0/23
CI,196.10.120.0/22
CI,196.10.136.0/23
CI,196.10.250.0/23
CI,196.13.190.0/23
CI,196.22.8.0/21
CI,196.29.192.0/19
CI,196.32.128.0/18
CI,196.32.228.0/22
CI,196.40.128.0/19
CI,196.41.74.0/23
CI,196.43.216.0/23
CI,196.43.226.0/23
CI,196.43.232.0/23
CI,196.43.244.0/23
CI,196.44.32.0/19
CI,196.45.0.0/19
CI,196.45.64.0/18
CI,196.45.224.0/19
CI,196.46.16.0/23
CI,196.46.24.0/23
CI,196.46.112.0/21
CI,196.47.128.0/17
CI,196.49.0.0/23
CI,196.176.0.0/13
CI,196.192.120.0/21
CI,196.192.124.0/23
CI,196.192.124.0/22
CI,196.192.128.0/20
CI,196.200.192.0/19
CI,196.201.0.0/23
CI,196.201.8.0/21
CI,196.201.64.0/18
CI,196.201.128.0/18
CI,196.201.240.0/20
CI,196.216.170.0/23
CI,196.216.184.0/21
CI,196.216.204.0/23
CI,196.216.214.0/23
CI,196.216.224.0/22
CI,196.216.244.0/23
CI,196.216.254.0/23
CI,196.223.4.0/23
CI,196.223.10.0/23
CI,196.223.26.0/23
CI,196.223.46.0/23
CI,196.250.0.0/17
CI,197.148.192.0/18
CI,197.149.128.0/21
CI,197.149.136.0/21
CI,197.149.152.0/21
CI,197.149.160.0/21
CI,197.149.168.0/21
CI,197.155.192.0/19
CI,197.155.240.0/20
CI,197.157.232.0/21
CI,197.157.248.0/21
CI,197.159.128.0/17
CI,197.214.112.0/20
CI,197.215.224.0/19
CI,197.220.0.0/18
CI,197.231.208.0/21
CI,197.231.224.0/21
CI,197.231.240.0/21
CI,197.234.224.0/21
CI,197.234.240.0/20
CI,197.239.128.0/17
CI,197.242.192.0/19
CI,197.242.224.0/19
CI,213.136.64.0/18
