country,cidr
CM,41.77.80.0/20
CM,41.92.128.0/20
CM,41.92.144.0/20
CM,41.92.176.0/21
CM,41.92.184.0/21
CM,41.92.192.0/21
CM,41.92.200.0/21
CM,41.92.208.0/20
CM,41.92.224.0/23
CM,41.92.240.0/20
CM,41.190.224.0/21
CM,41.191.96.0/21
CM,41.202.192.0/18
CM,41.204.64.0/18
CM,41.205.0.0/18
CM,41.205.64.0/18
CM,41.211.64.0/18
CM,41.216.232.0/21
CM,41.217.144.0/21
CM,41.223.24.0/21
CM,102.132.0.0/19
CM,102.135.188.0/23
CM,102.208.52.0/22
CM,102.208.80.0/23
CM,102.208.104.0/21
CM,102.208.120.0/21
CM,102.209.18.0/23
CM,102.210.64.0/21
CM,102.210.112.0/21
CM,102.211.54.0/23
CM,102.216.38.0/23
CM,102.218.160.0/21
CM,102.218.248.0/21
CM,102.219.40.0/21
CM,102.219.64.0/21
CM,102.220.16.0/21
CM,102.220.222.0/23
CM,102.223.6.0/23
CM,102.240.0.0/13
CM,129.0.0.0/15
CM,154.70.64.0/18
CM,154.72.128.0/17
CM,154.126.128.0/17
CM,165.208.0.0/14
CM,169.239.40.0/21
CM,169.255.0.0/21
CM,192.145.184.0/22
CM,195.24.192.0/18
CM,196.3.90.0/23
CM,196.49.38.0/23
CM,196.49.84.0/23
CM,196.60.4.0/22
CM,196.60.84.0/23
CM,196.202.224.0/20
CM,196.216.212.0/23
CM,197.159.0.0/18
