country,cidr
CO,24.152.56.0/23
CO,24.152.56.0/22
CO,45.5.160.0/20
CO,45.5.168.0/21
CO,45.5.176.0/21
CO,45.5.176.0/20
CO,45.7.128.0/21
CO,45.65.136.0/21
CO,45.65.200.0/23
CO,45.65.232.0/21
CO,45.68.16.0/20
CO,45.68.32.0/23
CO,45.68.32.0/21
CO,45.70.168.0/21
CO,45.71.6.0/23
CO,45.71.176.0/21
CO,45.127.192.0/21
CO,45.162.0.0/21
CO,45.162.72.0/21
CO,45.162.80.0/22
CO,45.162.84.0/22
CO,45.162.126.0/23
CO,45.163.28.0/22
CO,45.167.124.0/22
CO,45.167.248.0/21
CO,45.168.104.0/21
CO,45.169.96.0/22
CO,45.169.252.0/23
CO,45.170.120.0/21
CO,45.170.128.0/21
CO,45.170.240.0/21
CO,45.171.118.0/23
CO,45.171.176.0/21
CO,45.172.176.0/22
CO,45.172.184.0/21
CO,45.172.218.0/23
CO,45.172.220.0/22
CO,45.173.0.0/21
CO,45.173.8.0/21
CO,45.173.12.0/22
CO,45.173.44.0/23
CO,45.173.64.0/21
CO,45.174.224.0/22
CO,45.174.226.0/23
CO,45.175.20.0/23
CO,45.175.138.0/23
CO,45.176.68.0/22
CO,45.176.192.0/23
CO,45.176.232.0/21
CO,45.177.52.0/22
CO,45.177.104.0/21
CO,45.178.0.0/21
CO,45.178.8.0/21
CO,45.178.64.0/21
CO,45.179.160.0/21
CO,45.179.200.0/21
CO,45.179.240.0/21
CO,45.180.20.0/22
CO,45.180.44.0/23
CO,45.180.80.0/22
CO,45.180.112.0/23
CO,45.181.152.0/21
CO,45.181.184.0/21
CO,45.181.200.0/21
CO,45.182.40.0/23
CO,45.182.188.0/22
CO,45.183.40.0/23
CO,45.183.192.0/21
CO,45.183.246.0/23
CO,45.185.30.0/23
CO,45.187.48.0/21
CO,45.189.118.0/23
CO,45.189.234.0/23
CO,45.190.86.0/23
CO,45.191.0.0/21
CO,45.191.40.0/21
CO,45.191.72.0/22
CO,45.191.232.0/21
CO,45.224.186.0/23
CO,45.225.224.0/21
CO,45.226.112.0/21
CO,45.226.184.0/22
CO,45.227.4.0/23
CO,45.227.88.0/21
CO,45.228.66.0/23
CO,45.229.72.0/22
CO,45.229.192.0/22
CO,45.230.32.0/23
CO,45.231.184.0/21
CO,45.233.0.0/21
CO,45.233.72.0/21
CO,45.233.168.0/21
CO,45.235.40.0/21
CO,45.238.144.0/21
CO,45.238.176.0/21
CO,45.238.192.0/21
CO,45.239.88.0/21
CO,45.239.106.0/23
CO,45.239.114.0/23
CO,91.205.232.0/21
CO,103.99.32.0/23
CO,103.133.208.0/21
CO,103.212.82.0/23
CO,103.219.232.0/22
CO,130.250.224.0/21
CO,131.0.136.0/21
CO,131.0.168.0/21
CO,131.72.136.0/21
CO,131.100.48.0/21
CO,131.108.168.0/21
CO,131.196.208.0/20
CO,131.221.40.0/21
CO,131.255.16.0/23
CO,131.255.16.0/22
CO,132.255.16.0/21
CO,138.0.40.0/21
CO,138.0.88.0/21
CO,138.0.112.0/21
CO,138.36.64.0/21
CO,138.94.0.0/21
CO,138.97.56.0/21
CO,138.97.80.0/21
CO,138.117.40.0/21
CO,138.117.80.0/21
CO,138.117.104.0/21
CO,138.117.136.0/21
CO,138.117.168.0/21
CO,138.121.0.0/21
CO,138.121.8.0/21
CO,138.121.152.0/21
CO,138.121.200.0/21
CO,138.122.200.0/21
CO,138.186.16.0/21
CO,138.186.184.0/21
CO,138.204.232.0/21
CO,143.0.88.0/21
CO,143.0.100.0/22
CO,143.0.104.0/21
CO,143.137.96.0/21
CO,143.208.64.0/21
CO,147.75.96.0/19
CO,148.222.224.0/21
CO,148.222.228.0/22
CO,148.222.224.0/20
CO,152.200.0.0/13
CO,152.231.16.0/20
CO,157.252.0.0/15
CO,161.10.0.0/15
CO,161.18.0.0/15
CO,166.210.0.0/15
CO,166.238.0.0/15
CO,167.0.0.0/15
CO,167.249.40.0/21
CO,167.250.120.0/21
CO,167.250.134.0/23
CO,168.0.240.0/21
CO,168.90.8.0/21
CO,168.176.0.0/15
CO,168.197.64.0/21
CO,168.227.0.0/21
CO,168.227.104.0/21
CO,168.227.240.0/21
CO,168.228.104.0/21
CO,168.228.120.0/21
CO,168.232.32.0/21
CO,170.0.8.0/21
CO,170.78.40.0/21
CO,170.78.184.0/23
CO,170.79.88.0/21
CO,170.80.8.0/21
CO,170.80.96.0/21
CO,170.81.24.0/21
CO,170.81.248.0/21
CO,170.82.40.0/22
CO,170.83.58.0/23
CO,170.238.64.0/22
CO,170.238.168.0/22
CO,170.238.224.0/22
CO,170.238.232.0/21
CO,170.239.152.0/22
CO,170.245.156.0/22
CO,170.246.112.0/21
CO,170.247.0.0/21
CO,170.254.0.0/21
CO,170.254.224.0/21
CO,177.8.64.0/20
CO,177.73.152.0/21
CO,177.74.96.0/21
CO,177.74.200.0/21
CO,177.93.0.0/18
CO,177.126.32.0/21
CO,177.248.0.0/13
CO,179.0.8.0/23
CO,179.0.10.0/23
CO,179.0.14.0/23
CO,179.0.26.0/23
CO,179.0.28.0/23
CO,179.0.146.0/23
CO,179.0.204.0/23
CO,179.1.0.0/16
CO,179.1.160.0/19
CO,179.1.128.0/17
CO,179.8.0.0/13
CO,179.16.0.0/14
CO,179.32.0.0/14
CO,179.42.76.0/22
CO,179.42.92.0/22
CO,179.42.168.0/21
CO,179.43.0.0/21
CO,179.43.96.0/20
