country,cidr
CW,45.71.152.0/21
CW,45.234.112.0/21
CW,81.29.0.0/19
CW,91.194.236.0/22
CW,131.72.112.0/21
CW,131.221.144.0/21
CW,138.99.208.0/21
CW,138.219.136.0/21
CW,161.0.96.0/19
CW,161.22.48.0/20
CW,170.245.0.0/21
CW,177.93.140.0/22
CW,185.149.80.0/21
CW,185.185.184.0/21
CW,186.2.160.0/19
CW,186.148.208.0/20
CW,186.190.232.0/21
CW,186.190.224.0/19
CW,190.2.128.0/17
CW,190.4.128.0/17
CW,190.13.112.0/20
CW,190.88.0.0/15
CW,190.105.192.0/21
CW,190.112.192.0/18
CW,190.121.192.0/19
CW,190.121.224.0/19
CW,190.123.16.0/21
CW,190.185.0.0/17
CW,193.23.16.0/21
CW,196.3.0.0/19
CW,200.0.20.0/22
CW,200.6.48.0/20
CW,200.16.92.0/23
CW,200.26.192.0/18
CW,200.61.252.0/23
CW,200.115.178.0/23
CW,200.124.128.0/18
CW,201.131.42.0/23
CW,216.152.160.0/19
CW,217.78.224.0/19
