country,cidr
CY,2.56.112.0/21
CY,2.56.112.0/20
CY,2.56.136.0/21
CY,2.56.168.0/21
CY,2.56.176.0/21
CY,2.56.208.0/21
CY,2.57.88.0/21
CY,5.42.204.0/23
CY,5.180.16.0/21
CY,5.180.16.0/20
CY,5.180.32.0/21
CY,5.180.32.0/20
CY,5.180.48.0/20
CY,5.180.80.0/21
CY,5.180.144.0/21
CY,5.180.232.0/21
CY,5.253.24.0/21
CY,5.253.32.0/21
CY,5.253.32.0/20
CY,31.12.88.0/21
CY,31.14.238.0/23
CY,31.25.224.0/20
CY,31.152.0.0/15
CY,31.170.160.0/20
CY,31.216.0.0/17
CY,31.220.16.0/20
CY,31.220.32.0/19
CY,31.220.96.0/20
CY,31.222.64.0/19
CY,31.222.228.0/23
CY,36.255.72.0/21
CY,37.9.176.0/20
CY,37.140.222.0/23
CY,37.148.0.0/15
CY,45.8.176.0/20
CY,45.8.192.0/19
CY,45.8.248.0/21
CY,45.9.0.0/20
CY,45.9.8.0/21
CY,45.9.16.0/21
CY,45.12.104.0/21
CY,45.12.112.0/21
CY,45.12.128.0/19
CY,45.13.26.0/23
CY,45.13.128.0/21
CY,45.13.216.0/21
CY,45.13.248.0/21
CY,45.15.120.0/21
CY,45.15.128.0/21
CY,45.15.136.0/21
CY,45.15.144.0/21
CY,45.15.152.0/21
CY,45.15.160.0/20
CY,45.15.176.0/21
CY,45.15.184.0/21
CY,45.66.144.0/20
CY,45.66.160.0/20
CY,45.67.214.0/23
CY,45.67.232.0/21
CY,45.82.240.0/21
CY,45.82.240.0/20
CY,45.83.16.0/21
CY,45.83.24.0/21
CY,45.83.80.0/21
CY,45.83.112.0/21
CY,45.83.128.0/21
CY,45.83.136.0/21
CY,45.83.144.0/21
CY,45.84.232.0/21
CY,45.86.56.0/21
CY,45.86.64.0/19
CY,45.87.80.0/21
CY,45.88.144.0/21
CY,45.88.160.0/21
CY,45.88.168.0/21
CY,45.88.176.0/20
CY,45.89.22.0/23
CY,45.89.96.0/19
CY,45.89.192.0/21
CY,45.92.120.0/21
CY,45.92.136.0/21
CY,45.92.160.0/20
CY,45.92.192.0/21
CY,45.93.136.0/21
CY,45.94.184.0/21
CY,45.128.32.0/19
CY,45.128.72.0/21
CY,45.132.128.0/21
CY,45.133.128.0/21
CY,45.136.112.0/20
CY,45.136.120.0/21
CY,45.136.128.0/21
CY,45.136.144.0/21
CY,45.137.144.0/21
CY,45.142.200.0/21
CY,45.142.254.0/23
CY,45.149.112.0/21
CY,45.150.114.0/23
CY,45.153.184.0/21
CY,45.156.136.0/21
CY,46.16.128.0/20
CY,46.21.32.0/19
CY,46.28.176.0/20
CY,46.198.0.0/16
CY,46.198.0.0/15
CY,46.235.14.0/23
CY,46.243.224.0/21
CY,46.247.96.0/20
CY,46.251.64.0/18
CY,46.255.112.0/20
CY,62.3.32.0/23
CY,62.12.64.0/18
CY,62.122.188.0/23
CY,62.152.0.0/18
CY,62.164.152.0/21
CY,62.164.160.0/20
CY,62.204.36.0/23
CY,62.228.0.0/15
CY,64.39.224.0/23
CY,64.59.192.0/19
CY,65.18.192.0/19
CY,66.205.64.0/18
CY,69.6.0.0/18
CY,69.94.96.0/19
CY,77.83.248.0/21
CY,77.93.80.0/20
CY,77.95.216.0/23
CY,77.235.0.0/18
CY,77.246.240.0/23
CY,78.108.208.0/21
CY,78.138.44.0/23
CY,78.158.128.0/18
CY,80.85.0.0/19
CY,80.89.224.0/19
CY,80.91.212.0/23
CY,80.240.106.0/23
CY,80.244.0.0/19
CY,81.4.128.0/17
CY,81.21.32.0/19
CY,82.102.0.0/18
CY,82.102.0.0/17
CY,82.114.0.0/18
CY,82.116.192.0/18
CY,83.168.0.0/17
CY,84.238.132.0/22
CY,84.246.110.0/23
CY,85.132.192.0/18
CY,85.208.96.0/21
CY,85.208.96.0/20
CY,85.208.112.0/20
CY,85.209.144.0/20
CY,85.209.160.0/21
CY,85.209.192.0/21
CY,85.217.168.0/22
CY,86.62.32.0/21
CY,86.105.252.0/23
CY,86.106.180.0/23
CY,86.107.196.0/23
CY,86.110.200.0/21
CY,87.56.0.0/17
CY,87.228.0.0/16
CY,88.80.144.0/20
CY,88.218.88.0/21
CY,88.218.232.0/21
CY,89.38.128.0/21
CY,89.38.134.0/23
CY,89.43.32.0/23
CY,89.232.168.0/21
CY,89.248.70.0/23
CY,91.92.108.0/23
CY,91.92.110.0/23
CY,91.92.120.0/23
CY,91.92.128.0/23
CY,91.92.136.0/22
CY,91.92.144.0/23
CY,91.184.192.0/18
CY,91.188.248.0/21
CY,91.197.8.0/21
CY,91.198.56.0/23
CY,91.199.54.0/23
CY,91.200.62.0/23
CY,91.202.240.0/21
CY,91.208.6.0/23
CY,91.210.124.0/23
CY,91.211.146.0/23
CY,91.212.144.0/23
CY,91.214.126.0/23
CY,91.214.232.0/21
CY,91.217.246.0/23
CY,91.223.164.0/23
CY,91.223.208.0/23
CY,91.224.0.0/22
CY,91.224.76.0/22
CY,91.225.124.0/23
CY,91.227.40.0/22
CY,91.230.190.0/23
CY,91.236.194.0/23
CY,91.237.230.0/23
CY,91.238.8.0/23
CY,91.239.194.0/23
CY,91.245.222.0/23
CY,91.247.178.0/23
CY,91.250.248.0/22
CY,92.118.224.0/21
CY,92.118.224.0/20
CY,92.119.40.0/21
CY,92.255.56.0/23
CY,92.255.64.0/21
CY,92.255.84.0/23
CY,93.108.0.0/15
CY,93.114.128.0/23
CY,93.114.132.0/23
CY,93.115.16.0/20
CY,93.188.160.0/20
CY,94.46.192.0/21
CY,94.46.200.0/21
CY,94.46.208.0/20
CY,94.46.224.0/19
CY,94.124.72.0/23
CY,94.125.144.0/20
CY,94.140.12.0/22
CY,94.156.34.0/23
CY,94.156.144.0/23
CY,94.156.188.0/23
CY,94.176.182.0/23
CY,94.231.204.0/23
CY,95.169.192.0/23
CY,95.169.200.0/23
CY,95.169.204.0/22
CY,95.214.248.0/21
CY,103.27.152.0/21
CY,103.31.72.0/21
CY,103.35.176.0/22
CY,103.54.88.0/21
CY,103.110.64.0/21
CY,103.110.124.0/22
CY,103.126.48.0/22
CY,103.146.116.0/22
CY,103.209.228.0/22
CY,109.105.192.0/18
CY,109.110.192.0/18
CY,116.199.224.0/19
CY,128.0.40.0/22
CY,128.0.106.0/23
CY,128.0.104.0/21
CY,128.0.192.0/20
CY,128.0.192.0/19
CY,128.0.192.0/18
CY,130.250.196.0/23
CY,139.28.232.0/21
CY,139.138.192.0/18
CY,141.98.128.0/21
CY,141.98.160.0/20
CY,141.98.184.0/21
CY,141.136.32.0/23
CY,141.136.32.0/22
CY,141.136.36.0/23
CY,141.136.38.0/23
CY,141.136.40.0/23
CY,141.136.40.0/22
CY,141.136.40.0/21
CY,146.19.202.0/23
CY,153.92.0.0/19
CY,153.92.192.0/19
CY,156.67.64.0/19
CY,156.67.192.0/19
CY,159.253.176.0/20
CY,159.255.32.0/20
CY,162.255.144.0/21
CY,164.138.96.0/21
CY,164.215.0.0/18
CY,171.22.104.0/21
CY,171.22.96.0/19
CY,171.22.128.0/20
CY,176.53.144.0/23
CY,176.92.192.0/20
CY,176.92.192.0/19
CY,176.92.192.0/18
CY,176.97.156.0/22
CY,176.97.212.0/23
CY,176.103.128.0/18
CY,176.124.190.0/23
CY,176.227.224.0/19
CY,178.23.188.0/23
CY,178.157.82.0/23
CY,178.157.88.0/22
CY,178.175.180.0/22
CY,178.215.236.0/23
CY,178.255.192.0/20
CY,185.1.132.0/23
CY,185.2.96.0/21
CY,185.5.40.0/21
CY,185.5.72.0/21
CY,185.7.152.0/21
CY,185.8.176.0/21
CY,185.20.208.0/21
CY,185.23.110.0/23
CY,185.28.16.0/21
CY,185.42.32.0/21
CY,185.50.64.0/21
CY,185.52.88.0/21
CY,185.61.240.0/21
CY,185.68.128.0/21
CY,185.71.216.0/21
