country,cidr
CZ,2.59.216.0/21
CZ,5.1.48.0/20
CZ,5.39.200.0/21
CZ,5.43.224.0/20
CZ,5.45.48.0/20
CZ,5.53.0.0/20
CZ,5.57.208.0/23
CZ,5.58.0.0/15
CZ,5.63.184.0/23
CZ,5.102.32.0/19
CZ,5.104.16.0/20
CZ,5.145.96.0/20
CZ,5.145.144.0/20
CZ,5.152.128.0/21
CZ,5.180.100.0/22
CZ,5.180.192.0/21
CZ,5.180.200.0/21
CZ,5.181.88.0/21
CZ,5.181.240.0/21
CZ,5.182.144.0/21
CZ,5.183.8.0/21
CZ,5.187.34.0/23
CZ,5.198.128.0/20
CZ,5.252.40.0/21
CZ,31.7.240.0/20
CZ,31.10.48.0/20
CZ,31.14.72.0/21
CZ,31.15.0.0/20
CZ,31.28.128.0/18
CZ,31.30.0.0/15
CZ,31.31.64.0/20
CZ,31.31.192.0/18
CZ,31.41.192.0/20
CZ,31.47.96.0/19
CZ,31.130.160.0/20
CZ,31.132.0.0/19
CZ,31.133.0.0/20
CZ,31.134.208.0/20
CZ,31.148.0.0/15
CZ,31.169.0.0/16
CZ,31.170.176.0/20
CZ,31.177.16.0/20
CZ,31.186.176.0/20
CZ,31.192.64.0/18
CZ,31.222.0.0/19
CZ,37.9.192.0/20
CZ,37.44.0.0/19
CZ,37.44.208.0/21
CZ,37.46.80.0/20
CZ,37.46.208.0/20
CZ,37.48.0.0/17
CZ,37.77.144.0/23
CZ,37.77.148.0/23
CZ,37.77.192.0/18
CZ,37.140.220.0/23
CZ,37.143.112.0/20
CZ,37.156.184.0/21
CZ,37.157.192.0/20
CZ,37.188.0.0/16
CZ,37.205.0.0/20
CZ,37.221.64.0/21
CZ,37.221.88.0/21
CZ,37.221.112.0/21
CZ,37.221.224.0/19
CZ,37.235.96.0/19
CZ,45.8.40.0/21
CZ,45.10.96.0/23
CZ,45.11.128.0/21
CZ,45.12.24.0/21
CZ,45.14.152.0/21
CZ,45.15.56.0/21
CZ,45.66.48.0/21
CZ,45.81.40.0/22
CZ,45.81.88.0/21
CZ,45.81.96.0/21
CZ,45.82.144.0/20
CZ,45.82.232.0/21
CZ,45.83.112.0/21
CZ,45.83.120.0/21
CZ,45.83.128.0/21
CZ,45.83.136.0/21
CZ,45.83.144.0/21
CZ,45.83.152.0/21
CZ,45.83.208.0/21
CZ,45.84.24.0/21
CZ,45.84.160.0/21
CZ,45.85.168.0/21
CZ,45.85.248.0/21
CZ,45.87.8.0/21
CZ,45.87.112.0/21
CZ,45.87.232.0/21
CZ,45.89.88.0/21
CZ,45.90.96.0/21
CZ,45.91.0.0/21
CZ,45.91.24.0/21
CZ,45.91.176.0/21
CZ,45.92.232.0/21
CZ,45.93.152.0/21
CZ,45.129.24.0/21
CZ,45.129.104.0/21
CZ,45.129.152.0/21
CZ,45.130.248.0/21
CZ,45.132.2.0/23
CZ,45.132.144.0/21
CZ,45.132.160.0/21
CZ,45.133.136.0/23
CZ,45.134.216.0/21
CZ,45.135.80.0/21
CZ,45.135.152.0/21
CZ,45.137.128.0/21
CZ,45.138.104.0/21
CZ,45.138.216.0/21
CZ,45.139.32.0/21
CZ,45.139.40.0/21
CZ,45.139.56.0/21
CZ,45.139.64.0/21
CZ,45.139.88.0/21
CZ,45.140.24.0/22
CZ,45.140.40.0/22
CZ,45.140.240.0/21
CZ,45.141.248.0/21
CZ,45.142.48.0/21
CZ,45.143.240.0/21
CZ,45.145.216.0/21
CZ,45.146.104.0/21
CZ,45.147.160.0/21
CZ,45.148.80.0/21
CZ,45.150.32.0/21
CZ,45.153.160.0/21
CZ,45.153.192.0/21
CZ,45.155.8.0/21
CZ,45.156.40.0/21
CZ,45.156.112.0/21
CZ,45.158.88.0/21
CZ,45.158.224.0/21
CZ,45.159.104.0/21
CZ,45.159.112.0/21
CZ,46.8.0.0/15
CZ,46.12.0.0/15
CZ,46.16.112.0/20
CZ,46.23.32.0/19
CZ,46.23.128.0/19
CZ,46.28.96.0/20
CZ,46.29.176.0/20
CZ,46.29.224.0/20
CZ,46.30.64.0/20
CZ,46.30.80.0/20
CZ,46.30.144.0/20
CZ,46.30.224.0/20
CZ,46.33.64.0/18
CZ,46.36.0.0/18
CZ,46.39.128.0/18
CZ,46.47.128.0/17
CZ,46.134.0.0/15
CZ,46.149.96.0/19
CZ,46.167.128.0/17
CZ,46.173.192.0/19
CZ,46.174.16.0/20
CZ,46.174.32.0/20
CZ,46.174.48.0/20
