country,cidr
DO,5.183.80.0/21
DO,24.152.48.0/21
DO,45.5.8.0/21
DO,45.6.40.0/21
DO,45.65.240.0/21
DO,45.68.40.0/21
DO,45.68.60.0/22
DO,45.164.8.0/21
DO,45.164.168.0/21
DO,45.169.192.0/21
DO,45.172.152.0/21
DO,45.175.64.0/21
DO,45.176.84.0/22
DO,45.176.88.0/21
DO,45.176.96.0/21
DO,45.177.0.0/21
DO,45.183.120.0/22
DO,45.184.128.0/21
DO,45.186.8.0/21
DO,45.190.192.0/21
DO,45.225.248.0/23
DO,45.229.32.0/21
DO,45.229.148.0/22
DO,45.230.216.0/21
DO,45.231.104.0/21
DO,45.232.168.0/21
DO,45.235.224.0/21
DO,45.237.48.0/21
DO,64.32.0.0/17
DO,66.98.0.0/17
DO,103.7.134.0/23
DO,103.8.88.0/21
DO,128.201.112.0/21
DO,131.108.232.0/21
DO,131.221.0.0/21
DO,138.36.24.0/21
DO,138.97.248.0/21
DO,138.99.232.0/21
DO,138.255.248.0/21
DO,143.137.80.0/21
DO,143.208.160.0/21
DO,148.0.0.0/15
DO,148.100.0.0/15
DO,148.102.0.0/15
DO,148.222.136.0/21
DO,148.254.0.0/15
DO,152.0.0.0/15
DO,152.164.0.0/14
DO,168.196.120.0/21
DO,168.205.168.0/22
DO,168.228.232.0/21
DO,168.232.104.0/21
DO,170.79.144.0/21
DO,170.80.200.0/21
DO,170.81.8.0/21
DO,170.82.24.0/21
DO,170.239.160.0/21
DO,170.244.40.0/21
DO,170.244.80.0/21
DO,170.245.160.0/21
DO,170.254.64.0/21
DO,177.52.220.0/23
DO,177.200.236.0/22
DO,179.43.128.0/17
DO,179.49.200.0/22
DO,179.51.64.0/19
DO,179.51.144.0/21
DO,179.52.0.0/14
DO,179.61.0.0/19
DO,181.36.0.0/14
DO,181.224.200.0/21
DO,181.232.188.0/22
DO,181.233.112.0/21
DO,186.1.0.0/17
DO,186.4.0.0/14
DO,186.33.0.0/17
DO,186.120.0.0/15
DO,186.148.80.0/20
DO,186.148.0.0/15
DO,186.150.0.0/15
DO,187.63.152.0/21
DO,190.0.64.0/18
DO,190.6.128.0/18
DO,190.8.32.0/19
DO,190.12.192.0/18
DO,190.52.192.0/18
DO,190.80.0.0/16
DO,190.89.32.0/21
DO,190.93.184.0/21
DO,190.94.0.0/16
DO,190.103.176.0/21
DO,190.106.112.0/20
DO,190.110.32.0/20
DO,190.113.40.0/21
DO,190.113.64.0/19
DO,190.122.64.0/18
DO,190.123.72.0/21
DO,190.124.64.0/18
DO,190.164.0.0/14
DO,190.171.88.0/21
DO,190.211.160.0/19
DO,191.97.80.0/20
DO,191.97.104.0/21
DO,191.98.208.0/20
DO,191.102.240.0/21
DO,192.141.128.0/21
DO,196.3.72.0/22
DO,196.3.72.0/21
DO,196.3.80.0/20
DO,196.3.106.0/23
DO,200.1.152.0/22
DO,200.10.142.0/23
DO,200.10.162.0/23
DO,200.14.36.0/23
DO,200.14.78.0/23
DO,200.16.88.0/22
DO,200.23.64.0/23
DO,200.26.160.0/20
DO,200.39.56.0/21
DO,200.42.128.0/17
DO,200.58.240.0/20
DO,200.88.0.0/15
DO,200.89.80.0/20
DO,200.124.64.0/21
DO,200.125.168.0/21
DO,200.215.232.0/21
DO,201.46.112.0/21
DO,201.49.184.0/22
DO,201.131.50.0/23
DO,201.131.106.0/23
DO,201.221.126.0/23
DO,201.229.0.0/16
DO,204.126.128.0/22
DO,205.233.72.0/21
