country,cidr
DZ,41.96.0.0/11
DZ,41.200.0.0/14
DZ,41.220.128.0/19
DZ,41.221.0.0/19
DZ,41.223.232.0/21
DZ,80.88.8.0/21
DZ,80.246.0.0/19
DZ,80.249.64.0/19
DZ,102.207.216.0/21
DZ,102.213.56.0/21
DZ,102.218.184.0/21
DZ,102.220.24.0/21
DZ,105.96.0.0/11
DZ,105.235.128.0/19
DZ,129.45.0.0/16
DZ,154.73.88.0/21
DZ,154.120.0.0/15
DZ,154.224.0.0/11
DZ,168.253.96.0/19
DZ,192.52.232.0/23
DZ,192.245.148.0/23
DZ,193.41.144.0/22
DZ,193.194.64.0/18
DZ,195.24.80.0/20
DZ,195.39.216.0/22
DZ,196.20.0.0/17
DZ,196.29.40.0/21
DZ,196.41.192.0/18
DZ,197.112.0.0/12
DZ,197.136.0.0/13
DZ,197.192.0.0/12
DZ,213.179.128.0/18
