country,cidr
EC,27.50.8.0/21
EC,45.4.88.0/21
EC,45.4.200.0/21
EC,45.6.224.0/21
EC,45.65.202.0/23
EC,45.68.96.0/21
EC,45.70.8.0/21
EC,45.70.56.0/21
EC,45.70.192.0/21
EC,45.70.200.0/21
EC,45.70.232.0/21
EC,45.71.0.0/21
EC,45.71.32.0/21
EC,45.71.112.0/21
EC,45.71.184.0/21
EC,45.71.200.0/21
EC,45.71.248.0/21
EC,45.161.32.0/21
EC,45.162.72.0/21
EC,45.163.200.0/21
EC,45.164.64.0/21
EC,45.169.144.0/21
EC,45.170.40.0/21
EC,45.171.104.0/21
EC,45.171.120.0/22
EC,45.171.160.0/21
EC,45.173.112.0/21
EC,45.173.224.0/21
EC,45.175.160.0/21
EC,45.177.120.0/21
EC,45.178.32.0/21
EC,45.179.136.0/21
EC,45.180.44.0/23
EC,45.180.44.0/22
EC,45.180.120.0/21
EC,45.180.136.0/21
EC,45.182.116.0/23
EC,45.182.116.0/22
EC,45.183.96.0/21
EC,45.183.128.0/20
EC,45.184.102.0/23
EC,45.184.224.0/21
EC,45.185.160.0/21
EC,45.186.0.0/21
EC,45.186.140.0/22
EC,45.187.0.0/21
EC,45.188.56.0/22
EC,45.188.218.0/23
EC,45.188.224.0/21
EC,45.188.232.0/21
EC,45.189.56.0/21
EC,45.189.112.0/21
EC,45.224.16.0/21
EC,45.224.96.0/21
EC,45.224.112.0/21
EC,45.224.144.0/21
EC,45.224.152.0/21
EC,45.225.40.0/21
EC,45.225.88.0/21
EC,45.225.104.0/21
EC,45.226.200.0/21
EC,45.228.48.0/21
EC,45.228.168.0/21
EC,45.228.176.0/21
EC,45.229.0.0/21
EC,45.229.48.0/21
EC,45.229.86.0/23
EC,45.230.240.0/21
EC,45.231.144.0/21
EC,45.233.88.0/21
EC,45.233.96.0/21
EC,45.235.8.0/21
EC,45.235.136.0/21
EC,45.235.208.0/21
EC,45.236.104.0/21
EC,45.236.136.0/21
EC,45.236.144.0/21
EC,45.236.168.0/21
EC,45.238.56.0/21
EC,45.238.216.0/21
EC,45.239.48.0/21
EC,45.239.160.0/21
EC,59.153.40.0/21
EC,66.231.64.0/19
EC,123.200.224.0/20
EC,123.200.240.0/20
EC,128.201.160.0/21
EC,131.161.216.0/21
EC,131.196.0.0/20
EC,131.196.56.0/21
EC,131.196.112.0/21
EC,138.59.104.0/21
EC,138.122.104.0/21
EC,138.185.136.0/21
EC,143.255.248.0/21
EC,157.100.0.0/15
EC,160.20.160.0/21
EC,164.163.48.0/21
EC,164.163.128.0/21
EC,164.163.160.0/21
EC,167.250.132.0/23
EC,167.250.176.0/21
EC,168.194.144.0/21
EC,168.197.184.0/21
EC,168.232.100.0/22
EC,170.82.112.0/21
EC,170.82.152.0/21
EC,170.83.216.0/21
EC,170.238.0.0/21
EC,170.238.168.0/22
EC,170.239.200.0/21
EC,170.244.208.0/21
EC,170.246.80.0/21
EC,170.254.24.0/21
EC,177.53.208.0/21
