country,cidr
FI,2.58.88.0/21
FI,2.58.216.0/21
FI,5.22.192.0/19
FI,5.44.240.0/20
FI,5.61.80.0/20
FI,5.83.48.0/20
FI,5.133.104.0/21
FI,5.180.72.0/21
FI,5.250.160.0/20
FI,5.253.72.0/21
FI,31.7.0.0/19
FI,31.15.112.0/20
FI,31.25.144.0/20
FI,31.47.64.0/20
FI,31.132.8.0/21
FI,31.172.144.0/20
FI,31.187.80.0/21
FI,31.217.192.0/20
FI,37.1.176.0/20
FI,37.16.64.0/18
FI,37.19.16.0/20
FI,37.32.0.0/15
FI,37.35.0.0/19
FI,37.35.80.0/20
FI,37.44.48.0/20
FI,37.98.128.0/19
FI,37.114.80.0/20
FI,37.130.128.0/18
FI,37.136.0.0/15
FI,37.153.132.0/23
FI,37.218.0.0/15
FI,37.233.80.0/20
FI,45.8.48.0/21
FI,45.8.128.0/21
FI,45.8.168.0/21
FI,45.11.80.0/21
FI,45.13.56.0/21
FI,45.14.40.0/21
FI,45.14.200.0/21
FI,45.66.192.0/21
FI,45.81.176.0/21
FI,45.82.16.0/21
FI,45.82.104.0/21
FI,45.82.144.0/21
FI,45.85.232.0/21
FI,45.86.168.0/21
FI,45.87.200.0/21
FI,45.88.40.0/21
FI,45.88.226.0/23
FI,45.95.8.0/23
FI,45.135.144.0/21
FI,45.142.136.0/21
FI,45.146.248.0/21
FI,45.151.128.0/21
FI,45.152.104.0/21
FI,45.154.64.0/21
FI,45.154.112.0/21
FI,45.156.88.0/21
FI,45.156.104.0/21
FI,45.156.248.0/21
FI,45.157.104.0/21
FI,45.158.112.0/21
FI,46.17.192.0/20
FI,46.23.160.0/19
FI,46.30.128.0/20
FI,46.58.0.0/16
FI,46.132.0.0/15
FI,46.149.100.0/23
FI,46.163.128.0/17
FI,46.173.224.0/19
FI,46.182.112.0/20
FI,46.182.160.0/20
FI,46.183.64.0/20
FI,46.228.128.0/19
FI,46.254.96.0/20
FI,46.254.208.0/20
FI,46.255.192.0/20
FI,62.44.128.0/17
FI,62.61.0.0/17
FI,62.69.128.0/18
FI,62.70.0.0/15
FI,62.72.192.0/18
FI,62.73.0.0/18
FI,62.78.64.0/18
FI,62.78.0.0/16
FI,62.80.128.0/18
FI,62.106.0.0/17
FI,62.113.128.0/18
FI,62.121.0.0/18
FI,62.122.24.0/21
FI,62.142.0.0/15
FI,62.145.128.0/18
FI,62.148.64.0/18
FI,62.148.192.0/18
FI,62.164.152.0/23
FI,62.165.128.0/17
FI,62.176.0.0/18
FI,62.183.0.0/16
FI,62.197.128.0/18
FI,62.204.0.0/18
FI,62.216.64.0/18
FI,62.220.192.0/18
FI,62.236.0.0/14
FI,62.240.64.0/18
FI,62.241.128.0/17
FI,62.248.0.0/16
FI,77.72.48.0/20
FI,77.86.0.0/16
FI,77.91.208.0/20
FI,77.95.16.0/21
FI,77.95.144.0/20
FI,77.95.240.0/20
FI,77.105.0.0/17
FI,77.109.128.0/17
FI,77.223.0.0/18
FI,77.234.64.0/18
FI,77.240.0.0/19
FI,77.246.192.0/19
FI,77.247.196.0/23
FI,78.27.0.0/17
