country,cidr
FJ,27.123.128.0/17
FJ,45.112.224.0/21
FJ,45.117.240.0/20
FJ,103.1.176.0/21
FJ,103.52.88.0/21
FJ,103.58.16.0/21
FJ,103.71.204.0/23
FJ,103.76.156.0/23
FJ,103.77.224.0/23
FJ,103.99.42.0/23
FJ,103.101.240.0/21
FJ,103.116.156.0/23
FJ,103.137.128.0/23
FJ,103.147.192.0/22
FJ,103.148.52.0/22
FJ,103.178.194.0/23
FJ,103.244.224.0/21
FJ,110.35.80.0/20
FJ,113.20.64.0/18
FJ,119.235.64.0/18
FJ,124.108.16.0/20
FJ,144.120.0.0/15
FJ,183.81.128.0/19
FJ,202.62.4.0/22
FJ,202.62.116.0/22
FJ,202.62.112.0/20
FJ,202.129.224.0/21
FJ,202.137.176.0/20
FJ,202.151.0.0/19
FJ,202.170.32.0/19
FJ,203.83.250.0/23
FJ,203.119.50.0/23
FJ,203.202.234.0/23
FJ,210.7.0.0/18
