country,cidr
FR,1.179.96.0/19
FR,2.2.0.0/15
FR,2.0.0.0/13
FR,2.0.0.0/12
FR,2.56.80.0/21
FR,2.56.152.0/21
FR,2.57.72.0/21
FR,2.57.136.0/21
FR,2.58.112.0/21
FR,2.58.120.0/21
FR,2.59.64.0/21
FR,2.59.72.0/21
FR,2.59.144.0/21
FR,2.59.184.0/21
FR,2.59.232.0/21
FR,5.8.248.0/23
FR,5.10.128.0/20
FR,5.11.56.0/21
FR,5.23.32.0/20
FR,5.39.0.0/16
FR,5.39.224.0/19
FR,5.42.144.0/20
FR,5.42.192.0/23
FR,5.42.196.0/23
FR,5.42.200.0/23
FR,5.44.160.0/20
FR,5.45.40.0/21
FR,5.48.0.0/13
FR,5.56.32.0/20
FR,5.61.208.0/21
FR,5.63.16.0/20
FR,5.83.224.0/20
FR,5.100.144.0/20
FR,5.104.96.0/20
FR,5.104.192.0/20
FR,5.133.64.0/21
FR,5.133.112.0/23
FR,5.134.96.0/20
FR,5.134.0.0/15
FR,5.144.128.0/20
FR,5.149.160.0/19
FR,5.158.192.0/20
FR,5.158.224.0/19
FR,5.179.112.0/20
FR,5.179.192.0/20
FR,5.180.56.0/21
FR,5.181.52.0/23
FR,5.181.168.0/21
FR,5.182.136.0/21
FR,5.182.144.0/21
FR,5.182.152.0/21
FR,5.182.168.0/21
FR,5.182.208.0/21
FR,5.182.248.0/21
FR,5.183.16.0/21
FR,5.183.104.0/21
FR,5.183.120.0/21
FR,5.183.208.0/21
FR,5.183.248.0/21
FR,5.196.0.0/15
FR,5.198.192.0/18
FR,5.226.0.0/19
FR,5.252.48.0/20
FR,5.252.88.0/21
FR,5.252.112.0/21
FR,5.252.144.0/20
FR,5.253.128.0/21
FR,5.253.152.0/21
FR,14.102.102.0/23
FR,23.90.128.0/17
FR,23.136.248.0/23
FR,23.174.120.0/23
FR,24.230.0.0/18
FR,31.3.128.0/20
FR,31.7.240.0/20
FR,31.11.32.0/20
FR,31.14.0.0/20
FR,31.14.64.0/21
FR,31.15.16.0/20
FR,31.24.80.0/23
FR,31.24.240.0/20
FR,31.29.64.0/18
FR,31.32.0.0/12
FR,31.41.36.0/22
FR,31.42.112.0/21
FR,31.43.172.0/22
FR,31.43.184.0/23
FR,31.43.184.0/22
FR,31.44.192.0/19
FR,31.169.32.0/20
FR,31.170.0.0/20
FR,31.172.160.0/20
FR,31.172.168.0/21
FR,31.172.224.0/21
FR,31.172.224.0/20
FR,31.177.0.0/20
FR,31.193.48.0/20
FR,31.193.240.0/20
FR,31.204.80.0/20
FR,31.207.32.0/20
FR,31.210.0.0/20
FR,31.216.0.0/19
FR,31.216.60.0/23
FR,31.217.128.0/18
FR,31.217.224.0/20
FR,31.222.192.0/20
FR,31.223.190.0/23
FR,37.0.64.0/20
FR,37.1.160.0/20
FR,37.1.224.0/20
FR,37.1.224.0/19
FR,37.8.128.0/18
FR,37.9.128.0/20
FR,37.16.78.0/23
FR,37.18.40.0/22
FR,37.18.160.0/19
FR,37.19.128.0/17
FR,37.25.40.0/21
FR,37.25.48.0/20
FR,37.25.64.0/20
FR,37.26.160.0/19
FR,37.26.240.0/20
FR,37.32.48.0/20
FR,37.35.0.0/20
FR,37.44.232.0/21
FR,37.49.224.0/20
FR,37.58.0.0/16
FR,37.58.0.0/15
FR,37.60.0.0/20
FR,37.60.32.0/19
FR,37.60.144.0/20
FR,37.60.176.0/20
FR,37.61.240.0/20
FR,37.64.0.0/12
FR,37.72.136.0/23
FR,37.72.128.0/17
FR,37.77.32.0/19
FR,37.97.64.0/18
FR,37.110.192.0/20
FR,37.114.64.0/20
FR,37.122.192.0/20
FR,37.139.112.0/20
FR,37.140.224.0/20
FR,37.143.48.0/21
FR,37.148.240.0/20
FR,37.148.248.0/21
FR,37.153.136.0/21
FR,37.153.152.0/21
FR,37.156.226.0/23
FR,37.157.0.0/20
FR,37.157.48.0/20
FR,37.157.128.0/20
FR,37.157.224.0/20
FR,37.160.0.0/11
FR,37.186.0.0/15
FR,37.188.80.0/20
FR,37.205.32.0/20
FR,37.208.48.0/20
FR,37.220.32.0/19
FR,37.221.80.0/21
FR,37.235.80.0/20
FR,37.252.192.0/20
FR,45.8.104.0/23
FR,45.8.232.0/21
FR,45.9.104.0/21
FR,45.9.112.0/21
FR,45.9.192.0/21
FR,45.9.200.0/21
FR,45.9.240.0/21
FR,45.10.8.0/21
FR,45.10.36.0/23
FR,45.10.40.0/21
FR,45.10.120.0/21
FR,45.10.176.0/21
FR,45.10.224.0/21
FR,45.11.48.0/21
FR,45.11.64.0/21
FR,45.11.144.0/21
FR,45.11.152.0/21
FR,45.11.168.0/21
FR,45.11.196.0/23
FR,45.11.208.0/21
FR,45.11.248.0/21
FR,45.12.184.0/21
FR,45.12.224.0/21
FR,45.13.32.0/21
FR,45.13.40.0/21
FR,45.13.48.0/21
FR,45.13.104.0/21
FR,45.13.112.0/21
FR,45.13.152.0/21
FR,45.13.168.0/21
FR,45.14.144.0/21
FR,45.14.176.0/21
FR,45.15.56.0/21
FR,45.15.200.0/21
FR,45.15.208.0/21
FR,45.15.216.0/21
FR,45.65.96.0/20
FR,45.66.104.0/21
FR,45.66.176.0/21
FR,45.67.64.0/21
FR,45.67.80.0/21
FR,45.67.240.0/21
FR,45.67.248.0/21
FR,45.80.0.0/21
FR,45.80.8.0/21
FR,45.80.16.0/21
FR,45.80.24.0/21
FR,45.80.32.0/21
FR,45.80.72.0/21
FR,45.80.248.0/21
FR,45.81.56.0/21
FR,45.81.80.0/20
FR,45.81.168.0/21
FR,45.81.192.0/20
FR,45.81.200.0/21
FR,45.81.208.0/20
FR,45.82.176.0/21
FR,45.82.208.0/21
FR,45.83.224.0/21
FR,45.84.48.0/21
FR,45.84.96.0/21
FR,45.84.112.0/21
FR,45.84.144.0/21
FR,45.85.32.0/21
FR,45.85.40.0/21
FR,45.85.48.0/21
FR,45.85.80.0/21
FR,45.85.128.0/21
FR,45.85.176.0/21
FR,45.86.40.0/21
FR,45.86.96.0/20
FR,45.86.200.0/21
FR,45.87.56.0/21
FR,45.87.176.0/21
FR,45.88.64.0/21
FR,45.88.128.0/21
FR,45.88.136.0/21
FR,45.89.24.0/21
FR,45.89.72.0/21
FR,45.89.112.0/21
FR,45.89.152.0/21
FR,45.89.184.0/21
FR,45.90.136.0/21
FR,45.90.160.0/21
FR,45.90.192.0/21
FR,45.90.224.0/21
FR,45.91.40.0/21
FR,45.91.120.0/21
FR,45.91.144.0/21
FR,45.92.48.0/21
FR,45.92.64.0/21
FR,45.92.176.0/21
FR,45.92.200.0/21
FR,45.92.248.0/21
FR,45.93.20.0/23
FR,45.93.144.0/21
FR,45.94.16.0/21
FR,45.94.120.0/21
FR,45.94.128.0/21
FR,45.94.224.0/21
FR,45.95.8.0/23
FR,45.95.80.0/21
FR,45.95.112.0/21
FR,45.112.120.0/21
FR,45.112.192.0/21
FR,45.128.112.0/21
FR,45.129.48.0/21
FR,45.129.104.0/21
FR,45.129.192.0/21
FR,45.129.216.0/21
FR,45.130.24.0/21
FR,45.130.46.0/23
FR,45.130.48.0/21
FR,45.130.216.0/21
FR,45.130.232.0/21
FR,45.132.0.0/23
FR,45.132.248.0/21
FR,45.133.64.0/21
FR,45.133.200.0/21
FR,45.134.32.0/21
FR,45.134.192.0/21
FR,45.135.72.0/21
FR,45.136.88.0/21
FR,45.137.24.0/21
FR,45.137.144.0/21
FR,45.137.176.0/21
FR,45.138.112.0/21
FR,45.138.192.0/21
FR,45.139.16.0/21
FR,45.139.72.0/21
FR,45.140.16.0/21
FR,45.140.104.0/21
FR,45.141.112.0/21
FR,45.141.160.0/21
FR,45.141.168.0/21
FR,45.142.12.0/23
FR,45.142.14.0/23
FR,45.142.104.0/21
FR,45.142.168.0/21
FR,45.143.168.0/21
FR,45.143.208.0/21
FR,45.144.88.0/21
FR,45.145.112.0/21
FR,45.145.112.0/20
FR,45.145.160.0/21
FR,45.145.232.0/21
FR,45.146.32.0/21
FR,45.146.208.0/21
FR,45.147.16.0/21
FR,45.147.96.0/21
FR,45.147.208.0/21
FR,45.148.104.0/21
FR,45.148.152.0/21
FR,45.148.160.0/21
FR,45.149.32.0/21
FR,45.149.56.0/21
FR,45.149.136.0/21
FR,45.149.152.0/21
FR,45.150.248.0/21
FR,45.151.8.0/21
FR,45.151.16.0/21
FR,45.151.40.0/21
FR,45.151.176.0/20
FR,45.151.208.0/21
FR,45.151.216.0/21
FR,45.152.16.0/21
FR,45.152.184.0/21
FR,45.153.88.0/21
FR,45.153.168.0/21
FR,45.153.200.0/21
FR,45.154.56.0/21
FR,45.154.168.0/21
FR,45.154.240.0/21
FR,45.155.168.0/21
FR,45.155.176.0/21
FR,45.155.224.0/21
FR,45.156.128.0/21
FR,45.156.184.0/21
FR,45.156.224.0/21
FR,45.156.232.0/21
FR,45.156.240.0/21
FR,45.157.56.0/21
FR,45.157.112.0/21
FR,45.157.192.0/21
FR,45.157.248.0/21
FR,45.158.64.0/21
FR,45.159.64.0/21
FR,46.16.32.0/20
FR,46.17.64.0/20
FR,46.17.80.0/20
FR,46.18.96.0/20
FR,46.18.112.0/20
FR,46.18.128.0/20
FR,46.18.160.0/20
FR,46.18.192.0/20
FR,46.18.208.0/20
FR,46.18.224.0/20
FR,46.19.16.0/20
FR,46.19.96.0/20
FR,46.19.112.0/20
FR,46.19.128.0/20
FR,46.19.176.0/20
FR,46.20.160.0/19
FR,46.21.96.0/19
FR,46.21.128.0/19
FR,46.21.192.0/19
FR,46.22.64.0/19
FR,46.22.192.0/19
FR,46.23.224.0/19
FR,46.28.160.0/20
FR,46.29.112.0/20
FR,46.30.184.0/21
FR,46.30.192.0/20
FR,46.31.32.0/20
FR,46.31.160.0/20
FR,46.31.192.0/20
FR,46.31.208.0/20
FR,46.33.128.0/18
FR,46.35.0.0/18
FR,46.102.116.0/23
FR,46.102.116.0/22
FR,46.104.0.0/15
FR,46.149.106.0/23
FR,46.162.128.0/17
FR,46.165.0.0/17
FR,46.182.0.0/20
FR,46.182.32.0/20
FR,46.182.64.0/20
FR,46.182.208.0/20
FR,46.183.32.0/20
FR,46.183.48.0/20
FR,46.183.224.0/20
FR,46.192.0.0/14
FR,46.218.0.0/15
FR,46.226.96.0/20
FR,46.226.128.0/20
FR,46.227.16.0/20
FR,46.227.80.0/20
FR,46.231.128.0/20
FR,46.231.144.0/20
FR,46.231.208.0/20
FR,46.231.240.0/21
FR,46.235.16.0/20
FR,46.235.176.0/20
FR,46.243.56.0/21
FR,46.245.224.0/20
FR,46.247.128.0/20
FR,46.247.128.0/19
FR,46.247.128.0/18
FR,46.247.192.0/18
FR,46.252.160.0/19
FR,46.254.224.0/20
FR,46.255.48.0/20
FR,46.255.128.0/20
FR,46.255.160.0/20
FR,46.255.176.0/20
FR,46.255.192.0/20
FR,51.14.0.0/15
FR,51.38.0.0/15
FR,51.68.0.0/15
FR,51.74.0.0/15
FR,51.76.0.0/15
FR,51.82.0.0/15
FR,51.88.0.0/15
FR,51.90.0.0/15
FR,51.156.0.0/14
FR,51.178.0.0/15
FR,51.194.0.0/15
FR,51.210.0.0/15
FR,51.252.0.0/14
FR,54.36.0.0/14
FR,57.128.0.0/13
FR,62.3.32.0/23
FR,62.4.0.0/18
FR,62.8.0.0/18
FR,62.32.0.0/14
FR,62.38.0.0/15
FR,62.62.0.0/16
FR,62.64.0.0/18
FR,62.68.64.0/23
FR,62.68.76.0/23
FR,62.68.88.0/23
FR,62.73.0.0/18
FR,62.85.128.0/18
FR,62.100.128.0/18
FR,62.102.192.0/18
FR,62.106.72.0/23
FR,62.106.76.0/23
FR,62.106.0.0/16
FR,62.122.0.0/20
FR,62.122.224.0/21
FR,62.129.0.0/18
FR,62.129.128.0/18
FR,62.146.0.0/15
FR,62.160.0.0/14
FR,62.169.154.0/23
FR,62.182.32.0/21
FR,62.182.40.0/21
FR,62.182.100.0/22
FR,62.192.136.0/21
FR,62.192.144.0/21
FR,62.192.152.0/21
FR,62.193.0.0/18
FR,62.193.128.0/17
FR,62.201.128.0/18
FR,62.204.42.0/23
FR,62.204.62.0/23
FR,62.210.0.0/15
FR,62.212.64.0/18
FR,62.213.128.0/18
FR,62.217.0.0/18
FR,62.240.192.0/18
FR,62.241.0.0/17
FR,62.244.0.0/17
FR,64.126.128.0/17
FR,64.190.20.0/23
FR,64.190.116.0/22
FR,64.190.166.0/23
FR,64.190.218.0/23
FR,65.39.64.0/18
FR,74.112.224.0/20
FR,74.116.88.0/21
FR,77.32.128.0/17
FR,77.72.32.0/20
FR,77.72.80.0/20
FR,77.73.32.0/22
FR,77.74.144.0/20
FR,77.74.208.0/20
FR,77.74.240.0/20
FR,77.75.64.0/20
FR,77.75.228.0/23
FR,77.81.48.0/23
FR,77.83.208.0/21
FR,77.83.224.0/21
FR,77.84.0.0/15
FR,77.87.96.0/20
FR,77.91.240.0/20
FR,77.94.224.0/20
FR,77.95.64.0/20
FR,77.104.0.0/17
FR,77.111.208.0/21
FR,77.128.0.0/10
FR,77.192.0.0/11
FR,77.233.64.0/18
FR,77.236.96.0/20
FR,77.240.192.0/19
FR,77.245.128.0/19
FR,77.246.64.0/19
FR,77.247.104.0/21
FR,78.24.32.0/20
FR,78.24.128.0/20
FR,78.24.224.0/19
FR,78.31.32.0/20
FR,78.40.8.0/21
FR,78.40.48.0/20
FR,78.40.80.0/20
FR,78.40.112.0/21
FR,78.40.112.0/20
FR,78.41.48.0/21
FR,78.41.128.0/20
FR,78.41.160.0/20
FR,78.41.176.0/20
FR,78.41.224.0/20
FR,78.41.240.0/20
FR,78.109.64.0/19
FR,78.109.224.0/19
FR,78.96.0.0/11
FR,78.138.44.0/23
FR,78.138.58.0/23
FR,78.152.128.0/18
FR,78.153.192.0/18
FR,78.155.128.0/18
FR,78.159.0.0/18
FR,78.159.128.0/21
FR,78.159.148.0/23
FR,78.128.0.0/9
FR,79.64.0.0/11
FR,79.98.16.0/20
FR,79.98.48.0/20
FR,79.98.96.0/20
FR,79.99.32.0/20
FR,79.99.160.0/20
FR,79.110.56.0/21
FR,79.110.236.0/23
FR,79.132.0.0/18
FR,79.132.128.0/19
FR,79.137.0.0/16
FR,79.139.66.0/23
FR,79.141.0.0/19
FR,79.141.192.0/19
FR,79.143.224.0/19
FR,79.170.48.0/20
FR,79.170.144.0/21
FR,79.170.208.0/20
FR,79.170.224.0/20
FR,79.174.128.0/17
FR,80.0.0.0/12
FR,80.64.224.0/20
FR,80.65.224.0/19
FR,80.67.128.0/18
FR,80.70.32.0/19
FR,80.70.192.0/19
FR,80.73.240.0/23
FR,80.74.64.0/19
FR,80.75.128.0/19
FR,80.77.224.0/19
FR,80.78.0.0/19
FR,80.82.224.0/19
FR,80.87.224.0/19
FR,80.89.96.0/19
FR,80.91.214.0/23
FR,80.93.64.0/19
FR,80.94.160.0/19
FR,80.116.0.0/14
FR,80.124.0.0/14
FR,80.184.0.0/15
FR,80.212.0.0/14
FR,80.236.0.0/16
FR,80.240.106.0/23
FR,80.240.128.0/18
FR,80.244.0.0/23
FR,80.245.0.0/19
FR,80.247.0.0/19
FR,80.247.224.0/19
FR,80.248.192.0/19
FR,80.251.96.0/19
FR,80.253.192.0/19
FR,81.1.0.0/17
FR,81.14.0.0/16
FR,81.18.160.0/19
FR,81.19.0.0/19
FR,81.20.192.0/19
FR,81.22.208.0/20
FR,81.23.32.0/19
FR,81.27.0.0/19
FR,81.28.96.0/19
FR,81.28.192.0/19
FR,81.30.102.0/23
FR,81.31.200.0/21
FR,81.48.0.0/12
FR,81.64.0.0/13
FR,81.80.0.0/15
FR,81.88.96.0/19
FR,81.91.64.0/19
FR,81.92.64.0/19
FR,81.93.0.0/18
FR,81.93.224.0/19
FR,81.161.58.0/23
