country,cidr
GE,2.57.56.0/21
GE,2.57.216.0/21
GE,5.10.32.0/20
GE,5.44.128.0/20
GE,5.133.160.0/20
GE,5.152.0.0/16
GE,5.159.16.0/20
GE,5.178.0.0/16
GE,5.187.0.0/20
GE,5.255.56.0/23
GE,5.255.60.0/23
GE,5.255.60.0/22
GE,23.252.64.0/22
GE,23.252.68.0/23
GE,23.252.70.0/23
GE,23.252.74.0/23
GE,23.252.76.0/23
GE,23.252.78.0/23
GE,31.146.0.0/15
GE,31.192.0.0/17
GE,31.222.234.0/23
GE,37.46.96.0/20
GE,37.72.142.0/23
GE,37.75.128.0/20
GE,37.110.128.0/18
GE,37.131.224.0/20
GE,37.140.252.0/23
GE,37.143.144.0/20
GE,37.156.174.0/23
GE,37.232.0.0/16
GE,37.233.0.0/16
GE,45.8.32.0/21
GE,45.9.32.0/21
GE,45.9.40.0/21
GE,45.11.184.0/21
GE,45.13.40.0/21
GE,45.65.112.0/21
GE,45.81.24.0/21
GE,45.90.248.0/21
GE,45.136.48.0/21
GE,45.138.40.0/21
GE,45.141.216.0/23
GE,45.143.104.0/21
GE,45.154.88.0/21
GE,45.154.152.0/21
GE,45.157.152.0/21
GE,46.31.64.0/23
GE,46.49.0.0/16
GE,46.174.208.0/20
GE,46.175.134.0/23
GE,46.245.238.0/23
GE,62.3.10.0/23
GE,62.3.30.0/23
GE,62.106.90.0/23
GE,62.168.128.0/18
GE,62.212.0.0/18
GE,62.233.60.0/23
GE,77.74.32.0/20
GE,77.91.64.0/19
GE,77.92.192.0/18
GE,77.242.32.0/19
GE,78.40.104.0/21
GE,78.139.128.0/17
GE,79.99.88.0/21
GE,79.99.240.0/20
GE,80.71.144.0/22
GE,80.77.32.0/19
GE,80.83.128.0/19
GE,80.92.160.0/19
GE,80.241.160.0/19
GE,80.241.224.0/19
GE,81.16.224.0/19
GE,81.95.160.0/19
GE,82.211.128.0/17
GE,84.38.244.0/23
GE,85.114.192.0/18
GE,85.117.0.0/18
GE,85.118.64.0/18
GE,85.209.80.0/21
GE,85.238.0.0/18
GE,87.253.0.0/18
GE,88.210.128.0/17
GE,88.218.112.0/21
GE,89.150.0.0/22
GE,89.232.0.0/17
GE,91.92.112.0/22
GE,91.151.128.0/19
GE,91.184.64.0/18
GE,91.192.8.0/23
GE,91.193.56.0/22
GE,91.194.6.0/23
GE,91.200.136.0/21
GE,91.201.96.0/21
GE,91.202.56.0/21
GE,91.202.96.0/21
GE,91.205.156.0/23
GE,91.206.128.0/22
GE,91.208.144.0/23
GE,91.209.130.0/23
GE,91.209.134.0/23
GE,91.210.120.0/21
GE,91.211.86.0/23
GE,91.212.212.0/23
GE,91.212.224.0/23
GE,91.219.232.0/21
GE,91.221.52.0/22
GE,91.223.52.0/23
GE,91.223.244.0/23
GE,91.224.60.0/22
GE,91.225.152.0/21
GE,91.226.178.0/23
GE,91.227.254.0/23
GE,91.232.26.0/23
GE,91.233.14.0/23
GE,91.233.104.0/23
GE,91.234.228.0/23
GE,91.235.80.0/21
GE,91.235.242.0/23
GE,91.237.50.0/23
GE,91.239.204.0/22
GE,91.241.54.0/23
GE,91.246.50.0/23
GE,91.247.64.0/22
GE,92.51.0.0/17
GE,92.54.128.0/17
GE,92.241.64.0/18
GE,93.177.128.0/17
GE,93.179.88.0/21
GE,93.186.192.0/19
GE,93.187.110.0/23
GE,93.188.0.0/20
GE,94.42.0.0/15
GE,94.100.224.0/19
GE,94.137.128.0/18
GE,94.240.128.0/17
GE,95.104.0.0/16
GE,95.137.0.0/16
GE,107.150.160.0/22
GE,107.150.164.0/23
GE,107.150.170.0/23
GE,107.150.174.0/23
GE,107.150.176.0/23
GE,109.172.0.0/16
GE,109.205.32.0/20
GE,109.234.112.0/20
GE,109.238.224.0/19
GE,134.19.192.0/18
