country,cidr
GH,41.66.128.0/17
GH,41.74.64.0/19
GH,41.75.32.0/19
GH,41.78.120.0/21
GH,41.79.96.0/21
GH,41.139.0.0/17
GH,41.155.0.0/16
GH,41.189.128.0/18
GH,41.190.64.0/21
GH,41.190.88.0/21
GH,41.191.96.0/21
GH,41.204.0.0/18
GH,41.207.248.0/21
GH,41.210.0.0/17
GH,41.211.0.0/18
GH,41.215.160.0/19
GH,41.218.128.0/17
GH,41.222.232.0/21
GH,41.242.112.0/21
GH,45.208.0.0/13
GH,45.221.24.0/23
GH,45.222.32.0/19
GH,45.222.0.0/16
GH,80.87.64.0/18
GH,102.22.0.0/18
GH,102.23.112.0/21
GH,102.36.182.0/23
GH,102.38.128.0/18
GH,102.64.0.0/20
GH,102.69.216.0/21
GH,102.69.244.0/22
GH,102.131.16.0/23
GH,102.134.128.0/22
GH,102.135.188.0/23
GH,102.164.122.0/23
GH,102.176.0.0/16
GH,102.177.96.0/21
GH,102.207.0.0/21
GH,102.208.0.0/21
GH,102.208.16.0/21
GH,102.208.40.0/21
GH,102.208.80.0/23
GH,102.208.88.0/22
GH,102.208.160.0/21
GH,102.208.188.0/22
GH,102.208.190.0/23
GH,102.209.104.0/21
GH,102.209.144.0/21
GH,102.210.32.0/21
GH,102.211.22.0/23
GH,102.211.24.0/21
GH,102.211.52.0/22
GH,102.211.112.0/22
GH,102.212.56.0/21
GH,102.212.176.0/21
GH,102.213.212.0/22
GH,102.214.24.0/21
GH,102.214.48.0/21
GH,102.214.88.0/23
GH,102.216.38.0/23
GH,102.216.212.0/22
GH,102.217.144.0/21
GH,102.218.224.0/21
GH,102.219.32.0/21
GH,102.219.80.0/23
GH,102.219.92.0/22
GH,102.219.104.0/21
GH,102.220.104.0/21
GH,102.220.222.0/23
GH,102.221.24.0/21
GH,102.221.224.0/21
GH,102.222.172.0/23
GH,102.222.172.0/22
GH,102.222.200.0/21
GH,102.223.16.0/21
GH,102.223.92.0/22
GH,102.223.100.0/23
GH,102.223.110.0/23
GH,102.223.172.0/23
GH,102.223.254.0/23
GH,129.122.0.0/17
GH,154.65.16.0/20
GH,154.120.0.0/17
GH,154.160.0.0/11
GH,155.12.192.0/18
GH,156.0.80.0/21
GH,156.0.128.0/18
GH,156.0.232.0/22
GH,156.38.64.0/18
GH,160.119.104.0/21
GH,160.119.200.0/21
GH,160.226.178.0/23
GH,164.160.128.0/21
GH,164.160.224.0/19
GH,169.239.248.0/21
GH,192.251.202.0/23
GH,193.108.22.0/23
GH,193.108.28.0/23
GH,193.194.128.0/23
GH,193.194.128.0/18
GH,196.1.118.0/23
GH,196.3.64.0/23
GH,196.10.214.0/23
GH,196.11.90.0/23
GH,196.11.204.0/22
GH,196.13.122.0/23
GH,196.13.172.0/22
GH,196.13.192.0/20
GH,196.13.252.0/23
GH,196.29.224.0/19
GH,196.40.128.0/19
GH,196.43.194.0/23
GH,196.43.196.0/23
GH,196.43.204.0/22
GH,196.43.224.0/23
GH,196.43.242.0/23
GH,196.44.64.0/18
GH,196.46.64.0/19
GH,196.49.14.0/23
GH,196.50.16.0/20
GH,196.61.32.0/19
GH,196.168.0.0/13
GH,196.201.2.0/23
GH,196.201.4.0/22
GH,196.201.0.0/18
GH,196.216.176.0/21
GH,196.216.228.0/22
GH,197.159.128.0/19
GH,197.188.0.0/14
GH,197.221.64.0/18
GH,197.251.0.0/16
GH,197.253.0.0/17
GH,197.255.0.0/17
GH,212.85.192.0/18
GH,212.96.0.0/19
