country,cidr
GI,2.58.8.0/21
GI,5.150.152.0/21
GI,31.222.32.0/19
GI,45.88.32.0/21
GI,45.89.208.0/21
GI,45.94.8.0/21
GI,62.192.154.0/23
GI,62.205.128.0/18
GI,80.92.200.0/21
GI,85.115.128.0/18
GI,85.159.112.0/20
GI,85.208.56.0/21
GI,91.109.240.0/20
GI,91.198.132.0/23
GI,91.235.118.0/23
GI,92.249.4.0/23
GI,93.191.192.0/20
GI,94.26.92.0/23
GI,94.26.94.0/23
GI,94.26.96.0/23
GI,94.26.96.0/22
GI,94.26.100.0/23
GI,94.26.102.0/23
GI,94.26.108.0/23
GI,94.131.0.0/22
GI,94.131.0.0/21
GI,94.131.20.0/23
GI,94.131.22.0/23
GI,94.131.16.0/20
GI,94.131.0.0/18
GI,94.131.64.0/19
GI,94.131.120.0/21
GI,94.131.128.0/18
GI,94.131.224.0/19
GI,94.190.192.0/21
GI,95.131.176.0/20
GI,95.164.0.0/15
GI,104.255.128.0/20
GI,147.189.160.0/21
GI,153.94.48.0/20
GI,178.170.236.0/22
GI,178.170.240.0/22
GI,178.208.192.0/18
GI,178.211.128.0/23
GI,185.9.208.0/21
GI,185.16.192.0/21
GI,185.39.28.0/22
GI,185.49.216.0/21
GI,185.74.72.0/21
GI,185.75.80.0/21
GI,185.82.48.0/21
GI,185.83.144.0/21
GI,185.94.72.0/21
GI,185.104.216.0/21
GI,185.114.224.0/21
GI,185.120.96.0/21
GI,185.149.64.0/21
GI,185.192.0.0/21
GI,192.190.168.0/21
GI,193.33.64.0/22
GI,193.34.188.0/22
GI,193.105.56.0/23
GI,193.169.30.0/23
GI,194.164.144.0/22
GI,195.149.96.0/23
GI,195.166.192.0/18
GI,195.214.208.0/21
GI,195.244.192.0/18
GI,212.22.192.0/18
GI,212.86.96.0/23
GI,212.86.102.0/23
GI,212.86.106.0/23
GI,212.86.108.0/22
GI,212.86.112.0/22
GI,212.86.112.0/21
GI,212.86.112.0/20
GI,212.120.192.0/18
GI,217.65.32.0/19
GI,217.147.96.0/19
