country,cidr
GU,43.240.88.0/21
GU,43.247.56.0/21
GU,49.128.104.0/21
GU,101.99.0.0/16
GU,103.3.240.0/21
GU,103.7.96.0/21
GU,103.17.112.0/21
GU,103.115.192.0/22
GU,103.142.152.0/22
GU,103.212.24.0/21
GU,114.142.128.0/17
GU,116.68.0.0/18
GU,117.20.112.0/20
GU,121.55.128.0/17
GU,139.5.136.0/21
GU,168.122.0.0/15
GU,182.173.128.0/17
GU,192.149.202.0/23
GU,202.22.160.0/19
GU,202.47.128.0/19
GU,202.123.128.0/18
GU,202.128.0.0/18
GU,202.128.64.0/18
GU,202.131.128.0/18
GU,202.151.64.0/18
GU,203.95.0.0/20
GU,203.215.48.0/21
