country,cidr
HN,45.4.80.0/21
HN,45.4.136.0/21
HN,45.4.200.0/21
HN,45.5.24.0/21
HN,45.5.64.0/21
HN,45.5.72.0/21
HN,45.7.232.0/21
HN,45.68.32.0/23
HN,45.68.32.0/22
HN,45.68.60.0/22
HN,45.71.16.0/21
HN,45.71.48.0/21
HN,45.166.88.0/21
HN,45.168.172.0/22
HN,45.169.240.0/21
HN,45.170.8.0/21
HN,45.170.32.0/21
HN,45.171.200.0/21
HN,45.175.64.0/21
HN,45.181.80.0/21
HN,45.182.16.0/21
HN,45.184.88.0/21
HN,45.185.48.0/21
HN,45.186.152.0/21
HN,45.190.12.0/23
HN,45.190.64.0/21
HN,45.190.184.0/21
HN,45.224.224.0/21
HN,45.224.248.0/21
HN,45.226.58.0/23
HN,45.234.232.0/21
HN,45.237.80.0/21
HN,45.237.168.0/21
HN,45.238.136.0/21
HN,45.238.152.0/21
HN,131.72.208.0/21
HN,131.108.16.0/21
HN,131.108.232.0/21
HN,131.161.48.0/21
HN,131.161.80.0/21
HN,131.196.48.0/21
HN,131.221.8.0/21
HN,132.255.128.0/21
HN,138.0.224.0/21
HN,138.0.240.0/21
HN,138.36.88.0/21
HN,138.36.136.0/21
HN,138.59.0.0/21
HN,138.59.176.0/21
HN,138.59.200.0/21
HN,138.94.120.0/21
HN,138.94.216.0/21
HN,138.99.32.0/21
HN,138.117.96.0/21
HN,138.122.192.0/21
HN,138.186.136.0/21
HN,138.204.176.0/21
HN,138.219.72.0/21
HN,138.219.120.0/21
HN,138.219.168.0/21
HN,143.0.232.0/21
HN,143.137.160.0/21
HN,143.137.168.0/21
HN,143.202.192.0/21
HN,143.208.16.0/21
HN,143.255.32.0/21
HN,152.231.0.0/19
HN,161.0.0.0/18
HN,161.0.64.0/21
HN,161.0.192.0/18
HN,164.163.72.0/21
HN,164.163.120.0/21
HN,167.250.104.0/21
HN,167.250.198.0/23
HN,167.250.208.0/21
HN,168.0.208.0/21
HN,168.90.96.0/21
HN,168.90.192.0/21
HN,168.181.48.0/21
HN,168.181.120.0/21
HN,168.181.224.0/21
HN,168.196.232.0/21
HN,168.196.240.0/21
HN,168.197.168.0/21
HN,168.205.160.0/21
HN,168.227.136.0/21
HN,168.228.40.0/21
HN,168.228.192.0/21
HN,168.232.168.0/21
HN,170.80.136.0/21
HN,170.81.192.0/21
HN,170.82.0.0/21
HN,170.82.32.0/21
HN,170.83.112.0/21
HN,170.83.176.0/21
HN,170.83.224.0/20
HN,170.150.176.0/21
HN,170.231.48.0/21
HN,170.231.248.0/21
HN,170.238.104.0/21
HN,170.244.88.0/21
HN,170.244.144.0/21
HN,170.244.152.0/21
HN,170.244.240.0/21
HN,170.245.56.0/21
HN,170.246.48.0/21
HN,170.247.80.0/21
HN,170.254.176.0/21
HN,177.10.184.0/21
HN,177.234.128.0/20
HN,179.0.30.0/23
HN,179.49.112.0/20
HN,179.51.208.0/21
HN,179.60.176.0/20
HN,179.63.248.0/21
HN,181.114.56.0/21
HN,181.115.0.0/16
HN,181.189.192.0/18
HN,181.199.160.0/19
HN,181.210.0.0/15
HN,185.114.48.0/21
HN,186.2.128.0/18
HN,186.32.128.0/18
HN,186.32.224.0/19
HN,186.65.96.0/19
HN,186.96.248.0/21
HN,186.179.0.0/17
HN,187.49.184.0/21
HN,190.5.0.0/17
HN,190.6.192.0/19
HN,190.11.224.0/19
HN,190.15.64.0/19
HN,190.53.32.0/19
HN,190.53.64.0/18
HN,190.53.128.0/17
HN,190.83.0.0/22
HN,190.83.112.0/21
HN,190.92.0.0/17
HN,190.97.160.0/19
HN,190.99.0.0/19
HN,190.105.128.0/19
HN,190.107.128.0/18
HN,190.109.192.0/18
HN,190.111.160.0/21
HN,190.123.16.0/20
HN,190.123.192.0/19
HN,190.124.16.0/20
HN,190.124.160.0/20
HN,190.130.0.0/17
HN,190.181.128.0/17
HN,190.185.104.0/21
HN,190.185.96.0/19
HN,190.211.136.0/21
HN,191.102.128.0/17
HN,191.103.64.0/18
HN,192.100.170.0/23
HN,192.141.0.0/21
HN,192.141.160.0/21
HN,200.0.60.0/22
HN,200.3.194.0/23
HN,200.3.224.0/19
HN,200.9.120.0/22
HN,200.10.32.0/19
HN,200.10.152.0/23
HN,200.13.128.0/21
HN,200.52.128.0/19
HN,200.59.16.0/20
HN,200.71.120.0/21
HN,200.75.176.0/20
HN,200.106.246.0/23
HN,200.107.80.0/23
HN,200.107.112.0/20
HN,200.107.208.0/20
HN,200.107.224.0/20
HN,200.115.96.0/21
HN,200.115.176.0/23
HN,200.115.184.0/21
HN,200.189.40.0/21
HN,201.158.48.0/21
HN,201.190.0.0/17
HN,201.220.128.0/19
HN,207.248.64.0/22
