country,cidr
HR,5.39.128.0/18
HR,5.43.128.0/18
HR,31.45.0.0/16
HR,31.146.0.0/15
HR,31.216.192.0/18
HR,31.217.0.0/16
HR,36.255.88.0/21
HR,37.48.224.0/20
HR,37.60.128.0/20
HR,37.72.132.0/23
HR,37.205.96.0/19
HR,37.244.0.0/16
HR,45.8.106.0/23
HR,45.85.120.0/21
HR,45.87.24.0/21
HR,45.87.216.0/21
HR,45.95.168.0/21
HR,45.136.140.0/22
HR,45.136.184.0/21
HR,45.137.248.0/21
HR,45.142.8.0/21
HR,45.143.216.0/21
HR,46.31.128.0/20
HR,46.151.128.0/20
HR,46.174.136.0/21
HR,46.188.0.0/16
HR,46.234.64.0/18
HR,46.245.236.0/23
HR,77.81.160.0/21
HR,77.237.64.0/18
HR,78.0.0.0/13
HR,78.134.0.0/16
HR,80.80.32.0/19
HR,80.253.160.0/19
HR,82.132.0.0/16
HR,82.193.192.0/18
HR,83.130.0.0/15
HR,83.139.0.0/17
HR,84.246.96.0/20
HR,84.252.104.0/23
HR,85.10.32.0/19
HR,85.94.64.0/18
HR,85.114.0.0/18
HR,85.209.8.0/21
HR,85.222.160.0/19
HR,86.32.0.0/14
HR,86.54.32.0/20
HR,87.252.128.0/18
HR,88.207.0.0/16
HR,89.17.0.0/18
HR,89.18.0.0/18
HR,89.164.0.0/15
HR,89.172.0.0/15
HR,89.201.0.0/16
HR,89.248.66.0/23
HR,89.249.96.0/19
HR,91.132.226.0/23
HR,91.142.138.0/23
HR,91.194.240.0/22
HR,91.198.216.0/23
HR,91.199.32.0/23
HR,91.199.42.0/23
HR,91.199.46.0/23
HR,91.199.76.0/23
HR,91.199.78.0/23
HR,91.207.20.0/22
HR,91.208.100.0/23
HR,91.208.112.0/23
HR,91.208.128.0/23
HR,91.208.136.0/23
HR,91.208.150.0/23
HR,91.209.4.0/23
HR,91.209.32.0/23
HR,91.209.136.0/23
HR,91.209.166.0/23
HR,91.209.216.0/23
HR,91.212.30.0/23
HR,91.212.44.0/23
HR,91.212.98.0/23
HR,91.212.204.0/23
HR,91.212.246.0/23
HR,91.213.84.0/23
HR,91.214.104.0/21
HR,91.223.24.0/23
HR,91.223.28.0/23
HR,91.223.64.0/23
