country,cidr
HU,2.58.168.0/21
HU,2.59.192.0/21
HU,5.28.0.0/20
HU,5.38.0.0/16
HU,5.56.32.0/20
HU,5.61.240.0/20
HU,5.63.128.0/17
HU,5.148.128.0/17
HU,5.149.240.0/20
HU,5.159.224.0/20
HU,5.180.120.0/21
HU,5.182.112.0/21
HU,5.187.0.0/16
HU,5.204.0.0/15
HU,5.206.128.0/17
HU,31.24.16.0/20
HU,31.24.176.0/20
HU,31.46.0.0/15
HU,31.171.224.0/19
HU,31.210.0.0/20
HU,31.223.224.0/20
HU,37.9.208.0/20
HU,37.17.160.0/19
HU,37.46.64.0/20
HU,37.76.0.0/16
HU,37.143.64.0/20
HU,37.188.80.0/20
HU,37.191.0.0/17
HU,37.218.224.0/20
HU,37.220.128.0/19
HU,37.220.128.0/17
HU,37.221.208.0/20
HU,37.234.0.0/15
HU,45.8.208.0/21
HU,45.9.168.0/21
HU,45.9.200.0/21
HU,45.10.24.0/21
HU,45.10.88.0/21
HU,45.10.200.0/21
HU,45.11.104.0/21
HU,45.11.224.0/21
HU,45.12.40.0/21
HU,45.13.136.0/21
HU,45.14.8.0/21
HU,45.14.88.0/21
HU,45.14.136.0/21
HU,45.15.64.0/21
HU,45.66.104.0/21
HU,45.66.200.0/21
HU,45.67.152.0/21
HU,45.80.232.0/21
HU,45.81.104.0/21
HU,45.84.72.0/21
HU,45.84.120.0/21
HU,45.84.128.0/21
HU,45.85.200.0/21
HU,45.87.96.0/21
HU,45.87.112.0/21
HU,45.87.200.0/21
HU,45.88.88.0/21
HU,45.88.200.0/21
HU,45.90.48.0/21
HU,45.91.104.0/21
HU,45.94.192.0/21
HU,45.95.40.0/21
HU,45.128.64.0/21
HU,45.130.240.0/21
HU,45.131.8.0/21
HU,45.131.72.0/21
HU,45.131.144.0/21
HU,45.132.96.0/21
HU,45.132.200.0/21
HU,45.134.88.0/21
HU,45.134.232.0/21
HU,45.136.120.0/21
HU,45.137.104.0/21
HU,45.137.120.0/21
HU,45.138.88.0/21
HU,45.139.216.0/21
HU,45.140.232.0/21
HU,45.141.160.0/21
HU,45.144.192.0/21
HU,45.146.0.0/21
HU,45.147.152.0/21
HU,45.153.144.0/21
HU,45.158.104.0/21
HU,45.158.152.0/21
HU,46.28.208.0/20
HU,46.29.128.0/20
HU,46.31.176.0/20
HU,46.35.192.0/18
HU,46.106.0.0/15
HU,46.138.0.0/15
HU,46.249.128.0/18
HU,46.251.0.0/20
HU,46.251.8.0/21
HU,46.251.0.0/19
HU,62.77.128.0/21
HU,62.77.144.0/20
HU,62.77.128.0/17
HU,62.100.192.0/18
HU,62.112.192.0/20
HU,62.112.208.0/20
HU,62.165.128.0/17
HU,62.201.0.0/17
HU,77.74.200.0/21
HU,77.110.128.0/17
HU,77.111.80.0/20
HU,77.111.96.0/19
HU,77.111.128.0/17
HU,77.221.0.0/18
HU,77.234.64.0/18
HU,77.242.128.0/19
HU,77.243.192.0/19
HU,77.247.196.0/23
HU,78.24.64.0/20
HU,78.24.176.0/20
HU,78.31.232.0/21
HU,78.92.0.0/15
HU,78.108.0.0/19
HU,78.131.0.0/16
HU,78.139.0.0/17
HU,78.142.200.0/21
HU,78.153.64.0/18
HU,79.120.0.0/16
HU,79.121.0.0/16
HU,79.122.0.0/16
HU,79.139.48.0/20
HU,79.171.128.0/19
HU,79.172.128.0/17
HU,80.64.64.0/19
HU,80.68.150.0/23
HU,80.77.96.0/19
HU,80.85.32.0/19
HU,80.95.64.0/18
HU,80.96.0.0/14
HU,80.244.96.0/19
HU,80.249.160.0/19
HU,80.252.32.0/19
HU,81.0.0.0/17
HU,81.16.192.0/19
HU,81.17.160.0/19
HU,81.22.160.0/19
HU,81.22.224.0/21
HU,81.93.192.0/19
HU,81.94.160.0/19
HU,81.94.224.0/19
HU,81.160.0.0/16
HU,81.180.0.0/14
HU,82.131.0.0/16
HU,82.141.128.0/17
HU,82.144.128.0/18
HU,82.150.0.0/18
HU,83.137.144.0/20
HU,84.0.0.0/13
HU,84.21.0.0/18
HU,84.21.176.0/21
HU,84.38.244.0/23
HU,84.206.0.0/15
HU,84.224.0.0/14
HU,84.236.0.0/16
HU,85.64.0.0/14
HU,85.90.128.0/18
HU,85.119.0.0/20
HU,85.159.48.0/20
HU,85.235.88.0/21
HU,85.238.64.0/18
HU,86.59.0.0/16
HU,86.100.0.0/15
HU,86.106.120.0/22
HU,86.109.64.0/18
HU,87.97.0.0/16
HU,87.101.96.0/19
HU,87.229.0.0/16
HU,87.242.0.0/17
HU,88.87.192.0/18
HU,88.132.0.0/15
HU,88.151.48.0/20
HU,88.151.96.0/20
HU,88.209.128.0/17
HU,89.43.128.0/21
HU,89.107.240.0/20
HU,89.128.0.0/13
HU,89.147.64.0/19
HU,89.147.96.0/21
HU,89.147.112.0/20
HU,89.147.120.0/21
HU,89.148.0.0/17
HU,89.186.64.0/18
HU,89.223.0.0/16
HU,89.251.32.0/19
HU,91.80.0.0/14
HU,91.104.0.0/15
HU,91.120.0.0/15
HU,91.135.96.0/19
HU,91.137.0.0/16
HU,91.144.0.0/17
HU,91.146.128.0/17
HU,91.147.192.0/18
HU,91.147.240.0/20
HU,91.190.176.0/20
HU,91.196.112.0/21
HU,91.198.6.0/23
HU,91.198.130.0/23
HU,91.198.198.0/23
HU,91.199.52.0/23
HU,91.199.72.0/23
HU,91.199.154.0/23
HU,91.206.112.0/23
HU,91.208.36.0/23
HU,91.209.114.0/23
HU,91.212.250.0/23
HU,91.213.8.0/23
HU,91.213.40.0/23
HU,91.213.150.0/23
HU,91.214.112.0/23
HU,91.216.60.0/23
HU,91.216.70.0/23
HU,91.216.150.0/23
HU,91.217.168.0/23
HU,91.219.80.0/21
HU,91.219.232.0/21
HU,91.220.28.0/23
HU,91.220.172.0/23
HU,91.220.246.0/23
HU,91.220.250.0/23
HU,91.223.222.0/23
HU,91.226.78.0/23
HU,91.227.136.0/22
HU,91.228.212.0/22
HU,91.229.92.0/23
HU,91.233.20.0/23
HU,91.236.182.0/23
HU,92.43.192.0/20
HU,92.52.128.0/17
HU,92.61.64.0/18
HU,92.63.224.0/19
HU,92.118.24.0/21
HU,92.118.176.0/21
HU,92.119.120.0/21
HU,92.245.64.0/18
HU,92.249.0.0/16
HU,93.88.192.0/20
HU,93.89.160.0/19
HU,93.92.48.0/20
HU,93.180.128.0/22
HU,93.189.112.0/20
HU,93.190.0.0/20
HU,94.20.0.0/15
HU,94.27.0.0/16
HU,94.44.0.0/15
HU,94.125.176.0/20
HU,94.125.240.0/20
HU,94.199.48.0/20
HU,94.199.176.0/20
HU,94.247.80.0/20
HU,94.248.128.0/18
HU,94.248.192.0/18
HU,94.248.224.0/19
HU,95.131.48.0/20
HU,95.138.192.0/20
HU,95.140.32.0/19
HU,95.141.254.0/23
HU,95.168.0.0/18
HU,95.168.64.0/18
HU,95.171.64.0/18
HU,95.214.120.0/21
HU,109.61.0.0/21
HU,109.61.0.0/20
HU,109.61.16.0/21
HU,109.61.16.0/20
HU,109.61.32.0/19
HU,109.61.64.0/19
HU,109.61.96.0/20
HU,109.61.112.0/20
HU,109.69.112.0/20
HU,109.74.32.0/19
HU,109.105.0.0/18
HU,109.110.128.0/18
HU,109.122.208.0/20
HU,109.199.0.0/18
HU,109.232.192.0/20
HU,128.0.0.0/21
HU,130.43.128.0/17
HU,130.93.128.0/17
HU,134.255.0.0/16
HU,139.28.136.0/21
HU,139.28.192.0/21
HU,141.98.248.0/21
HU,145.236.0.0/15
HU,146.110.0.0/15
HU,147.6.0.0/15
HU,147.189.162.0/23
HU,148.6.0.0/15
HU,149.126.16.0/20
HU,149.200.0.0/16
HU,151.0.0.0/17
HU,152.66.0.0/15
HU,157.180.0.0/15
HU,158.248.0.0/15
HU,160.114.0.0/15
HU,171.18.0.0/15
HU,171.25.180.0/22
HU,171.30.0.0/15
HU,176.32.192.0/20
HU,176.62.0.0/15
HU,176.77.0.0/16
HU,176.119.136.0/21
HU,176.119.194.0/23
HU,176.226.0.0/16
HU,176.241.0.0/17
HU,178.21.48.0/20
HU,178.22.224.0/20
HU,178.48.0.0/15
HU,178.164.0.0/16
HU,178.210.224.0/20
HU,178.238.192.0/19
HU,178.248.192.0/20
HU,185.1.24.0/23
HU,185.3.136.0/21
HU,185.3.240.0/21
HU,185.5.224.0/21
HU,185.6.96.0/21
HU,185.6.136.0/21
HU,185.6.152.0/21
HU,185.8.72.0/21
HU,185.10.120.0/21
HU,185.11.168.0/21
HU,185.25.106.0/23
HU,185.27.56.0/21
HU,185.29.80.0/21
HU,185.33.48.0/21
HU,185.33.80.0/21
HU,185.33.144.0/21
HU,185.38.120.0/21
HU,185.40.16.0/21
HU,185.40.136.0/21
HU,185.43.168.0/21
HU,185.43.200.0/21
HU,185.45.192.0/21
HU,185.47.160.0/21
HU,185.47.184.0/21
HU,185.48.40.0/21
HU,185.50.24.0/21
HU,185.51.64.0/21
HU,185.51.184.0/21
HU,185.55.8.0/21
HU,185.60.64.0/21
HU,185.60.96.0/21
HU,185.62.128.0/21
HU,185.63.40.0/21
HU,185.65.8.0/21
HU,185.65.68.0/23
HU,185.66.48.0/21
HU,185.68.72.0/21
HU,185.69.96.0/21
HU,185.71.104.0/21
HU,185.72.16.0/21
HU,185.74.16.0/21
HU,185.75.192.0/21
HU,185.80.48.0/21
HU,185.81.16.0/21
HU,185.82.232.0/21
HU,185.83.224.0/21
HU,185.84.226.0/23
HU,185.87.60.0/23
HU,185.90.80.0/21
HU,185.90.232.0/21
HU,185.91.136.0/21
HU,185.91.184.0/21
HU,185.92.112.0/21
HU,185.93.64.0/21
HU,185.95.16.0/21
HU,185.97.208.0/21
HU,185.106.112.0/21
HU,185.107.238.0/23
HU,185.111.88.0/21
HU,185.111.208.0/21
HU,185.112.152.0/21
HU,185.112.240.0/21
HU,185.115.16.0/21
HU,185.119.176.0/21
HU,185.123.24.0/21
HU,185.130.176.0/21
HU,185.130.192.0/23
HU,185.134.80.0/21
HU,185.140.104.0/21
HU,185.143.48.0/21
HU,185.143.200.0/21
HU,185.145.144.0/21
HU,185.145.200.0/21
HU,185.152.176.0/21
HU,185.153.216.0/21
HU,185.159.190.0/23
HU,185.161.72.0/21
HU,185.161.200.0/21
HU,185.162.0.0/21
HU,185.162.56.0/21
HU,185.163.204.0/23
HU,185.165.104.0/21
HU,185.166.128.0/21
HU,185.166.136.0/21
HU,185.166.224.0/21
HU,185.167.88.0/21
HU,185.170.80.0/21
HU,185.172.40.0/21
HU,185.174.16.0/21
HU,185.180.72.0/21
HU,185.180.88.0/21
HU,185.182.208.0/21
HU,185.187.72.0/21
HU,185.187.248.0/21
HU,185.188.56.0/21
HU,185.191.184.0/21
HU,185.192.248.0/21
HU,185.193.216.0/21
HU,185.195.48.0/21
HU,185.196.48.0/21
HU,185.198.168.0/21
HU,185.199.24.0/21
HU,185.202.136.0/21
HU,185.203.184.0/21
HU,185.205.72.0/21
HU,185.205.248.0/21
HU,185.208.224.0/21
HU,185.214.24.0/21
HU,185.217.72.0/21
HU,185.219.48.0/21
HU,185.220.184.0/21
HU,185.221.136.0/21
HU,185.223.0.0/21
HU,185.223.16.0/21
HU,185.223.214.0/23
HU,185.224.0.0/21
HU,185.224.40.0/21
HU,185.225.64.0/21
HU,185.228.204.0/23
HU,185.229.248.0/23
HU,185.232.80.0/21
HU,185.232.98.0/23
HU,185.233.136.0/21
HU,185.234.176.0/21
HU,185.234.184.0/21
HU,185.235.32.0/23
HU,185.235.112.0/21
HU,185.244.64.0/21
HU,185.249.144.0/21
HU,188.6.0.0/15
HU,188.36.0.0/15
HU,188.44.0.0/16
HU,188.93.192.0/20
HU,188.94.128.0/20
HU,188.95.192.0/23
HU,188.127.128.0/18
HU,188.142.0.0/16
HU,188.143.0.0/16
HU,188.156.0.0/14
HU,188.227.224.0/20
HU,192.84.224.0/22
HU,192.84.228.0/22
HU,192.146.132.0/22
HU,192.150.238.0/23
HU,192.153.16.0/22
HU,192.153.116.0/23
HU,192.160.172.0/23
HU,192.188.240.0/21
HU,192.190.172.0/23
HU,193.0.226.0/23
HU,193.6.0.0/15
HU,193.7.208.0/21
HU,193.16.46.0/23
HU,193.17.70.0/23
HU,193.17.174.0/23
HU,193.17.178.0/23
HU,193.17.192.0/23
