country,cidr
IE,2.57.24.0/21
IE,2.58.56.0/21
IE,2.58.176.0/21
IE,2.59.104.0/21
IE,5.61.112.0/20
IE,5.83.224.0/19
IE,5.134.80.0/20
IE,5.149.160.0/20
IE,5.150.144.0/20
IE,5.159.32.0/20
IE,5.179.0.0/18
IE,5.179.64.0/20
IE,5.181.8.0/21
IE,5.181.160.0/23
IE,5.183.192.0/21
IE,5.253.120.0/21
IE,31.7.48.0/20
IE,31.13.16.0/20
IE,31.13.0.0/17
IE,31.24.248.0/23
IE,31.25.80.0/20
IE,31.88.0.0/14
IE,31.170.0.0/20
IE,31.193.208.0/20
IE,31.200.128.0/17
IE,31.216.224.0/20
IE,31.217.240.0/20
IE,37.0.0.0/20
IE,37.18.144.0/20
IE,37.19.96.0/20
IE,37.26.72.0/22
IE,37.110.208.0/20
IE,37.203.48.0/20
IE,37.203.192.0/20
IE,37.228.128.0/17
IE,45.8.26.0/23
IE,45.11.96.0/21
IE,45.11.168.0/21
IE,45.67.160.0/21
IE,45.67.184.0/21
IE,45.90.176.0/21
IE,45.94.72.0/21
IE,45.137.184.0/21
IE,45.139.240.0/21
IE,45.144.8.0/21
IE,45.148.0.0/21
IE,45.154.96.0/21
IE,45.155.16.0/20
IE,45.155.192.0/21
IE,45.156.120.0/21
IE,45.158.112.0/21
IE,45.158.144.0/21
IE,45.158.176.0/21
IE,45.159.168.0/21
IE,46.6.0.0/15
IE,46.17.32.0/20
IE,46.19.208.0/20
IE,46.22.128.0/19
IE,46.51.0.0/16
IE,46.136.0.0/15
IE,46.182.0.0/20
IE,46.183.104.0/22
IE,46.245.208.0/20
IE,46.255.144.0/20
IE,51.36.0.0/15
IE,51.170.0.0/15
IE,57.6.0.0/15
IE,57.20.0.0/15
IE,57.34.0.0/15
IE,57.64.0.0/13
IE,57.70.0.0/15
IE,57.64.0.0/12
IE,57.84.0.0/14
IE,57.90.0.0/15
IE,57.92.0.0/15
IE,57.96.0.0/14
IE,57.100.0.0/15
IE,57.128.0.0/12
IE,57.192.0.0/11
IE,62.3.54.0/23
IE,62.8.0.0/15
IE,62.16.0.0/15
IE,62.40.0.0/18
IE,62.77.128.0/18
IE,62.146.160.0/21
IE,62.220.0.0/14
IE,62.231.0.0/18
IE,62.233.0.0/19
IE,64.43.0.0/17
IE,64.43.128.0/17
IE,64.190.40.0/22
IE,65.20.50.0/23
IE,65.20.62.0/23
IE,66.255.200.0/21
IE,67.158.62.0/23
IE,77.72.64.0/20
IE,77.73.208.0/20
IE,77.75.96.0/20
IE,77.75.226.0/23
IE,77.75.240.0/20
IE,77.87.16.0/20
IE,77.95.160.0/20
IE,77.107.128.0/17
IE,78.16.0.0/13
IE,78.24.16.0/20
IE,78.31.212.0/22
IE,78.135.0.0/16
IE,78.137.128.0/17
IE,78.143.128.0/17
IE,78.152.128.0/17
IE,78.153.192.0/18
IE,78.158.64.0/18
IE,79.96.0.0/15
IE,79.125.0.0/16
IE,79.140.128.0/19
IE,79.140.192.0/19
IE,79.143.192.0/19
IE,79.170.240.0/20
IE,79.171.64.0/20
IE,80.79.14.0/23
IE,80.93.0.0/18
IE,80.190.0.0/21
IE,80.233.0.0/16
IE,80.249.224.0/19
IE,81.17.224.0/19
IE,81.22.192.0/21
IE,81.24.240.0/20
IE,81.173.8.0/21
IE,82.141.128.0/17
IE,82.195.128.0/18
IE,82.198.128.0/18
IE,83.68.0.0/14
IE,83.136.32.0/20
IE,83.136.160.0/20
IE,83.138.0.0/20
IE,83.141.0.0/17
IE,83.143.16.0/20
IE,83.147.128.0/17
IE,83.174.128.0/18
IE,83.210.0.0/15
IE,83.220.192.0/18
IE,84.39.224.0/20
IE,84.51.224.0/20
IE,84.51.232.0/21
IE,84.51.224.0/19
IE,84.202.0.0/15
IE,84.252.104.0/21
IE,85.91.0.0/18
IE,85.134.0.0/16
IE,85.159.16.0/20
IE,85.208.32.0/21
IE,85.209.72.0/21
IE,86.32.0.0/12
IE,87.32.0.0/11
IE,87.120.240.0/21
IE,87.120.248.0/21
IE,87.121.248.0/21
IE,87.192.0.0/17
IE,87.192.128.0/17
IE,87.192.208.0/20
IE,87.192.192.0/18
IE,87.198.0.0/15
IE,87.232.0.0/16
IE,87.232.192.0/20
IE,87.232.224.0/22
IE,87.232.224.0/21
IE,87.232.248.0/22
IE,87.232.248.0/21
IE,87.238.80.0/20
IE,88.81.64.0/18
IE,88.87.128.0/18
IE,88.151.0.0/20
IE,88.151.16.0/20
IE,88.151.80.0/20
IE,88.218.32.0/21
IE,89.16.64.0/18
IE,89.18.64.0/18
IE,89.19.64.0/18
IE,89.22.50.0/23
IE,89.31.160.0/20
IE,89.35.118.0/23
IE,89.100.0.0/14
IE,89.106.128.0/20
IE,89.124.0.0/16
IE,89.124.240.0/20
IE,89.124.0.0/15
IE,89.124.0.0/14
IE,89.184.0.0/18
IE,89.191.0.0/18
IE,89.204.128.0/18
IE,89.204.128.0/17
IE,89.207.48.0/20
IE,89.234.0.0/17
IE,91.92.24.0/21
IE,91.102.80.0/20
IE,91.103.0.0/20
IE,91.108.188.0/23
IE,91.123.224.0/19
IE,91.142.96.0/19
IE,91.142.224.0/19
IE,91.189.64.0/20
IE,91.193.184.0/21
IE,91.195.172.0/22
IE,91.195.208.0/22
IE,91.197.232.0/21
IE,91.198.244.0/23
IE,91.199.74.0/23
IE,91.199.212.0/23
IE,91.204.82.0/23
IE,91.206.104.0/22
IE,91.206.140.0/22
IE,91.206.208.0/22
IE,91.207.0.0/22
IE,91.208.0.0/23
IE,91.208.16.0/23
IE,91.208.18.0/23
IE,91.208.20.0/23
IE,91.209.10.0/23
IE,91.209.74.0/23
IE,91.209.106.0/23
IE,91.210.232.0/21
IE,91.213.28.0/23
IE,91.214.172.0/23
IE,91.216.6.0/23
IE,91.216.56.0/23
IE,91.216.236.0/23
IE,91.216.240.0/23
IE,91.217.88.0/22
IE,91.220.44.0/23
IE,91.220.192.0/23
IE,91.220.224.0/23
IE,91.223.8.0/23
IE,91.223.86.0/23
IE,91.224.112.0/22
IE,91.228.24.0/22
IE,91.229.192.0/23
IE,91.231.152.0/22
IE,91.235.76.0/22
IE,91.235.96.0/21
IE,91.235.116.0/23
IE,91.239.146.0/23
IE,91.242.128.0/20
IE,91.245.240.0/21
IE,92.39.160.0/19
IE,92.51.192.0/18
IE,92.51.240.0/20
IE,92.60.192.0/19
IE,92.61.192.0/19
IE,92.118.32.0/21
IE,92.119.38.0/23
IE,92.251.0.0/16
IE,93.89.224.0/19
IE,93.92.0.0/20
IE,93.93.0.0/20
IE,93.94.112.0/20
IE,93.95.80.0/20
IE,93.106.0.0/15
IE,93.119.24.0/21
IE,93.174.160.0/20
IE,93.187.70.0/23
IE,93.191.144.0/20
IE,94.102.192.0/19
IE,94.198.112.0/20
IE,94.199.224.0/20
IE,94.230.96.0/19
IE,94.247.48.0/20
IE,95.44.0.0/14
IE,95.83.128.0/17
IE,103.214.192.0/21
IE,107.191.68.0/23
IE,109.68.48.0/20
IE,109.70.208.0/20
IE,109.71.78.0/23
IE,109.72.0.0/13
IE,109.106.96.0/19
IE,109.106.120.0/21
IE,109.125.0.0/17
IE,109.234.96.0/20
IE,109.254.0.0/15
IE,130.248.48.0/20
IE,130.248.64.0/18
IE,134.226.0.0/15
IE,136.200.0.0/15
IE,136.206.0.0/15
IE,137.42.0.0/15
IE,137.191.0.0/16
IE,137.191.222.0/23
IE,137.191.192.0/18
IE,139.45.128.0/17
IE,140.202.0.0/15
IE,141.105.112.0/20
IE,143.46.0.0/15
IE,143.238.0.0/15
IE,144.2.240.0/20
IE,144.48.136.0/21
IE,146.0.48.0/20
IE,146.71.92.0/22
IE,146.247.32.0/20
IE,146.255.112.0/21
IE,147.252.0.0/15
IE,148.59.114.0/23
IE,148.252.0.0/20
IE,149.62.34.0/23
IE,149.152.0.0/15
IE,149.156.0.0/15
IE,157.190.0.0/15
IE,158.146.128.0/19
IE,159.134.0.0/15
IE,159.253.224.0/21
IE,160.6.0.0/15
IE,162.33.128.0/19
IE,163.70.0.0/16
IE,163.77.0.0/16
IE,163.114.128.0/19
IE,168.168.0.0/16
IE,171.22.40.0/21
IE,176.32.0.0/17
IE,176.34.0.0/15
IE,176.52.208.0/20
IE,176.61.0.0/16
IE,176.111.160.0/21
IE,176.116.6.0/23
IE,176.124.246.0/23
IE,176.126.36.0/23
IE,178.16.192.0/19
IE,178.20.80.0/20
IE,178.167.0.0/16
IE,178.216.112.0/20
IE,178.236.0.0/19
IE,178.250.112.0/20
IE,178.255.216.0/23
IE,185.1.68.0/23
IE,185.1.108.0/23
IE,185.2.64.0/21
IE,185.4.192.0/21
IE,185.5.240.0/21
IE,185.6.32.0/21
IE,185.7.172.0/23
IE,185.7.184.0/21
IE,185.8.112.0/21
IE,185.8.192.0/21
IE,185.10.112.0/21
IE,185.11.64.0/21
IE,185.12.80.0/21
IE,185.12.152.0/21
IE,185.18.220.0/23
IE,185.18.222.0/23
IE,185.20.88.0/21
IE,185.22.152.0/21
IE,185.23.192.0/21
IE,185.28.8.0/21
IE,185.28.192.0/21
IE,185.31.96.0/21
IE,185.32.152.0/21
