country,cidr
IL,2.48.0.0/13
IL,2.57.224.0/21
IL,5.22.128.0/20
IL,5.28.128.0/17
IL,5.28.0.0/15
IL,5.100.240.0/20
IL,5.102.128.0/17
IL,5.104.240.0/20
IL,5.144.32.0/19
IL,5.180.176.0/21
IL,5.182.56.0/21
IL,5.182.176.0/21
IL,31.12.72.0/21
IL,31.40.216.0/21
IL,31.40.224.0/21
IL,31.44.128.0/19
IL,31.133.96.0/21
IL,31.154.0.0/15
IL,31.168.0.0/15
IL,31.193.184.0/23
IL,31.210.160.0/19
IL,31.220.150.0/23
IL,37.19.96.0/19
IL,37.25.32.0/20
IL,37.26.144.0/20
IL,37.44.200.0/21
IL,37.46.32.0/19
IL,37.60.32.0/20
IL,37.122.152.0/21
IL,37.142.0.0/15
IL,45.8.56.0/21
IL,45.9.48.0/21
IL,45.65.96.0/21
IL,45.67.128.0/21
IL,45.80.88.0/21
IL,45.80.104.0/21
IL,45.82.104.0/22
IL,45.83.40.0/21
IL,45.86.112.0/21
IL,45.88.72.0/21
IL,45.91.168.0/21
IL,45.92.112.0/21
IL,45.93.88.0/21
IL,45.95.88.0/21
IL,45.128.248.0/21
IL,45.133.240.0/23
IL,45.136.240.0/21
IL,45.140.200.0/21
IL,45.143.0.0/21
IL,45.145.128.0/21
IL,45.145.168.0/21
IL,45.148.232.0/21
IL,45.155.160.0/21
IL,45.158.24.0/21
IL,45.159.128.0/21
IL,45.248.36.0/22
IL,46.19.80.0/20
IL,46.31.96.0/20
IL,46.116.0.0/14
IL,46.120.0.0/14
IL,46.149.160.0/21
IL,46.210.0.0/15
IL,46.232.208.0/22
IL,46.243.144.0/21
IL,50.21.24.0/21
IL,62.0.0.0/15
IL,62.3.58.0/23
IL,62.56.128.0/18
IL,62.56.208.0/20
IL,62.56.192.0/18
IL,62.90.0.0/15
IL,62.112.0.0/21
IL,62.128.0.0/18
IL,62.164.170.0/23
IL,62.182.192.0/20
IL,62.218.0.0/15
IL,63.250.48.0/20
IL,64.7.88.0/21
IL,64.239.22.0/23
IL,69.7.78.0/23
IL,77.120.0.0/13
IL,78.138.0.0/21
IL,78.138.8.0/23
IL,78.138.32.0/21
IL,78.138.40.0/23
IL,78.138.52.0/23
IL,78.138.52.0/22
IL,78.138.56.0/22
IL,78.138.58.0/23
IL,78.138.60.0/23
IL,78.138.62.0/23
IL,79.176.0.0/12
IL,80.70.128.0/19
IL,80.74.64.0/18
IL,80.176.0.0/14
IL,80.230.0.0/15
IL,80.240.96.0/22
IL,80.240.112.0/21
IL,80.240.120.0/21
IL,80.240.124.0/23
IL,80.244.160.0/19
IL,80.246.128.0/19
IL,80.250.128.0/19
IL,81.5.0.0/17
IL,81.28.0.0/21
IL,81.173.8.0/21
IL,81.199.0.0/19
IL,81.199.32.0/21
IL,81.199.32.0/20
IL,81.199.32.0/19
IL,81.199.64.0/19
IL,81.199.64.0/18
IL,81.199.128.0/19
IL,81.199.144.0/22
IL,81.199.144.0/21
IL,81.199.144.0/20
IL,81.199.128.0/18
IL,81.199.128.0/17
IL,81.218.0.0/15
IL,82.80.0.0/14
IL,82.97.204.0/23
IL,82.102.128.0/17
IL,82.115.214.0/23
IL,82.163.48.0/21
IL,82.163.128.0/20
IL,82.163.248.0/21
IL,82.166.0.0/15
IL,83.130.0.0/15
IL,83.136.236.0/23
IL,83.142.48.0/21
IL,83.151.196.0/22
IL,83.229.0.0/22
IL,83.229.6.0/23
IL,83.229.12.0/22
IL,83.229.18.0/23
IL,83.229.22.0/23
IL,83.229.24.0/23
IL,83.229.26.0/23
IL,83.229.28.0/22
IL,83.229.36.0/22
IL,83.229.48.0/21
IL,83.229.56.0/21
IL,83.229.62.0/23
IL,83.229.66.0/23
IL,83.229.64.0/21
IL,83.229.72.0/21
IL,83.229.80.0/20
IL,83.229.92.0/23
IL,83.229.94.0/23
IL,83.229.96.0/21
IL,83.229.108.0/23
IL,83.229.108.0/22
IL,83.229.114.0/23
IL,83.229.112.0/21
IL,84.92.0.0/14
IL,84.104.0.0/13
IL,84.228.0.0/14
IL,84.252.96.0/21
IL,85.8.152.0/23
IL,85.64.0.0/14
IL,85.130.0.0/16
IL,85.159.160.0/20
IL,85.209.240.0/21
IL,85.250.0.0/15
IL,85.255.0.0/19
IL,86.104.226.0/23
IL,87.64.0.0/13
IL,88.202.208.0/20
IL,88.218.216.0/21
IL,89.33.28.0/22
IL,89.36.196.0/23
IL,89.37.232.0/21
IL,89.38.24.0/21
IL,89.39.244.0/23
IL,89.40.36.0/23
IL,89.40.66.0/23
IL,89.40.170.0/23
IL,89.41.188.0/23
IL,89.42.24.0/23
IL,89.43.48.0/23
IL,89.136.0.0/14
IL,89.208.0.0/20
IL,89.208.48.0/20
IL,89.208.128.0/20
IL,91.90.128.0/19
IL,91.90.162.0/23
IL,91.90.168.0/22
IL,91.135.96.0/19
IL,91.143.224.0/19
IL,91.193.48.0/21
IL,91.194.112.0/22
IL,91.195.160.0/22
IL,91.196.176.0/21
IL,91.197.56.0/21
IL,91.197.96.0/21
IL,91.198.4.0/23
IL,91.198.70.0/23
IL,91.198.128.0/23
IL,91.198.188.0/23
IL,91.198.204.0/23
IL,91.199.28.0/23
IL,91.199.52.0/23
IL,91.199.68.0/23
IL,91.199.94.0/23
IL,91.199.98.0/23
IL,91.199.100.0/23
IL,91.199.118.0/23
IL,91.199.202.0/23
IL,91.202.168.0/21
IL,91.203.120.0/21
IL,91.205.152.0/21
IL,91.207.32.0/22
IL,91.207.88.0/22
IL,91.207.240.0/22
IL,91.208.86.0/23
IL,91.208.118.0/23
IL,91.208.128.0/23
IL,91.208.138.0/23
IL,91.208.140.0/23
IL,91.208.146.0/23
IL,91.208.218.0/23
IL,91.209.112.0/23
IL,91.209.238.0/23
IL,91.211.144.0/23
IL,91.212.76.0/23
IL,91.212.114.0/23
IL,91.212.188.0/23
IL,91.214.96.0/21
IL,91.216.222.0/23
IL,91.216.252.0/23
IL,91.217.50.0/23
IL,91.220.22.0/23
IL,91.223.10.0/23
IL,91.223.54.0/23
IL,91.223.60.0/23
IL,91.223.106.0/23
IL,91.223.168.0/23
IL,91.223.236.0/23
IL,91.226.72.0/23
IL,91.226.76.0/23
IL,91.226.244.0/23
IL,91.227.68.0/22
IL,91.227.164.0/22
IL,91.228.124.0/22
IL,91.228.160.0/22
IL,91.228.248.0/23
IL,91.230.48.0/23
IL,91.230.78.0/23
IL,91.230.236.0/23
IL,91.231.192.0/21
IL,91.235.32.0/22
IL,91.235.106.0/23
IL,91.235.148.0/22
IL,91.239.58.0/23
IL,91.240.144.0/22
IL,91.240.232.0/22
IL,91.246.218.0/23
IL,92.61.224.0/19
IL,93.93.204.0/23
IL,93.113.30.0/23
IL,93.114.168.0/23
IL,93.157.80.0/20
IL,93.172.0.0/14
IL,93.175.0.0/18
IL,94.103.184.0/23
IL,94.154.122.0/23
IL,94.159.0.0/16
IL,94.188.0.0/16
IL,94.230.64.0/19
IL,95.34.0.0/15
IL,95.86.0.0/17
IL,95.129.32.0/20
IL,95.142.0.0/19
IL,95.175.0.0/18
IL,95.183.0.0/20
IL,96.9.126.0/23
IL,103.13.208.0/21
IL,103.14.104.0/21
IL,103.45.240.0/21
IL,103.95.112.0/21
IL,103.240.144.0/21
IL,103.241.64.0/21
IL,107.150.176.0/22
IL,109.64.0.0/13
IL,109.95.128.0/20
IL,109.160.0.0/16
IL,109.186.0.0/15
IL,109.207.72.0/21
IL,109.226.0.0/17
IL,109.234.16.0/20
IL,109.237.76.0/22
IL,109.252.0.0/15
IL,128.138.0.0/15
IL,130.185.96.0/20
IL,131.125.0.0/16
IL,132.64.0.0/12
IL,138.134.0.0/15
IL,141.226.0.0/18
IL,141.226.54.0/23
IL,141.226.48.0/20
IL,141.226.70.0/23
IL,141.226.64.0/20
IL,141.226.80.0/21
IL,141.226.86.0/23
IL,141.226.80.0/20
IL,141.226.96.0/19
IL,141.226.116.0/22
