country,cidr
IM,5.62.64.0/19
IM,5.253.72.0/21
IM,31.130.208.0/20
IM,37.10.116.0/23
IM,37.18.128.0/20
IM,37.25.80.0/20
IM,43.225.112.0/21
IM,45.85.0.0/21
IM,45.85.192.0/21
IM,46.31.192.0/20
IM,46.226.176.0/20
IM,66.84.64.0/19
IM,66.132.132.0/23
IM,77.87.176.0/20
IM,78.24.208.0/20
IM,79.170.32.0/20
IM,80.65.224.0/19
IM,81.27.96.0/19
IM,81.88.160.0/19
IM,83.218.0.0/18
IM,84.246.192.0/20
IM,85.184.192.0/20
IM,85.184.192.0/19
IM,87.254.64.0/18
IM,89.107.0.0/20
IM,91.199.82.0/23
IM,91.206.144.0/22
IM,91.211.96.0/21
IM,91.223.160.0/23
IM,92.39.192.0/19
IM,94.125.48.0/20
IM,103.214.248.0/22
IM,109.70.32.0/20
IM,109.202.112.0/20
IM,146.247.32.0/19
IM,178.16.0.0/19
IM,178.211.144.0/23
IM,178.217.92.0/23
IM,185.1.178.0/23
IM,185.16.0.0/21
IM,185.28.72.0/21
IM,185.48.72.0/21
IM,185.60.88.0/21
IM,185.63.184.0/21
IM,185.64.144.0/21
IM,185.74.56.0/21
IM,185.90.216.0/21
IM,185.179.88.0/23
IM,185.180.168.0/21
IM,185.184.228.0/23
IM,185.185.104.0/21
IM,193.28.158.0/23
IM,193.31.192.0/19
IM,193.33.228.0/22
IM,193.143.248.0/23
IM,193.219.110.0/23
IM,195.10.64.0/18
IM,213.137.0.0/18
IM,217.23.160.0/19
IM,217.28.0.0/19
