country,cidr
IQ,5.1.96.0/20
IQ,5.8.240.0/20
IQ,5.10.224.0/20
IQ,5.62.128.0/19
IQ,5.149.96.0/19
IQ,5.181.192.0/21
IQ,5.183.150.0/23
IQ,31.7.80.0/20
IQ,31.14.224.0/21
IQ,31.24.252.0/23
IQ,31.25.128.0/20
IQ,31.223.184.0/23
IQ,31.223.186.0/23
IQ,37.17.128.0/18
IQ,37.77.48.0/20
IQ,37.77.64.0/19
IQ,37.98.224.0/20
IQ,37.156.104.0/21
IQ,37.205.112.0/20
IQ,45.81.144.0/21
IQ,45.82.56.0/21
IQ,45.89.20.0/23
IQ,45.113.238.0/23
IQ,45.128.120.0/21
IQ,45.134.240.0/21
IQ,45.143.24.0/21
IQ,45.148.88.0/21
IQ,45.151.72.0/21
IQ,45.153.112.0/21
IQ,45.157.48.0/21
IQ,45.157.144.0/21
IQ,46.18.108.0/23
IQ,46.21.250.0/23
IQ,46.30.224.0/20
IQ,46.161.192.0/20
IQ,46.243.16.0/20
IQ,62.3.56.0/23
IQ,62.201.128.0/17
IQ,77.81.176.0/23
IQ,78.41.60.0/23
IQ,78.109.224.0/19
IQ,79.132.192.0/22
IQ,79.132.192.0/21
IQ,81.22.32.0/21
IQ,81.90.0.0/19
IQ,82.199.192.0/19
IQ,84.38.252.0/23
IQ,85.31.40.0/21
IQ,85.113.88.0/22
IQ,85.194.192.0/21
IQ,85.194.248.0/21
IQ,85.208.224.0/21
IQ,86.105.144.0/21
IQ,86.105.220.0/23
IQ,86.111.144.0/20
IQ,87.236.148.0/23
IQ,89.33.64.0/22
IQ,89.46.192.0/20
IQ,91.106.0.0/18
IQ,91.192.0.0/21
IQ,91.205.42.0/23
IQ,91.205.228.0/23
IQ,91.212.8.0/23
IQ,91.213.190.0/23
IQ,91.217.132.0/23
IQ,91.217.184.0/23
IQ,91.220.40.0/23
IQ,91.239.118.0/23
IQ,92.119.56.0/21
IQ,93.91.192.0/19
IQ,93.94.48.0/20
IQ,93.115.252.0/23
IQ,93.180.208.0/20
IQ,93.187.32.0/20
IQ,93.191.112.0/21
IQ,94.176.40.0/23
IQ,94.231.198.0/23
IQ,95.128.156.0/23
IQ,95.159.0.0/17
IQ,95.170.192.0/18
IQ,103.229.80.0/23
IQ,109.61.0.0/21
IQ,109.127.0.0/17
IQ,109.205.112.0/20
IQ,109.224.0.0/17
IQ,109.230.96.0/19
IQ,122.102.112.0/21
IQ,128.0.44.0/23
IQ,130.193.0.0/16
IQ,130.255.80.0/20
IQ,131.117.192.0/18
IQ,138.124.152.0/21
IQ,144.86.224.0/21
IQ,151.236.128.0/18
IQ,159.255.160.0/20
IQ,164.138.224.0/20
IQ,167.160.4.0/23
IQ,176.28.64.0/20
IQ,176.32.240.0/20
IQ,176.105.232.0/21
IQ,176.222.56.0/21
IQ,176.241.64.0/19
IQ,178.17.32.0/19
IQ,178.22.32.0/20
IQ,178.210.224.0/20
IQ,185.1.98.0/23
IQ,185.9.64.0/21
IQ,185.12.24.0/21
IQ,185.14.248.0/21
IQ,185.16.24.0/23
IQ,185.16.24.0/22
IQ,185.18.224.0/22
IQ,185.20.24.0/21
IQ,185.20.192.0/21
IQ,185.21.136.0/21
IQ,185.23.240.0/21
IQ,185.24.56.0/21
IQ,185.27.216.0/21
IQ,185.33.44.0/23
IQ,185.33.44.0/22
IQ,185.34.16.0/21
IQ,185.37.88.0/21
