country,cidr
IR,2.57.2.0/23
IR,2.144.0.0/13
IR,2.160.0.0/11
IR,5.1.42.0/23
IR,5.22.0.0/16
IR,5.22.192.0/20
IR,5.23.112.0/20
IR,5.34.192.0/19
IR,5.42.216.0/23
IR,5.42.222.0/23
IR,5.52.0.0/15
IR,5.53.0.0/18
IR,5.56.128.0/20
IR,5.57.32.0/20
IR,5.61.16.0/20
IR,5.62.128.0/18
IR,5.62.128.0/17
IR,5.63.0.0/20
IR,5.63.22.0/23
IR,5.72.0.0/14
IR,5.104.208.0/20
IR,5.106.0.0/15
IR,5.96.0.0/11
IR,5.134.128.0/17
IR,5.144.128.0/20
IR,5.145.112.0/20
IR,5.159.48.0/20
IR,5.182.40.0/21
IR,5.190.0.0/15
IR,5.198.128.0/18
IR,5.200.0.0/17
IR,5.200.0.0/16
IR,5.201.0.0/16
IR,5.202.0.0/15
IR,5.208.0.0/12
IR,5.224.0.0/12
IR,5.250.0.0/16
IR,5.252.216.0/21
IR,5.253.24.0/21
IR,5.253.96.0/21
IR,5.253.224.0/23
IR,31.2.0.0/16
IR,31.7.64.0/19
IR,31.7.88.0/21
IR,31.7.64.0/18
IR,31.7.128.0/19
IR,31.14.64.0/19
IR,31.14.96.0/19
IR,31.14.128.0/19
IR,31.24.192.0/20
IR,31.24.224.0/20
IR,31.25.88.0/22
IR,31.25.88.0/21
IR,31.25.96.0/20
IR,31.25.128.0/20
IR,31.25.232.0/22
IR,31.40.0.0/20
IR,31.41.34.0/23
IR,31.47.0.0/18
IR,31.130.160.0/19
IR,31.170.32.0/19
IR,31.171.208.0/20
IR,31.184.128.0/17
IR,31.193.112.0/20
IR,31.193.186.0/23
IR,31.214.132.0/22
IR,31.214.144.0/22
IR,31.214.154.0/23
IR,31.214.160.0/20
IR,31.214.200.0/22
IR,31.214.224.0/21
IR,31.214.240.0/20
IR,31.216.62.0/23
IR,31.217.208.0/20
IR,37.9.240.0/20
IR,37.10.64.0/21
IR,37.10.108.0/23
IR,37.10.116.0/23
IR,37.19.64.0/19
IR,37.32.0.0/18
IR,37.32.96.0/19
IR,37.44.48.0/20
IR,37.49.144.0/20
IR,37.63.0.0/16
IR,37.75.240.0/20
IR,37.98.0.0/16
IR,37.114.128.0/17
IR,37.128.0.0/15
IR,37.130.192.0/20
IR,37.136.0.0/15
IR,37.143.144.0/20
IR,37.148.0.0/16
IR,37.148.248.0/21
IR,37.152.128.0/18
IR,37.153.128.0/21
IR,37.153.160.0/19
IR,37.156.0.0/21
IR,37.156.0.0/20
IR,37.156.0.0/19
IR,37.156.32.0/19
IR,37.156.96.0/21
IR,37.156.96.0/19
IR,37.156.128.0/19
IR,37.156.144.0/20
IR,37.156.160.0/20
IR,37.156.176.0/21
IR,37.156.208.0/21
IR,37.156.224.0/20
IR,37.156.240.0/21
IR,37.156.248.0/21
IR,37.191.64.0/18
IR,37.202.128.0/17
IR,37.202.192.0/18
IR,37.221.0.0/17
IR,37.228.130.0/23
IR,37.228.132.0/23
IR,37.228.134.0/23
IR,37.228.136.0/21
IR,37.235.0.0/19
IR,37.252.0.0/14
IR,45.8.160.0/21
IR,45.9.144.0/21
IR,45.9.248.0/21
IR,45.11.184.0/21
IR,45.15.200.0/21
IR,45.15.248.0/21
IR,45.81.16.0/21
IR,45.82.136.0/21
IR,45.83.8.0/21
IR,45.84.152.0/21
IR,45.84.248.0/21
IR,45.86.0.0/21
IR,45.86.192.0/21
IR,45.87.0.0/21
IR,45.89.136.0/21
IR,45.89.200.0/21
IR,45.89.216.0/21
IR,45.90.72.0/21
IR,45.91.152.0/21
IR,45.92.88.0/21
IR,45.94.208.0/21
IR,45.94.248.0/21
IR,45.95.88.0/21
IR,45.128.136.0/21
IR,45.129.32.0/21
IR,45.129.112.0/21
IR,45.132.32.0/23
IR,45.132.160.0/20
IR,45.134.96.0/23
IR,45.134.98.0/23
IR,45.135.240.0/21
IR,45.137.16.0/22
IR,45.137.18.0/23
IR,45.138.128.0/21
IR,45.139.8.0/21
IR,45.140.24.0/21
IR,45.140.224.0/20
IR,45.142.184.0/21
IR,45.143.248.0/21
IR,45.144.16.0/21
IR,45.144.120.0/21
IR,45.147.72.0/21
IR,45.148.248.0/21
IR,45.149.72.0/21
IR,45.150.88.0/21
IR,45.150.150.0/23
IR,45.155.192.0/21
IR,45.156.112.0/21
IR,45.156.176.0/21
IR,45.156.184.0/21
IR,45.156.192.0/20
IR,45.157.240.0/21
IR,45.158.120.0/21
IR,45.159.112.0/21
IR,45.159.144.0/21
IR,45.159.192.0/21
IR,45.248.160.0/21
IR,46.18.240.0/20
IR,46.21.64.0/19
IR,46.28.64.0/20
IR,46.29.32.0/22
IR,46.32.0.0/18
IR,46.34.64.0/18
IR,46.34.128.0/18
IR,46.36.96.0/19
IR,46.38.128.0/18
IR,46.41.128.0/17
IR,46.51.0.0/16
IR,46.100.0.0/15
IR,46.102.112.0/20
IR,46.102.128.0/19
IR,46.102.184.0/21
IR,46.143.0.0/16
IR,46.143.128.0/17
IR,46.148.32.0/19
IR,46.164.0.0/17
IR,46.167.128.0/18
IR,46.182.32.0/20
