country,cidr
IS,5.23.64.0/18
IS,31.15.112.0/20
IS,31.43.172.0/22
IS,31.209.128.0/20
IS,31.209.128.0/19
IS,31.209.128.0/17
IS,37.152.64.0/20
IS,37.156.68.0/23
IS,37.205.32.0/20
IS,37.228.128.0/22
IS,46.22.96.0/19
IS,46.28.144.0/20
IS,46.182.176.0/20
IS,46.239.128.0/17
IS,62.145.128.0/18
IS,77.73.32.0/23
IS,78.40.240.0/20
IS,79.171.96.0/20
IS,80.248.0.0/19
IS,81.15.0.0/16
IS,82.112.64.0/18
IS,82.148.64.0/18
IS,82.220.0.0/15
IS,83.173.0.0/17
IS,85.116.64.0/18
IS,85.197.128.0/17
IS,85.220.0.0/16
IS,87.121.22.0/23
IS,87.237.32.0/20
IS,88.135.70.0/23
IS,88.149.0.0/16
IS,88.151.48.0/20
IS,89.17.128.0/18
IS,89.104.128.0/18
IS,89.147.104.0/21
IS,89.160.0.0/16
IS,91.199.134.0/23
IS,91.208.22.0/23
IS,91.216.254.0/23
IS,91.220.110.0/23
IS,91.220.138.0/23
IS,91.235.6.0/23
IS,92.43.192.0/20
IS,93.95.24.0/23
IS,93.95.64.0/20
IS,93.95.224.0/20
IS,94.142.144.0/20
IS,94.198.48.0/22
IS,128.140.224.0/20
IS,130.208.0.0/15
IS,141.138.144.0/20
IS,147.28.0.0/19
IS,149.126.80.0/20
IS,153.92.128.0/18
IS,157.97.0.0/18
IS,157.156.0.0/15
IS,160.20.212.0/22
IS,160.210.0.0/15
IS,176.10.32.0/20
IS,176.57.224.0/19
IS,178.19.32.0/19
IS,178.248.16.0/20
IS,185.1.200.0/23
IS,185.10.68.0/23
IS,185.21.16.0/21
IS,185.24.0.0/21
IS,185.25.248.0/21
IS,185.27.32.0/21
IS,185.29.192.0/21
IS,185.30.184.0/21
IS,185.40.120.0/21
IS,185.43.30.0/23
IS,185.44.204.0/23
IS,185.44.240.0/21
IS,185.45.72.0/21
IS,185.56.8.0/21
IS,185.62.56.0/21
IS,185.66.214.0/23
IS,185.67.80.0/21
IS,185.67.176.0/21
IS,185.86.216.0/21
IS,185.93.152.0/21
IS,185.100.80.0/21
IS,185.101.120.0/21
IS,185.107.56.0/21
IS,185.109.96.0/21
IS,185.111.32.0/21
IS,185.112.144.0/21
IS,185.112.200.0/21
IS,185.118.32.0/21
IS,185.119.120.0/21
IS,185.123.192.0/21
IS,185.126.56.0/21
IS,185.130.8.0/21
IS,185.138.168.0/21
IS,185.146.232.0/21
IS,185.147.136.0/21
IS,185.152.112.0/21
IS,185.154.112.0/21
IS,185.156.16.0/21
IS,185.165.168.0/21
IS,185.169.184.0/21
IS,185.174.176.0/21
IS,185.177.128.0/21
IS,185.179.72.0/21
IS,185.179.104.0/21
IS,185.191.232.0/21
IS,185.198.144.0/21
IS,185.208.202.0/23
IS,185.219.144.0/21
IS,185.221.176.0/21
IS,185.221.232.0/21
IS,185.236.130.0/23
IS,185.240.40.0/21
IS,185.242.186.0/23
IS,185.245.168.0/21
IS,185.246.184.0/21
IS,185.247.224.0/21
IS,185.248.120.0/21
IS,188.240.230.0/23
IS,192.147.34.0/23
IS,193.4.0.0/15
IS,193.24.100.0/23
IS,193.107.80.0/21
IS,193.109.0.0/19
IS,193.243.188.0/23
IS,194.31.60.0/23
IS,194.105.192.0/18
IS,194.144.0.0/15
IS,195.130.192.0/23
IS,195.130.210.0/23
IS,195.246.228.0/22
IS,212.30.128.0/17
IS,212.46.60.0/23
IS,212.126.192.0/18
IS,213.167.128.0/18
IS,213.176.128.0/18
IS,213.181.64.0/18
IS,213.190.64.0/18
IS,213.213.128.0/18
IS,213.220.0.0/17
IS,217.9.128.0/19
IS,217.28.160.0/19
IS,217.151.128.0/18
IS,217.171.192.0/19
