country,cidr
JE,5.35.160.0/20
JE,5.42.128.0/20
JE,31.186.112.0/20
JE,37.156.36.0/22
JE,46.254.240.0/20
JE,81.20.160.0/19
JE,82.112.128.0/18
JE,83.137.240.0/20
JE,87.237.128.0/20
JE,87.244.0.0/17
JE,93.191.192.0/20
JE,103.105.144.0/21
JE,109.68.192.0/21
JE,146.19.126.0/23
JE,165.250.0.0/15
JE,173.255.144.0/20
JE,185.3.48.0/21
JE,185.16.64.0/21
JE,185.48.56.0/21
JE,185.57.208.0/21
JE,185.87.8.0/21
JE,185.113.8.0/21
JE,185.122.240.0/21
JE,185.158.120.0/21
JE,185.179.100.0/23
JE,185.206.8.0/21
JE,185.235.244.0/23
JE,188.116.44.0/23
JE,193.3.238.0/23
JE,193.17.32.0/21
JE,193.36.44.0/23
JE,193.201.42.0/23
JE,194.34.104.0/22
JE,199.34.112.0/21
JE,199.66.128.0/21
JE,203.30.194.0/23
JE,209.251.252.0/22
JE,212.9.0.0/18
JE,213.133.192.0/18
JE,213.134.22.0/23
JE,217.198.188.0/23
