country,cidr
JM,23.156.32.0/23
JM,63.143.0.0/17
JM,64.112.16.0/21
JM,65.183.0.0/19
JM,66.54.96.0/19
JM,66.71.196.0/22
JM,66.212.48.0/21
JM,66.249.128.0/19
JM,67.213.128.0/19
JM,69.160.64.0/18
JM,72.27.0.0/16
JM,74.116.56.0/21
JM,96.43.128.0/18
JM,104.152.232.0/21
JM,104.244.224.0/20
JM,142.0.224.0/19
JM,162.216.160.0/20
JM,162.246.0.0/21
JM,170.62.168.0/21
JM,170.62.192.0/21
JM,173.225.224.0/19
JM,184.170.0.0/17
JM,192.131.32.0/20
JM,196.1.136.0/23
JM,196.1.136.0/22
JM,196.2.0.0/22
JM,196.3.0.0/20
JM,196.3.94.0/23
JM,196.3.104.0/23
JM,196.3.152.0/23
JM,196.3.176.0/20
JM,196.32.0.0/20
JM,198.58.0.0/22
JM,199.73.56.0/21
JM,199.115.28.0/22
JM,199.195.216.0/21
JM,200.9.114.0/23
JM,200.10.152.0/23
JM,206.41.106.0/23
JM,207.204.0.0/17
JM,207.254.128.0/19
JM,208.131.128.0/18
JM,208.138.0.0/19
JM,208.138.32.0/19
JM,208.163.0.0/18
JM,209.112.80.0/21
JM,209.236.0.0/17
JM,216.10.192.0/19
