country,cidr
JO,2.59.48.0/21
JO,5.45.128.0/19
JO,5.198.240.0/20
JO,5.199.184.0/21
JO,37.17.192.0/19
JO,37.44.32.0/20
JO,37.75.144.0/20
JO,37.123.64.0/18
JO,37.152.0.0/20
JO,37.202.0.0/17
JO,37.220.96.0/19
JO,37.252.222.0/23
JO,45.142.192.0/21
JO,46.23.96.0/19
JO,46.32.64.0/18
JO,46.185.0.0/16
JO,46.248.192.0/18
JO,62.72.128.0/18
JO,77.245.0.0/19
JO,79.134.128.0/18
JO,79.173.128.0/17
JO,80.90.160.0/19
JO,81.21.0.0/19
JO,81.28.96.0/19
JO,82.212.0.0/17
JO,84.18.0.0/18
JO,84.18.64.0/18
JO,84.252.106.0/23
JO,85.159.208.0/20
JO,86.108.0.0/16
JO,87.236.224.0/20
JO,87.238.128.0/20
JO,89.20.48.0/23
JO,89.28.208.0/20
JO,91.106.96.0/19
JO,91.132.100.0/23
JO,91.186.192.0/18
JO,91.209.248.0/23
JO,91.212.0.0/23
JO,91.220.194.0/23
JO,91.223.202.0/23
JO,92.241.0.0/18
JO,92.253.0.0/16
JO,93.93.144.0/20
JO,93.95.192.0/20
JO,93.115.0.0/22
JO,93.115.14.0/23
JO,93.191.176.0/20
JO,94.127.208.0/20
JO,94.142.0.0/18
JO,94.249.0.0/16
JO,95.141.192.0/19
JO,95.172.192.0/18
JO,109.107.192.0/18
JO,109.237.192.0/19
JO,141.0.0.0/20
JO,141.98.64.0/21
JO,141.105.48.0/20
JO,146.19.238.0/23
JO,146.19.246.0/23
JO,149.200.0.0/16
JO,176.28.0.0/16
JO,176.28.0.0/15
JO,176.57.0.0/18
JO,176.57.32.0/19
JO,176.118.38.0/23
JO,176.241.64.0/20
JO,178.20.176.0/20
JO,178.77.128.0/17
JO,178.238.160.0/19
JO,185.10.216.0/21
JO,185.12.240.0/21
JO,185.14.128.0/21
JO,185.19.112.0/21
JO,185.24.128.0/21
JO,185.30.248.0/21
JO,185.33.24.0/21
JO,185.40.18.0/23
JO,185.43.146.0/23
JO,185.51.208.0/21
JO,185.57.120.0/21
JO,185.80.24.0/21
JO,185.80.104.0/21
JO,185.98.216.0/21
JO,185.98.224.0/21
JO,185.109.120.0/21
JO,185.109.192.0/21
JO,185.135.200.0/21
JO,185.139.216.0/21
JO,185.159.176.0/21
JO,185.160.232.0/21
JO,185.163.204.0/23
JO,185.173.56.0/21
JO,185.175.248.0/21
JO,185.176.40.0/21
JO,185.180.80.0/21
JO,185.182.136.0/21
JO,185.193.176.0/21
JO,185.197.176.0/21
JO,185.200.128.0/21
JO,185.234.110.0/23
JO,185.241.62.0/23
JO,185.253.112.0/21
JO,188.123.128.0/18
JO,188.247.64.0/18
JO,193.17.52.0/23
JO,193.108.132.0/22
JO,193.111.28.0/23
JO,193.188.64.0/18
JO,193.189.148.0/23
JO,193.203.24.0/22
JO,193.203.108.0/22
JO,194.110.236.0/23
JO,194.165.128.0/18
JO,212.34.0.0/18
JO,212.35.64.0/18
JO,212.118.0.0/18
JO,213.139.0.0/18
JO,213.186.128.0/18
JO,217.23.32.0/19
JO,217.29.224.0/19
JO,217.144.0.0/19
