country,cidr
KG,5.57.0.0/20
KG,31.29.0.0/18
KG,31.186.48.0/20
KG,31.192.240.0/20
KG,37.218.128.0/17
KG,46.226.208.0/20
KG,46.251.192.0/18
KG,66.132.134.0/23
KG,77.95.48.0/20
KG,77.220.204.0/22
KG,77.235.0.0/18
KG,78.136.252.0/22
KG,80.72.160.0/19
KG,81.20.0.0/19
KG,81.88.192.0/19
KG,84.54.12.0/23
KG,85.113.0.0/18
KG,89.237.128.0/17
KG,91.192.64.0/21
KG,91.199.112.0/23
KG,91.205.48.0/21
KG,91.207.28.0/22
KG,91.213.232.0/23
KG,91.229.224.0/23
KG,91.240.244.0/23
KG,91.247.48.0/20
KG,92.62.64.0/19
KG,92.245.64.0/18
KG,93.157.224.0/20
KG,94.143.192.0/20
KG,95.87.64.0/18
KG,95.130.230.0/23
KG,95.215.240.0/21
KG,109.71.224.0/20
KG,109.201.128.0/18
KG,139.28.24.0/21
KG,146.19.220.0/23
KG,158.181.0.0/18
KG,158.181.0.0/16
KG,176.123.192.0/18
KG,176.126.160.0/21
KG,178.216.208.0/20
KG,178.217.160.0/20
KG,185.1.110.0/23
KG,185.1.150.0/23
KG,185.20.120.0/21
KG,185.29.184.0/21
KG,185.39.78.0/23
KG,185.48.136.0/21
KG,185.53.224.0/21
KG,185.54.248.0/21
KG,185.66.248.0/21
KG,185.81.176.0/21
KG,185.88.32.0/21
KG,185.117.144.0/21
KG,185.138.96.0/21
KG,185.138.184.0/21
KG,185.157.136.0/21
KG,185.161.48.0/21
KG,185.211.224.0/21
KG,185.229.32.0/21
KG,188.244.124.0/23
KG,193.34.224.0/23
KG,193.36.94.0/23
KG,193.106.48.0/21
KG,193.151.226.0/23
KG,193.176.238.0/23
KG,194.56.214.0/23
KG,194.76.192.0/23
KG,194.76.216.0/23
KG,194.76.218.0/23
KG,194.76.238.0/23
KG,194.150.178.0/23
KG,194.152.36.0/22
KG,194.176.110.0/23
KG,194.180.244.0/23
KG,195.38.128.0/18
KG,195.54.180.0/22
KG,195.114.224.0/19
KG,195.191.230.0/23
KG,195.211.166.0/23
KG,195.216.236.0/23
KG,212.2.224.0/20
KG,212.42.64.0/18
KG,212.97.0.0/18
KG,212.112.64.0/18
KG,212.241.0.0/18
KG,213.109.64.0/20
KG,213.145.128.0/18
KG,213.232.200.0/23
KG,217.29.0.0/19
