country,cidr
KR,1.10.0.0/15
KR,1.16.0.0/13
KR,1.96.0.0/11
KR,1.176.0.0/14
KR,1.200.0.0/15
KR,1.192.0.0/11
KR,1.192.0.0/10
KR,14.0.0.0/18
KR,14.0.0.0/17
KR,14.0.0.0/13
KR,14.0.0.0/10
KR,14.64.0.0/10
KR,14.128.0.0/16
KR,14.128.0.0/15
KR,14.138.0.0/15
KR,14.192.64.0/19
KR,14.206.0.0/15
KR,27.0.232.0/21
KR,27.0.0.0/15
KR,27.34.0.0/15
KR,27.96.128.0/17
KR,27.100.0.0/16
KR,27.100.0.0/15
KR,27.102.0.0/15
KR,27.111.64.0/18
KR,27.112.0.0/16
KR,27.113.0.0/16
KR,27.115.0.0/16
KR,27.116.0.0/17
KR,27.116.0.0/16
KR,27.116.0.0/15
KR,27.118.0.0/17
KR,27.118.0.0/16
KR,27.118.0.0/15
KR,27.120.0.0/17
KR,27.122.0.0/16
KR,27.124.0.0/16
KR,27.125.0.0/16
KR,27.126.0.0/17
KR,27.160.0.0/11
KR,27.224.0.0/12
KR,27.255.0.0/17
KR,36.36.0.0/14
KR,39.0.0.0/13
KR,39.0.0.0/11
KR,39.96.0.0/11
KR,42.0.0.0/12
KR,42.0.0.0/11
KR,42.32.0.0/11
KR,42.82.0.0/15
KR,43.224.104.0/21
KR,43.225.120.0/21
KR,43.227.112.0/21
KR,43.227.120.0/21
KR,43.228.160.0/21
KR,43.229.0.0/21
KR,43.229.112.0/21
KR,43.230.0.0/21
KR,43.230.72.0/21
KR,43.230.80.0/21
KR,43.230.216.0/21
KR,43.240.232.0/21
KR,43.241.96.0/20
KR,43.242.112.0/21
KR,43.243.184.0/21
KR,43.243.216.0/21
KR,43.246.152.0/21
KR,43.246.176.0/21
KR,43.247.104.0/21
KR,43.247.192.0/21
KR,43.250.152.0/21
KR,43.251.24.0/21
KR,43.251.64.0/21
KR,43.251.120.0/21
KR,43.254.240.0/21
KR,43.255.240.0/20
KR,45.64.136.0/21
KR,45.64.144.0/21
KR,45.64.152.0/21
KR,45.64.168.0/21
KR,45.112.80.0/20
KR,45.112.96.0/19
KR,45.112.144.0/20
KR,45.112.160.0/20
KR,45.113.40.0/21
KR,45.113.48.0/21
KR,45.114.104.0/21
KR,45.114.128.0/21
KR,45.115.152.0/21
KR,45.117.8.0/21
KR,45.119.144.0/21
KR,45.120.64.0/20
KR,45.121.160.0/21
KR,45.125.232.0/21
KR,45.126.144.0/21
KR,45.248.72.0/21
KR,45.249.64.0/21
KR,45.249.160.0/21
KR,45.250.200.0/21
KR,45.250.208.0/21
KR,45.250.216.0/21
KR,49.0.0.0/15
KR,49.8.0.0/13
KR,49.0.0.0/11
KR,49.50.0.0/21
KR,49.50.0.0/19
KR,49.50.0.0/18
KR,49.50.128.0/17
KR,49.48.0.0/12
KR,49.128.192.0/18
KR,49.142.0.0/15
KR,49.160.0.0/11
KR,49.236.0.0/17
KR,49.236.128.0/17
KR,49.238.0.0/17
KR,49.238.0.0/16
KR,49.239.128.0/17
KR,49.246.0.0/16
KR,49.246.0.0/15
KR,49.254.0.0/15
KR,58.28.0.0/15
KR,58.65.0.0/17
KR,58.64.0.0/12
KR,58.84.40.0/21
KR,58.87.0.0/18
KR,58.100.0.0/14
KR,58.112.0.0/12
KR,58.138.128.0/17
KR,58.136.0.0/13
KR,58.145.0.0/16
KR,58.146.128.0/17
KR,58.147.176.0/20
KR,58.144.0.0/13
KR,58.180.0.0/15
KR,58.184.0.0/15
KR,58.224.0.0/11
KR,59.0.0.0/10
KR,59.86.128.0/17
KR,59.150.0.0/15
KR,59.151.128.0/17
KR,59.152.128.0/17
KR,59.184.0.0/14
KR,60.196.0.0/14
KR,60.253.0.0/17
KR,61.4.128.0/17
KR,61.5.128.0/18
KR,61.14.208.0/21
KR,61.32.0.0/12
KR,61.47.128.0/17
KR,61.64.0.0/12
KR,61.80.0.0/13
KR,61.96.0.0/11
KR,61.245.160.0/19
KR,61.245.192.0/18
KR,61.247.0.0/17
KR,61.247.128.0/18
KR,61.247.192.0/18
KR,61.240.0.0/12
KR,64.188.32.0/19
KR,91.240.88.0/23
KR,101.1.0.0/20
KR,101.1.0.0/18
KR,101.53.64.0/18
KR,101.55.0.0/16
KR,101.78.0.0/15
KR,101.101.0.0/16
KR,101.202.0.0/15
KR,101.234.0.0/15
KR,101.250.0.0/15
KR,103.2.72.0/21
KR,103.2.80.0/21
KR,103.2.88.0/21
KR,103.3.32.0/21
KR,103.4.48.0/21
KR,103.4.144.0/21
KR,103.4.176.0/20
KR,103.5.128.0/21
KR,103.5.144.0/21
KR,103.6.72.0/21
KR,103.6.80.0/21
KR,103.6.96.0/21
KR,103.6.168.0/21
KR,103.7.32.0/21
KR,103.7.188.0/22
KR,103.7.240.0/21
KR,103.8.96.0/21
KR,103.8.230.0/23
KR,103.9.32.0/21
KR,103.9.128.0/21
KR,103.10.88.0/21
KR,103.10.216.0/21
KR,103.11.24.0/21
KR,103.11.40.0/21
KR,103.11.56.0/21
KR,103.11.128.0/21
KR,103.11.248.0/21
KR,103.12.240.0/20
KR,103.13.48.0/21
KR,103.13.160.0/21
KR,103.19.120.0/21
KR,103.20.112.0/21
KR,103.21.184.0/21
KR,103.21.200.0/21
KR,103.22.216.0/21
KR,103.23.80.0/20
KR,103.24.8.0/21
KR,103.25.16.0/21
KR,103.27.128.0/21
KR,103.27.144.0/21
KR,103.28.56.0/21
KR,103.28.64.0/21
KR,103.30.104.0/21
KR,103.30.160.0/21
KR,103.30.200.0/21
KR,103.31.176.0/21
KR,103.37.0.0/21
KR,103.38.24.0/21
KR,103.39.16.0/21
KR,103.39.32.0/21
KR,103.42.60.0/22
KR,103.42.184.0/21
KR,103.43.64.0/23
KR,103.43.120.0/21
KR,103.44.88.0/21
KR,103.48.128.0/21
KR,103.49.40.0/21
KR,103.50.40.0/21
KR,103.51.160.0/20
KR,103.51.176.0/21
KR,103.51.176.0/20
KR,103.51.192.0/20
KR,103.51.224.0/19
KR,103.52.200.0/21
KR,103.53.114.0/23
KR,103.54.56.0/21
KR,103.54.72.0/21
KR,103.55.34.0/23
KR,103.55.184.0/21
KR,103.57.56.0/21
KR,103.59.152.0/21
KR,103.60.112.0/20
KR,103.60.192.0/21
KR,103.62.224.0/21
