country,cidr
KW,5.182.128.0/21
KW,31.202.0.0/15
KW,31.214.0.0/16
KW,31.217.224.0/20
KW,37.34.0.0/16
KW,37.32.0.0/13
KW,37.230.0.0/15
KW,45.15.224.0/21
KW,45.66.0.0/21
KW,45.130.32.0/21
KW,45.158.96.0/21
KW,46.186.0.0/16
KW,62.150.0.0/15
KW,62.214.0.0/15
KW,78.41.138.0/23
KW,78.88.0.0/15
KW,78.154.128.0/17
KW,78.159.128.0/18
KW,80.184.0.0/15
KW,83.68.128.0/18
KW,83.96.0.0/16
KW,84.246.64.0/20
KW,85.239.0.0/18
KW,87.236.112.0/20
KW,89.203.0.0/16
KW,89.251.64.0/19
KW,91.102.32.0/20
KW,91.102.144.0/20
KW,91.102.224.0/20
KW,91.140.0.0/16
KW,91.194.100.0/22
KW,91.194.128.0/22
KW,91.198.134.0/23
KW,91.208.202.0/23
KW,91.209.172.0/23
KW,91.214.152.0/21
KW,91.216.188.0/23
KW,91.221.128.0/22
KW,91.221.220.0/22
KW,91.230.212.0/23
KW,91.246.14.0/23
KW,93.191.64.0/20
KW,94.29.0.0/16
KW,94.128.0.0/14
KW,94.187.128.0/18
KW,94.187.128.0/17
KW,95.66.0.0/16
KW,139.140.0.0/15
KW,149.146.0.0/15
KW,161.252.0.0/15
KW,168.186.0.0/15
KW,171.25.224.0/23
KW,176.98.32.0/21
KW,176.110.118.0/23
KW,178.52.0.0/15
KW,178.60.0.0/15
KW,178.161.0.0/16
KW,178.249.176.0/20
KW,185.1.128.0/23
KW,185.9.192.0/21
KW,185.16.0.0/21
KW,185.19.72.0/21
KW,185.33.120.0/21
KW,185.36.176.0/21
KW,185.41.216.0/21
KW,185.46.144.0/21
KW,185.48.184.0/21
KW,185.62.230.0/23
KW,185.64.200.0/21
KW,185.75.56.0/21
KW,185.95.0.0/21
KW,185.96.224.0/21
KW,185.132.200.0/21
KW,185.133.168.0/21
KW,185.142.104.0/21
KW,185.146.240.0/21
KW,185.147.24.0/21
KW,185.150.216.0/21
KW,185.166.88.0/21
KW,185.170.112.0/21
KW,185.173.40.0/21
KW,185.187.176.0/21
KW,185.192.232.0/21
KW,185.206.96.0/21
KW,185.211.104.0/21
KW,185.230.100.0/23
KW,185.249.158.0/23
KW,188.68.0.0/14
KW,188.236.0.0/15
KW,193.22.172.0/23
KW,193.32.224.0/21
KW,193.33.224.0/22
KW,193.42.222.0/23
KW,193.56.8.0/23
KW,193.105.56.0/23
KW,193.107.14.0/23
KW,193.108.30.0/23
KW,193.108.140.0/22
KW,193.109.214.0/23
KW,193.169.128.0/22
KW,193.188.32.0/19
KW,193.188.128.0/20
KW,193.188.128.0/18
KW,193.200.40.0/22
KW,194.31.56.0/23
KW,194.54.136.0/21
KW,194.54.128.0/17
KW,194.126.0.0/18
KW,194.176.108.0/23
KW,194.233.50.0/23
KW,195.14.108.0/22
KW,195.39.128.0/17
KW,195.78.72.0/22
KW,195.80.226.0/23
KW,195.88.220.0/22
KW,195.114.30.0/23
KW,195.137.174.0/23
KW,195.137.190.0/23
KW,195.226.192.0/18
KW,195.254.168.0/22
KW,196.1.68.0/23
KW,196.1.70.0/23
KW,212.6.36.0/23
KW,212.43.0.0/18
KW,213.34.192.0/18
KW,213.132.192.0/18
KW,213.189.64.0/18
KW,217.69.160.0/19
