country,cidr
KY,23.188.0.0/23
KY,45.144.200.0/21
KY,45.152.152.0/21
KY,63.136.112.0/20
KY,64.239.32.0/21
KY,64.239.112.0/21
KY,74.117.208.0/20
KY,74.222.64.0/18
KY,76.76.14.0/23
KY,138.43.114.0/23
KY,138.43.248.0/21
KY,148.51.0.0/16
KY,149.112.18.0/23
KY,157.207.32.0/21
KY,161.199.128.0/21
KY,162.211.136.0/21
KY,162.247.216.0/21
KY,162.249.128.0/20
KY,173.225.192.0/19
KY,185.158.248.0/21
KY,192.0.0.0/21
KY,192.160.250.0/23
KY,199.201.80.0/21
KY,207.211.224.0/20
KY,208.82.216.0/21
KY,208.157.144.0/20
KY,208.168.192.0/18
KY,209.27.48.0/21
KY,209.27.56.0/21
KY,216.25.40.0/21
KY,216.25.64.0/21
KY,216.144.64.0/19
