country,cidr
KZ,2.57.96.0/21
KZ,2.64.0.0/12
KZ,2.128.0.0/13
KZ,5.34.0.0/16
KZ,5.35.96.0/20
KZ,5.42.222.0/23
KZ,5.63.0.0/17
KZ,5.76.0.0/15
KZ,5.101.48.0/21
KZ,5.101.56.0/21
KZ,5.104.224.0/20
KZ,5.188.64.0/21
KZ,5.188.152.0/21
KZ,5.188.224.0/19
KZ,5.250.128.0/18
KZ,5.250.0.0/15
KZ,31.10.2.0/23
KZ,31.14.26.0/23
KZ,31.31.208.0/20
KZ,31.43.178.0/23
KZ,31.132.64.0/19
KZ,31.169.0.0/18
KZ,31.171.128.0/18
KZ,31.210.136.0/23
KZ,31.210.136.0/21
KZ,31.210.172.0/22
KZ,31.223.192.0/19
KZ,37.9.0.0/19
KZ,37.17.176.0/20
KZ,37.46.48.0/21
KZ,37.46.96.0/21
KZ,37.77.128.0/23
KZ,37.99.0.0/16
KZ,37.140.242.0/23
KZ,37.148.0.0/14
KZ,37.208.32.0/20
KZ,37.221.202.0/23
KZ,37.221.206.0/23
KZ,37.228.64.0/20
KZ,45.8.112.0/21
KZ,45.13.16.0/21
KZ,45.66.24.0/21
KZ,45.86.80.0/21
KZ,45.130.0.0/21
KZ,45.132.80.0/21
KZ,45.136.56.0/21
KZ,45.139.178.0/23
KZ,45.140.24.0/22
KZ,45.143.88.0/21
KZ,45.147.56.0/21
KZ,46.16.144.0/20
KZ,46.19.32.0/20
KZ,46.34.128.0/22
KZ,46.34.144.0/22
KZ,46.34.192.0/18
KZ,46.36.128.0/18
KZ,46.42.128.0/17
KZ,46.226.122.0/23
KZ,46.227.176.0/20
KZ,46.235.72.0/21
KZ,46.235.80.0/20
KZ,46.255.224.0/20
KZ,62.32.78.0/23
KZ,62.32.84.0/22
KZ,62.32.92.0/22
KZ,62.84.0.0/18
KZ,62.122.0.0/20
KZ,62.122.96.0/20
KZ,67.209.128.0/18
KZ,77.73.128.0/20
KZ,77.74.64.0/20
KZ,77.81.176.0/23
KZ,77.94.2.0/23
KZ,77.94.0.0/21
KZ,77.94.0.0/20
KZ,77.94.0.0/19
KZ,77.220.204.0/22
KZ,77.240.32.0/19
KZ,77.243.80.0/22
KZ,77.245.96.0/19
KZ,77.246.246.0/23
KZ,78.40.108.0/22
KZ,78.109.128.0/19
KZ,79.133.176.0/20
KZ,79.134.32.0/19
KZ,79.137.168.0/22
KZ,79.137.176.0/21
KZ,79.140.224.0/19
KZ,79.142.32.0/19
KZ,79.142.92.0/23
KZ,79.142.92.0/22
KZ,79.143.16.0/21
KZ,80.92.192.0/20
KZ,80.241.0.0/19
KZ,80.241.32.0/19
KZ,80.242.192.0/19
KZ,80.249.136.0/23
KZ,80.249.136.0/22
KZ,80.249.136.0/21
KZ,80.249.144.0/20
KZ,81.17.160.0/19
KZ,81.18.32.0/19
KZ,81.88.128.0/19
KZ,81.91.176.0/21
KZ,81.91.184.0/21
KZ,81.162.52.0/22
KZ,81.211.0.0/16
KZ,82.115.0.0/18
KZ,82.200.0.0/16
KZ,83.97.76.0/23
KZ,83.136.220.0/23
KZ,84.240.128.0/17
KZ,84.252.152.0/21
KZ,85.29.128.0/17
KZ,85.92.120.0/21
KZ,85.116.160.0/19
