country,cidr
LA,43.224.32.0/21
LA,43.228.80.0/21
LA,43.252.240.0/21
LA,101.78.0.0/20
LA,103.1.24.0/21
LA,103.1.232.0/21
LA,103.13.88.0/21
LA,103.26.102.0/23
LA,103.43.72.0/21
LA,103.59.48.0/21
LA,103.63.188.0/23
LA,103.66.236.0/22
LA,103.81.180.0/23
LA,103.82.56.0/21
LA,103.95.24.0/21
LA,103.109.112.0/21
LA,103.112.190.0/23
LA,103.114.144.0/22
LA,103.137.88.0/21
LA,103.138.142.0/23
LA,103.140.244.0/22
LA,103.145.48.0/23
LA,103.150.72.0/22
LA,103.151.76.0/22
LA,103.164.88.0/23
LA,103.174.8.0/22
LA,103.205.16.0/21
LA,103.228.100.0/23
LA,103.228.248.0/21
LA,103.232.80.0/21
LA,103.240.240.0/21
LA,103.245.164.0/23
LA,103.245.166.0/23
LA,114.129.16.0/20
LA,115.84.0.0/17
LA,139.5.152.0/21
LA,141.164.96.0/19
LA,157.15.124.0/22
LA,157.119.176.0/21
LA,160.22.40.0/22
LA,160.187.128.0/22
LA,160.191.176.0/22
LA,160.250.220.0/22
LA,161.248.192.0/22
LA,180.131.144.0/21
LA,183.182.64.0/18
LA,185.19.104.0/21
LA,185.126.144.0/21
LA,185.129.136.0/21
LA,202.9.76.0/22
LA,202.62.96.0/19
LA,202.123.176.0/20
LA,202.136.240.0/20
LA,202.137.128.0/18
LA,202.144.176.0/20
LA,203.19.4.0/23
LA,203.76.248.0/21
LA,203.110.64.0/19
