country,cidr
LB,5.8.128.0/18
LB,5.45.184.0/21
LB,5.57.0.0/20
LB,5.100.240.0/21
LB,31.170.96.0/21
LB,37.209.240.0/20
LB,45.84.36.0/22
LB,45.94.48.0/21
LB,45.129.136.0/21
LB,45.131.16.0/21
LB,45.142.80.0/21
LB,45.142.136.0/21
LB,45.145.56.0/21
LB,45.155.128.0/21
LB,45.159.184.0/21
LB,46.19.192.0/20
LB,46.227.240.0/20
LB,62.84.64.0/18
LB,77.42.0.0/16
LB,77.74.202.0/23
LB,77.75.80.0/20
LB,77.235.128.0/18
LB,77.246.64.0/19
LB,78.40.176.0/20
LB,78.108.160.0/19
LB,80.77.160.0/19
LB,80.79.128.0/19
LB,80.81.128.0/19
LB,80.83.0.0/19
LB,82.112.160.0/20
LB,82.146.128.0/18
LB,83.171.192.0/21
LB,85.112.64.0/18
LB,85.202.88.0/21
LB,85.208.200.0/21
LB,88.218.136.0/21
LB,89.40.28.0/23
LB,89.108.128.0/17
LB,89.187.208.0/20
LB,89.249.192.0/19
LB,91.92.114.0/23
LB,91.151.224.0/19
LB,91.188.208.0/21
LB,91.192.176.0/21
LB,91.197.44.0/22
LB,91.199.38.0/23
LB,91.208.96.0/23
LB,91.212.0.0/23
LB,91.223.214.0/23
LB,91.232.100.0/22
LB,91.236.236.0/23
LB,91.240.80.0/21
LB,91.245.248.0/21
LB,92.62.160.0/19
LB,92.118.16.0/21
LB,92.242.168.0/21
LB,93.126.0.0/16
LB,93.185.64.0/19
LB,93.185.224.0/19
LB,93.187.64.0/23
LB,94.156.74.0/23
LB,94.187.0.0/16
LB,94.231.192.0/23
LB,95.141.32.0/19
LB,95.214.208.0/21
LB,109.75.64.0/19
LB,109.110.64.0/18
LB,109.233.16.0/20
LB,141.105.64.0/19
LB,141.138.160.0/19
LB,146.185.32.0/20
LB,147.78.40.0/21
LB,149.3.144.0/20
LB,160.238.120.0/21
LB,176.119.208.0/23
LB,178.134.0.0/15
LB,185.1.108.0/23
LB,185.3.16.0/21
LB,185.4.248.0/21
LB,185.6.144.0/21
LB,185.7.128.0/21
LB,185.12.216.0/21
LB,185.16.248.0/23
LB,185.22.32.0/21
LB,185.26.84.0/23
LB,185.30.32.0/21
LB,185.37.232.0/21
LB,185.38.24.0/21
LB,185.40.208.0/21
LB,185.44.152.0/21
LB,185.54.56.0/21
LB,185.54.96.0/21
LB,185.58.200.0/21
LB,185.61.48.0/21
LB,185.70.224.0/21
LB,185.72.216.0/21
LB,185.76.176.0/21
LB,185.80.40.0/21
LB,185.81.136.0/21
LB,185.82.32.0/21
LB,185.82.96.0/21
LB,185.83.86.0/23
LB,185.84.104.0/21
LB,185.86.160.0/21
LB,185.87.168.0/21
LB,185.89.80.0/21
LB,185.90.168.0/21
LB,185.91.96.0/21
LB,185.95.248.0/21
LB,185.97.48.0/21
LB,185.97.88.0/21
LB,185.97.104.0/21
LB,185.98.200.0/21
LB,185.99.16.0/22
LB,185.99.32.0/21
LB,185.99.216.0/21
LB,185.100.200.0/21
LB,185.100.216.0/21
LB,185.101.16.0/21
LB,185.103.8.0/21
LB,185.103.16.0/21
LB,185.103.88.0/21
LB,185.104.64.0/21
LB,185.104.240.0/21
LB,185.104.248.0/21
LB,185.107.48.0/21
LB,185.111.0.0/21
LB,185.111.160.0/21
LB,185.114.88.0/21
LB,185.114.248.0/21
LB,185.115.96.0/21
LB,185.118.24.0/21
LB,185.118.216.0/21
LB,185.120.24.0/21
LB,185.122.88.0/21
LB,185.124.208.0/21
LB,185.124.240.0/21
LB,185.125.144.0/21
LB,185.125.144.0/20
LB,185.126.44.0/22
LB,185.127.120.0/21
LB,185.127.176.0/21
LB,185.127.184.0/21
LB,185.128.124.0/22
LB,185.130.136.0/21
LB,185.131.32.0/21
LB,185.132.144.0/21
LB,185.134.176.0/21
LB,185.139.8.0/21
LB,185.142.32.0/21
LB,185.142.40.0/21
LB,185.144.40.0/21
LB,185.153.80.0/21
LB,185.156.208.0/21
LB,185.160.224.0/21
LB,185.164.72.0/21
LB,185.164.104.0/21
LB,185.169.6.0/23
LB,185.171.104.0/21
LB,185.173.56.0/21
LB,185.174.240.0/21
LB,185.176.144.0/21
LB,185.176.208.0/21
LB,185.177.210.0/23
LB,185.182.112.0/21
LB,185.184.80.0/21
LB,185.185.176.0/21
LB,185.187.88.0/21
LB,185.187.128.0/21
LB,185.189.88.0/21
LB,185.190.24.0/21
LB,185.192.48.0/21
LB,185.192.160.0/21
LB,185.194.152.0/21
LB,185.204.48.0/21
LB,185.206.200.0/21
LB,185.212.216.0/21
LB,185.214.64.0/23
LB,185.217.80.0/21
LB,185.217.184.0/21
LB,185.219.184.0/21
LB,185.220.120.0/21
LB,185.220.136.0/21
LB,185.222.48.0/21
LB,185.236.200.0/21
LB,185.242.36.0/22
LB,185.243.208.0/21
LB,185.248.224.0/22
LB,185.249.104.0/21
LB,185.252.96.0/21
LB,185.254.32.0/22
LB,185.254.34.0/23
LB,185.255.216.0/21
LB,188.66.48.0/21
LB,193.27.232.0/21
LB,193.30.96.0/21
LB,193.84.112.0/22
LB,193.84.116.0/22
LB,193.163.76.0/23
LB,193.187.54.0/23
LB,193.188.128.0/21
LB,193.188.132.0/22
LB,193.227.128.0/18
LB,194.55.186.0/23
LB,194.126.0.0/18
LB,194.126.128.0/20
LB,194.146.32.0/21
LB,194.146.152.0/21
LB,194.147.120.0/21
LB,194.246.88.0/21
LB,195.5.172.0/23
LB,195.88.18.0/23
LB,195.112.192.0/18
LB,212.28.192.0/18
LB,212.30.0.0/18
LB,212.36.192.0/18
LB,212.40.128.0/18
LB,212.81.48.0/21
LB,212.98.128.0/18
LB,212.101.192.0/18
LB,213.175.128.0/18
LB,213.204.0.0/17
LB,217.150.80.0/20
