country,cidr
LI,5.34.240.0/20
LI,31.10.0.0/19
LI,45.80.174.0/23
LI,45.81.8.0/21
LI,45.90.8.0/21
LI,46.18.110.0/23
LI,80.66.224.0/19
LI,80.72.32.0/19
LI,80.76.0.0/20
LI,80.241.96.0/19
LI,80.248.192.0/19
LI,81.161.56.0/22
LI,82.117.0.0/18
LI,85.31.144.0/20
LI,88.82.64.0/18
LI,89.248.128.0/19
LI,91.207.128.0/22
LI,91.217.206.0/23
LI,91.232.228.0/23
LI,149.255.176.0/20
LI,176.119.216.0/23
LI,185.19.34.0/23
LI,185.27.64.0/21
LI,185.34.144.0/21
LI,185.44.152.0/21
LI,185.70.80.0/21
LI,185.73.152.0/21
LI,185.77.40.0/21
LI,185.77.48.0/21
LI,185.101.8.0/21
LI,185.101.48.0/21
LI,185.112.48.0/21
LI,185.117.160.0/21
LI,185.170.208.0/20
LI,185.174.32.0/21
LI,185.197.180.0/23
LI,185.208.120.0/21
LI,185.236.216.0/21
LI,185.246.232.0/21
LI,185.251.160.0/21
LI,185.251.184.0/21
LI,188.240.40.0/22
LI,193.5.24.0/22
LI,193.17.78.0/23
LI,193.32.84.0/23
LI,193.168.168.0/21
LI,193.200.236.0/23
LI,193.202.224.0/19
LI,193.222.96.0/19
LI,194.11.202.0/23
LI,194.56.144.0/21
LI,194.124.184.0/21
LI,194.147.68.0/22
LI,194.147.192.0/20
LI,195.211.32.0/21
LI,195.225.200.0/21
LI,195.242.248.0/21
LI,195.245.218.0/23
LI,195.254.128.0/22
LI,212.77.0.0/18
LI,217.173.224.0/19
