country,cidr
LK,43.224.120.0/21
LK,43.228.104.0/21
LK,43.250.240.0/21
LK,43.252.8.0/21
LK,45.121.88.0/21
LK,61.245.160.0/19
LK,101.2.160.0/19
LK,103.1.176.0/21
LK,103.2.144.0/21
LK,103.2.152.0/21
LK,103.11.32.0/21
LK,103.21.160.0/21
LK,103.77.64.0/21
LK,103.84.160.0/21
LK,103.87.8.0/21
LK,103.87.120.0/21
LK,103.96.224.0/22
LK,103.99.100.0/23
LK,103.138.180.0/23
LK,103.140.192.0/22
LK,103.142.50.0/23
LK,103.144.60.0/23
LK,103.210.128.0/22
LK,103.227.240.0/21
LK,103.230.176.0/23
LK,103.241.26.0/23
LK,103.247.48.0/21
LK,111.223.128.0/17
LK,112.132.0.0/14
LK,113.59.192.0/18
LK,116.12.0.0/17
LK,116.204.208.0/21
LK,116.206.16.0/21
LK,116.206.176.0/21
LK,116.206.240.0/21
LK,119.235.0.0/20
LK,119.235.12.0/23
LK,119.235.12.0/22
LK,122.255.0.0/17
LK,123.231.0.0/16
LK,124.6.224.0/19
LK,124.42.0.0/15
LK,125.214.128.0/18
LK,157.10.164.0/23
LK,160.30.6.0/23
LK,175.156.0.0/15
LK,182.161.0.0/18
LK,192.248.0.0/16
LK,194.140.192.0/20
LK,202.69.192.0/19
LK,202.124.128.0/18
LK,202.129.232.0/21
LK,203.34.116.0/23
LK,203.81.96.0/19
LK,203.94.0.0/17
LK,203.96.160.0/21
LK,203.115.0.0/17
LK,203.143.0.0/17
LK,203.153.216.0/21
LK,203.189.64.0/19
LK,203.189.176.0/20
LK,212.104.224.0/19
LK,218.100.56.0/23
LK,218.100.60.0/23
LK,220.247.128.0/17
LK,222.165.128.0/17
LK,223.224.0.0/18
