country,cidr
LU,2.56.104.0/21
LU,2.56.216.0/21
LU,2.57.168.0/21
LU,5.8.24.0/21
LU,5.8.32.0/21
LU,5.8.40.0/22
LU,5.8.68.0/23
LU,5.8.68.0/22
LU,5.8.88.0/21
LU,5.45.184.0/21
LU,5.63.128.0/20
LU,5.101.216.0/22
LU,5.101.218.0/23
LU,5.101.216.0/21
LU,5.149.112.0/20
LU,5.159.208.0/20
LU,5.180.160.0/21
LU,5.181.24.0/21
LU,5.181.72.0/21
LU,5.188.0.0/22
LU,5.188.4.0/22
LU,5.188.32.0/22
LU,5.188.36.0/23
LU,5.188.68.0/22
LU,5.188.88.0/21
LU,5.188.104.0/21
LU,5.188.120.0/23
LU,5.188.120.0/22
LU,5.188.120.0/21
LU,5.188.128.0/21
LU,5.188.148.0/23
LU,5.188.150.0/23
LU,5.188.168.0/22
LU,5.188.184.0/21
LU,5.188.212.0/23
LU,5.188.212.0/22
LU,5.188.224.0/23
LU,5.188.224.0/22
LU,5.188.228.0/23
LU,5.188.228.0/22
LU,5.188.236.0/22
LU,5.189.200.0/23
LU,5.189.200.0/22
LU,5.189.204.0/23
LU,5.189.204.0/22
LU,5.189.220.0/22
LU,5.252.24.0/21
LU,31.13.212.0/23
LU,31.22.112.0/20
LU,31.172.144.0/20
LU,31.184.204.0/22
LU,31.184.240.0/21
LU,31.204.80.0/20
LU,31.216.144.0/20
LU,31.223.184.0/23
LU,37.9.32.0/21
LU,37.61.224.0/23
LU,37.61.228.0/23
LU,37.61.230.0/23
LU,37.140.192.0/20
LU,37.157.144.0/20
LU,45.10.56.0/22
LU,45.65.8.0/21
LU,45.67.208.0/21
LU,45.80.208.0/20
LU,45.82.28.0/22
LU,45.82.96.0/21
LU,45.82.160.0/21
LU,45.92.68.0/22
LU,45.92.128.0/21
LU,45.135.224.0/21
LU,45.145.36.0/23
LU,45.146.96.0/21
LU,45.147.160.0/22
LU,45.158.136.0/21
LU,46.29.176.0/20
LU,62.62.0.0/16
LU,62.112.208.0/20
LU,62.182.176.0/20
LU,62.233.40.0/23
LU,64.187.108.0/23
LU,78.31.0.0/20
LU,78.111.98.0/23
LU,78.111.96.0/21
LU,78.111.104.0/22
LU,78.111.106.0/23
LU,78.111.108.0/22
LU,78.111.128.0/19
LU,78.138.52.0/23
LU,78.141.128.0/17
LU,79.133.104.0/21
LU,79.133.120.0/21
LU,79.141.0.0/19
LU,80.64.128.0/19
LU,80.68.156.0/23
LU,80.90.0.0/18
LU,80.92.64.0/18
LU,80.93.208.0/23
LU,80.93.208.0/22
LU,80.93.212.0/22
LU,80.93.216.0/23
LU,80.93.216.0/22
LU,80.93.220.0/23
LU,80.93.220.0/22
LU,80.240.96.0/22
LU,80.240.100.0/23
LU,80.240.104.0/22
LU,80.240.112.0/21
LU,80.240.124.0/23
LU,80.246.96.0/19
LU,80.247.128.0/18
LU,80.255.160.0/19
LU,81.25.128.0/19
LU,81.28.8.0/21
LU,81.92.224.0/19
LU,82.97.202.0/23
LU,82.97.204.0/23
LU,82.97.206.0/23
LU,82.117.224.0/21
LU,82.117.240.0/23
LU,83.99.0.0/16
LU,83.171.216.0/21
LU,83.222.0.0/18
LU,83.229.4.0/23
LU,83.229.6.0/23
LU,83.229.14.0/23
LU,83.229.32.0/23
LU,83.243.0.0/20
LU,85.90.192.0/22
LU,85.90.200.0/21
LU,85.90.212.0/23
LU,85.90.214.0/23
