country,cidr
LY,5.63.0.0/20
LY,41.74.64.0/19
LY,41.208.0.0/17
LY,41.242.0.0/19
LY,41.248.0.0/13
LY,62.68.0.0/18
LY,62.240.0.0/18
LY,102.23.216.0/21
LY,102.38.0.0/18
LY,102.68.128.0/20
LY,102.69.0.0/16
LY,102.164.96.0/20
LY,102.206.104.0/21
LY,102.206.248.0/21
LY,102.207.48.0/21
LY,102.207.56.0/21
LY,102.207.128.0/21
LY,102.208.48.0/21
LY,102.208.56.0/21
LY,102.209.0.0/21
LY,102.209.32.0/21
LY,102.209.64.0/21
LY,102.209.112.0/21
LY,102.209.168.0/21
LY,102.209.248.0/21
LY,102.211.0.0/21
LY,102.211.144.0/21
LY,102.211.168.0/21
LY,102.212.136.0/21
LY,102.213.40.0/21
LY,102.213.176.0/21
LY,102.213.184.0/21
LY,102.213.224.0/21
LY,102.214.104.0/21
LY,102.214.160.0/21
LY,102.215.192.0/21
LY,102.216.136.0/21
LY,102.218.168.0/21
LY,102.218.192.0/21
LY,102.219.226.0/23
LY,102.220.136.0/21
LY,102.221.8.0/21
LY,102.221.56.0/21
LY,102.221.224.0/21
LY,102.222.252.0/22
LY,102.223.152.0/21
LY,154.73.24.0/21
LY,154.73.48.0/21
LY,154.73.104.0/21
LY,154.73.128.0/20
LY,154.127.64.0/19
LY,156.38.0.0/18
LY,160.19.96.0/20
LY,164.160.144.0/21
LY,165.16.0.0/16
LY,169.239.88.0/21
LY,169.239.112.0/21
LY,185.10.240.0/21
LY,195.234.120.0/21
LY,196.60.90.0/23
LY,196.60.110.0/23
LY,197.215.128.0/18
LY,197.231.224.0/21
