country,cidr
MA,41.77.112.0/20
MA,41.87.128.0/18
MA,41.92.0.0/16
MA,41.136.0.0/15
MA,41.136.0.0/13
MA,41.205.192.0/18
MA,41.214.0.0/16
MA,41.216.224.0/21
MA,41.248.0.0/13
MA,45.216.0.0/13
MA,62.251.0.0/16
MA,80.250.32.0/19
MA,81.192.0.0/15
MA,102.48.0.0/12
MA,102.64.4.0/22
MA,102.67.144.0/21
MA,102.68.8.0/21
MA,102.64.0.0/12
MA,102.96.0.0/12
MA,102.135.248.0/21
MA,102.165.188.0/23
MA,102.207.32.0/21
MA,102.208.96.0/21
MA,102.208.144.0/22
MA,102.210.88.0/21
MA,102.210.208.0/21
MA,102.212.204.0/23
MA,102.216.8.0/21
MA,102.216.118.0/23
MA,102.218.130.0/23
MA,102.220.124.0/23
MA,102.222.176.0/21
MA,102.222.208.0/21
MA,105.64.0.0/11
MA,105.128.0.0/10
MA,105.184.0.0/13
MA,154.70.192.0/20
MA,154.144.0.0/12
MA,160.76.0.0/15
MA,160.88.0.0/15
MA,160.90.0.0/15
MA,160.104.0.0/15
MA,160.160.0.0/11
MA,169.255.176.0/21
MA,192.12.116.0/23
MA,193.194.0.0/18
MA,194.204.128.0/17
MA,196.2.64.0/19
MA,196.11.102.0/23
MA,196.12.128.0/17
MA,196.13.108.0/23
MA,196.32.208.0/20
MA,196.43.236.0/23
MA,196.49.102.0/23
MA,196.49.104.0/23
MA,196.60.74.0/23
MA,196.60.126.0/23
MA,196.61.224.0/20
MA,196.64.0.0/10
MA,196.96.0.0/11
MA,196.200.128.0/17
MA,196.200.224.0/19
MA,196.206.0.0/15
MA,196.216.0.0/15
MA,196.223.160.0/19
MA,197.128.0.0/13
MA,197.144.0.0/13
MA,197.152.0.0/15
MA,197.230.0.0/15
MA,197.246.0.0/15
MA,197.253.0.0/16
MA,212.217.0.0/16
