country,cidr
MD,2.57.152.0/21
MD,2.59.200.0/21
MD,5.32.160.0/20
MD,5.56.0.0/17
MD,5.63.18.0/23
MD,5.180.0.0/21
MD,5.181.152.0/21
MD,5.182.24.0/21
MD,5.252.176.0/21
MD,5.253.224.0/21
MD,31.31.0.0/18
MD,31.131.0.0/20
MD,31.210.168.0/23
MD,31.222.238.0/23
MD,37.26.128.0/19
MD,37.34.64.0/18
MD,37.75.0.0/19
MD,37.75.0.0/17
MD,37.77.144.0/23
MD,37.221.120.0/21
MD,37.233.0.0/17
MD,45.15.224.0/21
MD,45.15.240.0/21
MD,45.67.112.0/21
MD,45.67.192.0/21
MD,45.67.224.0/21
MD,45.81.248.0/21
MD,45.83.176.0/21
MD,45.86.16.0/20
MD,45.88.120.0/21
MD,45.91.80.0/21
MD,45.95.10.0/23
MD,45.120.176.0/21
MD,45.128.16.0/21
MD,45.137.224.0/21
MD,45.144.32.0/21
MD,45.145.176.0/21
MD,45.150.40.0/21
MD,45.150.168.0/21
MD,45.151.192.0/21
MD,46.55.0.0/16
MD,46.166.0.0/17
MD,62.3.12.0/23
MD,62.68.72.0/23
MD,62.106.82.0/23
MD,62.221.0.0/17
MD,74.119.192.0/21
MD,77.75.230.0/23
MD,77.81.96.0/23
MD,77.89.128.0/17
MD,77.235.64.0/18
MD,77.246.242.0/23
MD,79.140.160.0/19
MD,79.170.224.0/20
MD,80.71.156.0/23
MD,80.92.204.0/22
MD,80.94.80.0/22
MD,80.94.224.0/19
MD,80.245.64.0/19
MD,81.31.128.0/19
MD,83.143.64.0/21
MD,83.218.192.0/18
MD,84.234.32.0/19
MD,84.246.84.0/23
MD,85.204.176.0/20
MD,86.104.18.0/23
MD,86.104.72.0/21
MD,86.104.192.0/21
MD,86.105.48.0/20
MD,86.105.80.0/20
MD,86.105.168.0/21
MD,86.105.208.0/21
MD,86.106.144.0/20
MD,86.106.192.0/19
MD,86.106.192.0/18
MD,86.107.64.0/21
MD,86.107.160.0/20
MD,87.236.146.0/23
MD,87.248.128.0/18
MD,87.255.64.0/18
MD,89.28.0.0/16
MD,89.32.48.0/20
MD,89.32.126.0/23
MD,89.32.128.0/20
MD,89.32.168.0/21
MD,89.32.224.0/19
MD,89.32.248.0/21
MD,89.33.134.0/23
MD,89.34.64.0/20
MD,89.34.112.0/20
MD,89.34.192.0/20
MD,89.34.200.0/21
MD,89.34.232.0/21
MD,89.35.0.0/20
MD,89.35.32.0/20
MD,89.35.80.0/21
MD,89.35.200.0/21
MD,89.36.152.0/21
MD,89.37.40.0/21
MD,89.37.104.0/23
MD,89.38.32.0/21
MD,89.38.64.0/21
MD,89.38.72.0/21
MD,89.39.72.0/21
MD,89.39.80.0/21
MD,89.39.96.0/20
MD,89.39.112.0/20
MD,89.39.242.0/23
MD,89.40.160.0/23
MD,89.40.224.0/21
MD,89.41.0.0/17
MD,89.42.64.0/21
MD,89.42.64.0/20
MD,89.42.104.0/21
MD,89.42.128.0/21
MD,89.42.176.0/21
MD,89.42.224.0/21
MD,89.43.128.0/21
MD,89.43.168.0/21
MD,89.44.152.0/21
MD,89.45.0.0/21
MD,89.45.40.0/21
MD,89.46.160.0/21
MD,89.149.0.0/17
MD,89.187.0.0/18
MD,89.221.224.0/22
MD,91.90.192.0/20
MD,91.107.64.0/20
MD,91.107.80.0/20
MD,91.132.128.0/21
MD,91.132.136.0/21
MD,91.132.208.0/21
MD,91.194.160.0/22
MD,91.198.236.0/23
MD,91.201.106.0/23
MD,91.208.162.0/23
MD,91.208.184.0/23
MD,91.208.196.0/23
MD,91.208.206.0/23
MD,91.209.66.0/23
MD,91.211.48.0/21
MD,91.211.200.0/22
MD,91.213.180.0/23
MD,91.216.20.0/23
MD,91.216.46.0/23
MD,91.216.96.0/23
MD,91.216.166.0/23
MD,91.220.94.0/23
MD,91.220.144.0/23
MD,91.220.206.0/23
MD,91.225.216.0/23
MD,91.225.216.0/22
MD,91.227.120.0/23
MD,91.227.184.0/23
MD,91.228.104.0/21
MD,91.230.214.0/23
MD,91.238.8.0/21
MD,91.238.92.0/22
MD,91.239.8.0/21
MD,91.242.0.0/17
MD,91.242.228.0/23
MD,91.250.244.0/23
MD,92.43.164.0/22
MD,92.51.48.0/20
MD,92.114.0.0/16
MD,92.114.0.0/15
MD,92.118.108.0/23
MD,92.249.24.0/23
MD,93.113.64.0/20
MD,93.113.80.0/20
MD,93.113.88.0/21
MD,93.113.112.0/20
MD,93.113.158.0/23
MD,93.113.240.0/21
MD,93.115.128.0/20
MD,93.116.0.0/15
MD,93.117.32.0/19
MD,93.117.64.0/21
MD,93.117.64.0/20
MD,93.117.128.0/20
MD,93.117.136.0/21
MD,93.117.144.0/20
MD,93.117.152.0/21
MD,93.117.160.0/20
MD,93.118.176.0/21
MD,93.118.184.0/21
MD,93.119.96.0/20
MD,93.119.104.0/21
MD,93.119.128.0/20
MD,93.119.136.0/21
MD,93.119.144.0/20
MD,93.119.160.0/20
MD,93.119.192.0/21
MD,93.119.192.0/20
MD,93.119.224.0/21
MD,93.119.224.0/20
MD,94.103.0.0/21
MD,94.131.0.0/22
MD,94.131.0.0/20
MD,94.131.20.0/23
MD,94.131.96.0/19
MD,94.139.128.0/18
MD,94.158.240.0/21
MD,94.176.64.0/19
MD,94.231.198.0/23
MD,94.232.30.0/23
MD,94.232.240.0/21
MD,94.243.0.0/17
MD,95.65.0.0/16
MD,95.128.152.0/23
MD,95.141.250.0/23
MD,95.153.0.0/17
MD,95.214.152.0/21
MD,103.35.184.0/21
MD,103.106.0.0/21
MD,103.113.64.0/21
MD,103.197.144.0/21
MD,103.231.72.0/21
MD,109.107.146.0/23
MD,109.184.0.0/15
MD,109.205.190.0/23
MD,109.233.192.0/20
MD,130.193.2.0/23
MD,146.19.50.0/23
MD,146.19.74.0/23
MD,146.19.142.0/23
MD,146.19.170.0/23
MD,146.19.228.0/23
MD,147.78.16.0/21
MD,149.3.176.0/20
MD,149.154.184.0/21
MD,159.253.120.0/21
MD,171.22.48.0/21
MD,176.120.64.0/21
MD,176.120.72.0/21
MD,176.123.0.0/20
MD,176.126.112.0/23
MD,176.126.222.0/23
MD,178.17.160.0/19
MD,178.18.32.0/19
MD,178.23.190.0/23
MD,178.76.0.0/17
MD,178.132.96.0/19
MD,178.132.128.0/17
MD,178.168.0.0/16
MD,178.175.128.0/18
MD,185.1.44.0/23
MD,185.1.78.0/23
MD,185.1.218.0/23
MD,185.8.64.0/21
MD,185.10.16.0/21
MD,185.17.224.0/21
MD,185.28.104.0/21
MD,185.32.0.0/21
MD,185.33.104.0/21
MD,185.40.104.0/23
MD,185.46.56.0/21
MD,185.50.0.0/21
MD,185.51.120.0/23
MD,185.53.46.0/23
MD,185.57.40.0/21
MD,185.64.232.0/21
MD,185.69.16.0/21
MD,185.70.184.0/21
MD,185.79.40.0/21
MD,185.91.128.0/21
MD,185.93.172.0/23
MD,185.96.176.0/21
MD,185.108.32.0/21
MD,185.108.136.0/21
MD,185.108.144.0/21
MD,185.108.152.0/21
MD,185.108.176.0/21
MD,185.115.88.0/21
MD,185.119.196.0/23
MD,185.138.164.0/23
MD,185.147.48.0/21
MD,185.161.216.0/21
MD,185.162.128.0/21
MD,185.162.136.0/21
MD,185.163.40.0/21
MD,185.163.192.0/21
MD,185.164.0.0/21
MD,185.164.48.0/21
MD,185.164.80.0/21
MD,185.167.56.0/21
MD,185.167.128.0/21
MD,185.170.184.0/21
MD,185.171.16.0/21
MD,185.171.64.0/21
MD,185.172.24.0/21
MD,185.172.32.0/21
MD,185.175.80.0/21
MD,185.180.144.0/23
MD,185.181.40.0/21
MD,185.181.48.0/21
MD,185.181.224.0/21
MD,185.195.184.0/21
MD,185.198.40.0/21
MD,185.212.8.0/21
MD,185.212.136.0/21
MD,185.214.166.0/23
MD,185.216.12.0/23
MD,185.218.2.0/23
MD,185.218.184.0/23
MD,185.223.168.0/21
MD,185.225.16.0/21
MD,185.233.32.0/23
MD,185.234.56.0/21
MD,185.234.64.0/21
MD,185.235.240.0/21
MD,185.236.232.0/21
MD,185.237.216.0/21
MD,185.242.80.0/21
MD,185.250.144.0/21
MD,185.252.192.0/23
MD,185.252.214.0/23
MD,185.253.2.0/23
MD,185.255.96.0/22
MD,188.0.224.0/19
MD,188.131.0.0/16
MD,188.138.0.0/16
MD,188.191.208.0/20
MD,188.208.96.0/21
MD,188.208.104.0/21
MD,188.208.112.0/21
MD,188.208.112.0/20
MD,188.208.192.0/21
MD,188.208.200.0/21
MD,188.209.208.0/20
MD,188.210.240.0/20
MD,188.212.0.0/21
MD,188.212.0.0/20
MD,188.212.16.0/20
MD,188.212.32.0/20
MD,188.213.32.0/21
MD,188.213.48.0/21
MD,188.213.216.0/21
MD,188.213.232.0/21
MD,188.213.240.0/21
MD,188.214.56.0/21
MD,188.214.136.0/21
MD,188.214.144.0/21
MD,188.214.192.0/20
MD,188.214.224.0/21
MD,188.215.232.0/21
MD,188.215.248.0/21
MD,188.236.0.0/15
MD,188.244.0.0/19
MD,193.16.110.0/23
MD,193.17.78.0/23
MD,193.30.30.0/23
MD,193.31.104.0/21
MD,193.33.92.0/22
MD,193.36.38.0/23
MD,193.37.200.0/21
MD,193.57.48.0/21
MD,193.84.26.0/23
MD,193.107.96.0/21
MD,193.109.82.0/23
MD,193.163.100.0/23
MD,193.169.174.0/23
MD,193.200.160.0/23
MD,193.203.126.0/23
MD,193.203.200.0/22
MD,193.221.210.0/23
MD,193.239.180.0/22
MD,193.242.144.0/23
MD,193.243.132.0/22
MD,194.15.46.0/23
MD,194.26.218.0/23
MD,194.28.72.0/21
MD,194.28.112.0/21
MD,194.31.42.0/23
MD,194.33.40.0/21
MD,194.35.48.0/21
MD,194.50.184.0/22
MD,194.50.188.0/22
MD,194.50.200.0/22
MD,194.50.204.0/22
MD,194.54.152.0/21
MD,194.59.246.0/23
MD,194.62.42.0/23
MD,194.104.136.0/23
MD,194.114.144.0/23
MD,194.143.128.0/22
MD,194.165.38.0/23
MD,194.165.58.0/23
MD,194.180.156.0/23
MD,194.180.158.0/23
MD,194.180.174.0/23
MD,194.180.190.0/23
MD,194.180.238.0/23
MD,194.180.250.0/23
MD,194.213.8.0/23
MD,194.242.20.0/22
MD,194.246.112.0/22
MD,194.247.52.0/23
MD,194.247.164.0/22
MD,195.14.98.0/23
MD,195.22.192.0/18
MD,195.42.232.0/21
MD,195.74.86.0/23
MD,195.85.250.0/23
MD,195.88.144.0/22
MD,195.93.216.0/22
MD,195.138.64.0/18
MD,195.149.86.0/23
MD,195.178.106.0/23
MD,195.211.48.0/23
