country,cidr
ME,31.204.128.0/17
ME,37.0.64.0/20
ME,37.122.128.0/18
ME,46.33.192.0/18
ME,46.161.0.0/17
ME,62.4.0.0/18
ME,77.91.64.0/19
ME,77.91.64.0/18
ME,77.222.0.0/18
ME,78.155.0.0/18
ME,79.140.128.0/19
ME,79.143.96.0/19
ME,81.28.248.0/21
ME,84.54.44.0/23
ME,85.94.64.0/18
ME,89.188.0.0/18
ME,91.217.138.0/23
ME,91.220.186.0/23
ME,92.42.96.0/23
ME,94.102.224.0/19
ME,94.141.120.0/21
ME,95.155.0.0/17
ME,109.72.96.0/19
ME,109.228.0.0/17
ME,185.1.44.0/23
ME,185.12.40.0/21
ME,185.38.184.0/21
ME,185.40.184.0/21
ME,185.42.162.0/23
ME,185.64.0.0/21
ME,185.68.48.0/21
ME,185.80.96.0/21
ME,185.132.160.0/21
ME,185.147.200.0/21
ME,185.149.144.0/21
ME,185.157.120.0/23
ME,185.163.224.0/21
ME,185.179.48.0/21
ME,185.179.88.0/21
ME,185.215.88.0/21
ME,185.255.224.0/21
ME,193.32.112.0/21
ME,195.10.204.0/23
ME,195.66.128.0/18
ME,195.140.160.0/21
ME,195.242.168.0/23
ME,213.133.0.0/18
ME,213.149.64.0/18
ME,213.196.64.0/18
