country,cidr
MK,5.32.176.0/20
MK,31.3.80.0/20
MK,31.7.160.0/20
MK,31.11.0.0/17
MK,31.12.0.0/19
MK,37.25.80.0/20
MK,37.26.96.0/20
MK,46.29.160.0/20
MK,46.216.0.0/15
MK,62.77.128.0/20
MK,62.162.0.0/15
MK,62.220.192.0/18
MK,77.28.0.0/14
MK,78.40.0.0/20
MK,78.157.0.0/18
MK,79.99.48.0/20
MK,79.125.0.0/16
MK,79.126.0.0/16
MK,79.141.96.0/19
MK,80.77.128.0/19
MK,85.30.0.0/17
MK,88.85.64.0/18
MK,89.31.144.0/20
MK,89.185.192.0/18
MK,89.205.0.0/16
MK,91.192.226.0/23
MK,91.199.230.0/23
MK,91.220.94.0/23
MK,91.226.20.0/22
MK,91.230.218.0/23
MK,91.234.160.0/23
MK,92.53.0.0/17
MK,92.55.0.0/17
MK,93.95.64.0/20
MK,94.100.96.0/19
MK,95.86.0.0/21
MK,95.86.8.0/21
MK,95.86.0.0/19
MK,95.86.40.0/21
MK,95.86.56.0/21
MK,95.128.176.0/20
MK,95.156.0.0/17
MK,95.180.0.0/16
MK,109.69.32.0/20
MK,141.136.0.0/20
MK,146.255.64.0/18
MK,151.236.224.0/19
MK,164.40.240.0/20
MK,178.249.112.0/20
MK,185.1.120.0/23
MK,185.2.184.0/21
MK,185.5.0.0/21
MK,185.6.16.0/21
MK,185.13.232.0/21
MK,185.14.200.0/21
MK,185.42.32.0/21
MK,185.47.56.0/21
MK,185.56.248.0/21
MK,185.64.80.0/21
MK,185.80.160.0/21
MK,185.83.64.0/21
MK,185.83.248.0/21
MK,185.86.232.0/21
MK,185.89.240.0/21
MK,185.100.240.0/21
MK,185.107.216.0/21
MK,185.112.248.0/23
MK,185.130.128.0/21
MK,185.153.48.0/21
MK,185.162.192.0/21
MK,185.167.40.0/21
MK,185.177.8.0/21
MK,185.183.248.0/21
MK,185.193.240.0/23
MK,185.197.0.0/21
MK,185.204.56.0/21
MK,185.225.24.0/21
MK,185.226.0.0/21
MK,185.229.24.0/21
MK,185.229.72.0/21
MK,185.230.56.0/21
MK,185.230.248.0/21
MK,185.231.152.0/21
MK,185.232.120.0/21
MK,185.233.208.0/21
MK,185.235.204.0/23
MK,185.244.240.0/21
MK,185.250.248.0/21
MK,185.252.184.0/21
MK,188.44.0.0/18
MK,193.36.90.0/23
MK,194.61.58.0/23
MK,194.61.136.0/21
MK,194.149.128.0/18
MK,195.26.128.0/18
MK,195.88.120.0/22
MK,195.189.204.0/22
MK,195.200.244.0/22
MK,212.13.64.0/18
MK,212.110.64.0/18
MK,212.158.160.0/19
MK,213.135.128.0/18
MK,213.240.32.0/23
MK,217.16.64.0/18
MK,217.196.192.0/19
